pF,time
246.300003051758,543008948.463703
246.900009155273,543008948.504989
247.400009155273,543008948.546258
248.600006103516,543008948.587549
249.600006103516,543008948.628646
250.5,543008948.670066
251.400009155273,543008948.711108
252.400009155273,543008948.752539
253.199996948242,543008948.793705
254.5,543008948.834835
255.400009155273,543008948.876300
256.399993896484,543008948.917030
257.300018310547,543008948.958729
258.399993896484,543008948.999975
259.100006103516,543008949.041222
259.800018310547,543008949.082314
260.899993896484,543008949.164702
261.100006103516,543008949.164905
261.600006103516,543008949.206254
261.700012207031,543008949.288588
262.399993896484,543008949.288678
262.399993896484,543008949.371444
262.399993896484,543008949.371550
261.800018310547,543008949.412399
261.800018310547,543008949.453708
261.700012207031,543008949.494951
261.700012207031,543008949.536052
261.5,543008949.577437
261.0,543008949.618632
261.0,543008949.659943
260.899993896484,543008949.701416
260.600006103516,543008949.742446
260.5,543008949.783688
260.300018310547,543008949.824931
260.200012207031,543008949.866039
259.800018310547,543008949.907520
259.399993896484,543008949.948537
258.899993896484,543008949.989607
258.399993896484,543008950.030922
257.899993896484,543008950.072436
257.399993896484,543008950.113704
256.700012207031,543008950.154843
256.0,543008950.195960
255.300003051758,543008950.237432
254.800003051758,543008950.278608
254.199996948242,543008950.319972
253.300003051758,543008950.361090
252.699996948242,543008950.402054
251.800003051758,543008950.443508
250.800003051758,543008950.484559
249.699996948242,543008950.526013
248.699996948242,543008950.567201
248.0,543008950.608632
247.300003051758,543008950.649767
246.400009155273,543008950.691020
245.800003051758,543008950.732361
245.100006103516,543008950.773350
244.400009155273,543008950.814469
244.0,543008950.855952
243.600006103516,543008950.897275
243.600006103516,543008950.938585
243.199996948242,543008950.979908
243.100006103516,543008951.021221
242.900009155273,543008951.062376
242.600006103516,543008951.103728
242.300003051758,543008951.144645
242.300003051758,543008951.185728
242.199996948242,543008951.227201
242.199996948242,543008951.268493
241.900009155273,543008951.310291
241.900009155273,543008951.351563
241.600006103516,543008951.391886
241.5,543008951.433462
241.400009155273,543008951.474735
241.199996948242,543008951.515991
241.199996948242,543008951.557491
241.199996948242,543008951.598281
241.100006103516,543008951.639726
241.100006103516,543008951.680975
240.900009155273,543008951.722556
240.900009155273,543008951.763205
240.800003051758,543008951.804964
240.800003051758,543008951.845929
240.5,543008951.887510
240.300003051758,543008951.928193
240.199996948242,543008951.969922
240.100006103516,543008952.011070
239.800003051758,543008952.052393
239.800003051758,543008952.093807
239.600006103516,543008952.135220
239.600006103516,543008952.176107
239.5,543008952.217427
239.5,543008952.258429
239.100006103516,543008952.299866
238.900009155273,543008952.341365
238.800003051758,543008952.382341
238.600006103516,543008952.423735
238.199996948242,543008952.464844
238.199996948242,543008952.506244
238.100006103516,543008952.547330
237.900009155273,543008952.629969
237.400009155273,543008952.671239
236.900009155273,543008952.794870
236.900009155273,543008952.795017
236.800003051758,543008952.795677
236.300003051758,543008952.835921
236.199996948242,543008952.877325
236.199996948242,543008952.918530
236.199996948242,543008952.959983
236.199996948242,543008953.000945
236.300003051758,543008953.042368
236.100006103516,543008953.083572
236.100006103516,543008953.124820
236.100006103516,543008953.166187
236.100006103516,543008953.207311
236.0,543008953.248529
236.100006103516,543008953.289928
235.800003051758,543008953.331079
235.699996948242,543008953.372514
235.699996948242,543008953.413228
235.699996948242,543008953.454810
