pF,time
241.699996948242,543008265.826038
241.699996948242,543008265.866975
241.699996948242,543008265.949874
241.699996948242,543008265.950015
241.600006103516,543008265.991125
241.199996948242,543008266.032184
241.199996948242,543008266.073590
241.199996948242,543008266.114506
241.199996948242,543008266.155616
241.199996948242,543008266.197186
241.0,543008266.238584
240.900009155273,543008266.279593
240.800003051758,543008266.321135
240.699996948242,543008266.362250
240.699996948242,543008266.403533
240.600006103516,543008266.444448
240.5,543008266.486022
240.5,543008266.527632
240.300003051758,543008266.568393
240.300003051758,543008266.609805
240.300003051758,543008266.650891
240.400009155273,543008266.692496
240.400009155273,543008266.733360
240.100006103516,543008266.774787
240.0,543008266.815840
240.100006103516,543008266.857373
240.199996948242,543008266.898388
240.199996948242,543008266.939803
240.100006103516,543008266.981140
240.100006103516,543008267.022306
240.199996948242,543008267.063512
240.199996948242,543008267.104372
240.199996948242,543008267.146040
240.199996948242,543008267.187345
240.199996948242,543008267.228661
240.199996948242,543008267.269644
240.100006103516,543008267.310872
240.0,543008267.352324
240.100006103516,543008267.393503
240.100006103516,543008267.434703
240.100006103516,543008267.475866
240.0,543008267.517251
240.0,543008267.558356
240.0,543008267.599969
239.900009155273,543008267.640880
239.800003051758,543008267.682381
239.800003051758,543008267.723274
239.800003051758,543008267.764599
239.699996948242,543008267.805576
239.800003051758,543008267.846929
239.900009155273,543008267.888538
239.900009155273,543008267.929540
239.900009155273,543008267.970972
239.900009155273,543008268.012215
239.800003051758,543008268.053556
239.800003051758,543008268.094764
239.800003051758,543008268.135968
239.900009155273,543008268.176891
240.0,543008268.218603
240.0,543008268.259643
239.800003051758,543008268.300971
239.800003051758,543008268.342463
239.800003051758,543008268.383546
239.900009155273,543008268.424867
239.800003051758,543008268.465937
239.900009155273,543008268.507166
239.900009155273,543008268.548322
239.900009155273,543008268.589930
239.800003051758,543008268.631070
239.800003051758,543008268.713836
239.800003051758,543008268.713968
239.800003051758,543008268.754870
239.800003051758,543008268.795768
239.800003051758,543008268.837435
239.800003051758,543008268.878667
239.800003051758,543008268.919819
239.800003051758,543008268.960981
239.400009155273,543008269.002202
239.400009155273,543008269.043474
239.600006103516,543008269.084702
239.600006103516,543008269.126177
239.699996948242,543008269.167191
239.800003051758,543008269.208525
239.800003051758,543008269.249610
239.800003051758,543008269.291135
239.800003051758,543008269.332032
239.800003051758,543008269.373673
239.800003051758,543008269.414807
239.699996948242,543008269.456204
239.699996948242,543008269.538635
