pF,time
251.600006103516,543008640.350198
251.699996948242,543008640.391644
251.600006103516,543008640.432917
251.699996948242,543008640.473908
251.800003051758,543008640.515234
251.900009155273,543008640.556404
251.800003051758,543008640.597996
251.800003051758,543008640.638950
251.800003051758,543008640.721342
251.900009155273,543008640.721458
251.900009155273,543008640.762841
252.0,543008640.803737
252.0,543008640.845289
252.0,543008640.886380
252.0,543008640.927707
252.0,543008640.968596
251.800003051758,543008641.010259
251.800003051758,543008641.051764
251.800003051758,543008641.092218
251.800003051758,543008641.133984
251.800003051758,543008641.175306
251.699996948242,543008641.216480
251.600006103516,543008641.257755
251.600006103516,543008641.299061
251.600006103516,543008641.340189
251.699996948242,543008641.381431
251.5,543008641.422560
251.5,543008641.463990
251.400009155273,543008641.505074
251.5,543008641.546475
251.400009155273,543008641.587609
251.600006103516,543008641.670151
251.400009155273,543008641.670292
251.600006103516,543008641.711489
251.400009155273,543008641.752536
251.400009155273,543008641.794026
251.400009155273,543008641.835356
251.400009155273,543008641.876539
251.5,543008641.917762
251.400009155273,543008641.958885
251.5,543008642.000234
251.699996948242,543008642.041511
251.699996948242,543008642.082280
251.800003051758,543008642.124014
251.800003051758,543008642.165386
252.300003051758,543008642.206269
252.5,543008642.288925
252.600006103516,543008642.289031
253.0,543008642.330285
253.699996948242,543008642.371096
254.199996948242,543008642.412468
254.699996948242,543008642.453814
254.900009155273,543008642.495141
255.400009155273,543008642.577868
255.699996948242,543008642.577992
256.399993896484,543008642.618990
256.5,543008642.660482
257.0,543008642.701221
257.300018310547,543008642.742831
257.399993896484,543008642.783912
257.600006103516,543008642.825270
257.600006103516,543008642.866630
258.0,543008642.907477
258.0,543008642.990055
258.399993896484,543008642.990178
258.5,543008643.031585
258.600006103516,543008643.072443
259.100006103516,543008643.113525
259.100006103516,543008643.155081
259.200012207031,543008643.196306
259.600006103516,543008643.237490
259.899993896484,543008643.278700
260.300018310547,543008643.320232
260.600006103516,543008643.361339
260.800018310547,543008643.402654
261.100006103516,543008643.444026
261.200012207031,543008643.485264
261.399993896484,543008643.526482
261.700012207031,543008643.567648
262.100006103516,543008643.608927
262.100006103516,543008643.650141
262.100006103516,543008643.691514
262.100006103516,543008643.732694
