pF,time
262.600006103516,543696025.014102
262.600006103516,543696025.055465
262.5,543696025.096720
262.399993896484,543696025.138109
262.399993896484,543696025.178744
262.399993896484,543696025.220729
262.600006103516,543696025.261714
262.600006103516,543696025.302941
262.600006103516,543696025.344151
262.700012207031,543696025.385606
262.700012207031,543696025.426835
262.800018310547,543696025.468086
262.800018310547,543696025.508845
262.899993896484,543696025.550600
263.100006103516,543696025.591658
263.5,543696025.632945
263.600006103516,543696025.673994
263.800018310547,543696025.715598
264.100006103516,543696025.756632
264.200012207031,543696025.798102
264.300018310547,543696025.839319
264.399993896484,543696025.880349
264.5,543696025.921787
264.700012207031,543696025.962865
264.800018310547,543696026.004160
264.899993896484,543696026.045557
265.100006103516,543696026.086645
265.100006103516,543696026.127568
265.300018310547,543696026.169203
265.399993896484,543696026.210710
265.600006103516,543696026.251730
265.800018310547,543696026.292878
265.600006103516,543696026.334207
265.399993896484,543696026.375112
265.200012207031,543696026.416684
265.0,543696026.457964
264.899993896484,543696026.499388
264.899993896484,543696026.581325
264.899993896484,543696026.581687
264.899993896484,543696026.623022
264.600006103516,543696026.664287
264.600006103516,543696026.705703
264.600006103516,543696026.787913
264.600006103516,543696026.788030
264.5,543696026.829183
263.899993896484,543696026.870552
263.899993896484,543696026.911728
264.0,543696026.952637
264.100006103516,543696026.993890
264.0,543696027.035352
264.100006103516,543696027.076698
263.899993896484,543696027.118008
263.899993896484,543696027.159268
263.800018310547,543696027.200470
263.5,543696027.241561
263.5,543696027.282708
263.200012207031,543696027.324279
263.100006103516,543696027.365599
263.100006103516,543696027.406724
263.0,543696027.447966
262.800018310547,543696027.489281
262.800018310547,543696027.530537
263.0,543696027.571572
263.0,543696027.612769
263.0,543696027.654245
263.0,543696027.695456
262.899993896484,543696027.736650
262.700012207031,543696027.777950
262.600006103516,543696027.819052
262.600006103516,543696027.860388
262.700012207031,543696027.901716
262.800018310547,543696027.943043
262.800018310547,543696027.984263
262.800018310547,543696028.025391
262.800018310547,543696028.066716
263.100006103516,543696028.107891
263.300018310547,543696028.149340
263.300018310547,543696028.190491
263.399993896484,543696028.231801
263.399993896484,543696028.272916
263.399993896484,543696028.314011
263.600006103516,543696028.355433
263.899993896484,543696028.396897
264.0,543696028.437961
264.200012207031,543696028.479131
264.200012207031,543696028.520280
264.5,543696028.561748
264.700012207031,543696028.602945
264.700012207031,543696028.644122
265.0,543696028.685276
265.100006103516,543696028.726573
265.200012207031,543696028.767922
265.300018310547,543696028.809133
265.300018310547,543696028.850359
265.300018310547,543696028.891684
265.600006103516,543696028.932850
265.600006103516,543696028.973979
265.600006103516,543696029.015587
265.5,543696029.056727
265.5,543696029.097999
265.399993896484,543696029.139115
265.100006103516,543696029.180413
264.899993896484,543696029.263083
264.800018310547,543696029.303987
264.5,543696029.345683
264.399993896484,543696029.386400
264.0,543696029.427963
263.899993896484,543696029.469168
263.899993896484,543696029.551675
263.899993896484,543696029.551773
263.800018310547,543696029.592757
263.600006103516,543696029.633979
263.5,543696029.675465
263.5,543696029.716656
263.5,543696029.757975
263.5,543696029.799191
263.300018310547,543696029.840360
263.300018310547,543696029.881677
263.100006103516,543696029.922933
263.100006103516,543696029.964083
263.100006103516,543696030.005454
262.800018310547,543696030.046957
262.800018310547,543696030.087908
262.5,543696030.170515
262.5,543696030.170614
262.300018310547,543696030.211637
262.0,543696030.252808
261.899993896484,543696030.294219
262.0,543696030.335424
262.0,543696030.376630
262.100006103516,543696030.418199
262.100006103516,543696030.459253
261.899993896484,543696030.500572
261.899993896484,543696030.541939
261.800018310547,543696030.582556
262.0,543696030.624262
261.800018310547,543696030.665491
261.700012207031,543696030.706526
261.700012207031,543696030.748033
261.800018310547,543696030.789296
262.0,543696030.830650
262.0,543696030.871808
262.0,543696030.912841
261.800018310547,543696030.954200
261.800018310547,543696030.995623
261.800018310547,543696031.036727
261.800018310547,543696031.078028
261.800018310547,543696031.119053
261.800018310547,543696031.160316
261.800018310547,543696031.201730
261.600006103516,543696031.242984
261.600006103516,543696031.283911
261.5,543696031.325108
261.399993896484,543696031.366744
261.399993896484,543696031.408033
261.399993896484,543696031.449066
261.5,543696031.490491
261.5,543696031.531809
261.5,543696031.572967
261.399993896484,543696031.614229
261.399993896484,543696031.655522
261.5,543696031.696605
