pF,time
273.300018310547,549470878.621248
273.100006103516,549470878.649942
272.899993896484,549470878.680019
272.700012207031,549470878.709952
272.200012207031,549470878.739937
271.899993896484,549470878.770017
271.800018310547,549470878.799994
271.600006103516,549470878.829980
271.399993896484,549470878.859961
271.399993896484,549470878.889914
271.899993896484,549470878.919937
272.200012207031,549470878.949978
272.5,549470878.979935
273.0,549470879.009910
273.5,549470879.040058
273.899993896484,549470879.070101
274.0,549470879.099942
274.399993896484,549470879.129968
275.0,549470879.159941
275.600006103516,549470879.189990
276.100006103516,549470879.219962
276.800018310547,549470879.259975
277.100006103516,549470879.279949
277.300018310547,549470879.309996
277.700012207031,549470879.339922
278.0,549470879.369916
278.100006103516,549470879.400169
278.700012207031,549470879.429967
279.0,549470879.459862
279.100006103516,549470879.489927
279.399993896484,549470879.519966
280.0,549470879.549950
280.300018310547,549470879.579967
280.800018310547,549470879.610086
280.800018310547,549470879.640091
281.300018310547,549470879.670056
281.800018310547,549470879.699889
281.899993896484,549470879.729845
281.899993896484,549470879.760012
282.200012207031,549470879.789967
282.5,549470879.819955
282.5,549470879.849979
282.300018310547,549470879.879957
282.200012207031,549470879.909947
282.100006103516,549470879.939891
282.0,549470879.970148
281.800018310547,549470879.999956
281.800018310547,549470880.030190
281.600006103516,549470880.059886
281.300018310547,549470880.089967
281.300018310547,549470880.120001
280.899993896484,549470880.149997
280.5,549470880.179955
280.300018310547,549470880.209988
280.200012207031,549470880.240010
279.800018310547,549470880.269965
279.700012207031,549470880.299951
279.5,549470880.330017
279.200012207031,549470880.359984
279.0,549470880.389996
279.0,549470880.419955
279.0,549470880.450025
278.800018310547,549470880.479980
278.700012207031,549470880.510086
278.700012207031,549470880.540173
278.600006103516,549470880.570016
278.5,549470880.600044
278.5,549470880.629875
278.5,549470880.659995
278.5,549470880.689969
278.300018310547,549470880.719978
278.200012207031,549470880.749970
278.200012207031,549470880.780027
278.0,549470880.810024
278.0,549470880.840018
277.899993896484,549470880.869936
277.800018310547,549470880.900050
277.800018310547,549470880.930053
277.600006103516,549470880.960031
277.399993896484,549470880.990017
277.300018310547,549470881.020051
277.100006103516,549470881.050022
277.0,549470881.080184
276.800018310547,549470881.110009
276.899993896484,549470881.140023
276.800018310547,549470881.170010
276.800018310547,549470881.200191
276.800018310547,549470881.230082
276.700012207031,549470881.260002
276.700012207031,549470881.290088
276.700012207031,549470881.320135
276.700012207031,549470881.350113
276.800018310547,549470881.380006
276.800018310547,549470881.410010
276.800018310547,549470881.440017
276.899993896484,549470881.470084
276.899993896484,549470881.500039
277.200012207031,549470881.530045
277.0,549470881.560083
277.0,549470881.590003
277.0,549470881.620190
277.200012207031,549470881.650168
277.200012207031,549470881.680042
277.200012207031,549470881.710050
277.100006103516,549470881.740014
277.0,549470881.770022
276.700012207031,549470881.800016
276.700012207031,549470881.830027
276.700012207031,549470881.860018
276.399993896484,549470881.890045
276.399993896484,549470881.920127
276.399993896484,549470881.950071
276.399993896484,549470881.980039
276.300018310547,549470882.009916
276.300018310547,549470882.040002
276.300018310547,549470882.070047
276.399993896484,549470882.100044
276.300018310547,549470882.130172
276.399993896484,549470882.160047
276.399993896484,549470882.190106
276.5,549470882.220196
276.5,549470882.250205
276.5,549470882.280105
276.399993896484,549470882.310185
276.5,549470882.340187
276.399993896484,549470882.370189
