pF,time
256.899993896484,542162249.911680
257.100006103516,542162249.952852
257.100006103516,542162249.993891
257.600006103516,542162250.035183
257.700012207031,542162250.076312
258.0,542162250.117649
258.300018310547,542162250.158934
258.399993896484,542162250.200235
258.5,542162250.241429
258.5,542162250.282583
258.5,542162250.323969
258.399993896484,542162250.365150
258.5,542162250.406493
258.399993896484,542162250.447553
258.399993896484,542162250.489099
258.200012207031,542162250.530224
258.200012207031,542162250.571500
258.0,542162250.612512
258.200012207031,542162250.653838
258.0,542162250.736653
258.0,542162250.736749
257.899993896484,542162250.777940
257.600006103516,542162250.819024
257.5,542162250.860253
257.5,542162250.901472
257.399993896484,542162250.942641
257.399993896484,542162250.983785
257.200012207031,542162251.025707
257.0,542162251.066473
256.800018310547,542162251.107706
256.800018310547,542162251.149392
256.700012207031,542162251.189909
256.600006103516,542162251.231474
256.5,542162251.272997
256.5,542162251.313806
256.600006103516,542162251.355434
256.600006103516,542162251.396662
256.600006103516,542162251.437870
256.5,542162251.479213
256.600006103516,542162251.520020
256.600006103516,542162251.561597
256.800018310547,542162251.603083
256.700012207031,542162251.644078
256.899993896484,542162251.685088
256.899993896484,542162251.726544
257.100006103516,542162251.767835
257.100006103516,542162251.808910
257.399993896484,542162251.850486
257.399993896484,542162251.891581
257.300018310547,542162251.932838
257.300018310547,542162251.974105
257.300018310547,542162252.015247
257.300018310547,542162252.056338
257.300018310547,542162252.097824
257.100006103516,542162252.139812
257.0,542162252.180386
256.800018310547,542162252.221240
256.600006103516,542162252.263002
256.5,542162252.304081
256.300018310547,542162252.345203
256.300018310547,542162252.386325
256.200012207031,542162252.428444
256.100006103516,542162252.469161
256.100006103516,542162252.510098
256.200012207031,542162252.551553
256.200012207031,542162252.592607
256.100006103516,542162252.634262
256.100006103516,542162252.675134
256.100006103516,542162252.716238
256.300018310547,542162252.757832
256.300018310547,542162252.798970
256.300018310547,542162252.840267
256.399993896484,542162252.881677
256.600006103516,542162252.924500
256.600006103516,542162252.964068
256.899993896484,542162253.004974
257.399993896484,542162253.046493
257.700012207031,542162253.087773
258.0,542162253.129045
258.399993896484,542162253.170338
258.600006103516,542162253.252363
259.0,542162253.252707
259.100006103516,542162253.294009
259.100006103516,542162253.335435
259.700012207031,542162253.376359
259.700012207031,542162253.417773
259.700012207031,542162253.459059
260.0,542162253.500003
260.0,542162253.541572
259.800018310547,542162253.623862
259.700012207031,542162253.624059
259.5,542162253.665003
259.200012207031,542162253.706866
259.200012207031,542162253.748226
259.200012207031,542162253.788694
259.200012207031,542162253.830208
259.100006103516,542162253.871520
259.100006103516,542162253.913085
259.0,542162253.995102
259.200012207031,542162254.036512
259.0,542162254.077777
259.0,542162254.119053
259.0,542162254.160182
259.300018310547,542162254.201574
259.399993896484,542162254.242600
259.399993896484,542162254.284214
259.399993896484,542162254.325248
259.100006103516,542162254.367170
259.100006103516,542162254.407742
259.100006103516,542162254.448994
258.899993896484,542162254.490184
258.899993896484,542162254.531409
258.800018310547,542162254.572851
258.800018310547,542162254.613771
258.899993896484,542162254.655448
258.899993896484,542162254.696592
258.600006103516,542162254.737738
258.600006103516,542162254.779012
258.899993896484,542162254.820313
259.0,542162254.861427
259.0,542162254.902926
258.700012207031,542162254.943746
258.700012207031,542162254.985521
258.700012207031,542162255.026518
258.5,542162255.067456
258.300018310547,542162255.109017
257.899993896484,542162255.150520
257.5,542162255.191275
257.5,542162255.232700
257.5,542162255.273702
257.399993896484,542162255.315131
257.100006103516,542162255.356658
257.100006103516,542162255.397604
256.899993896484,542162255.439100
256.899993896484,542162255.480596
256.899993896484,542162255.521487
256.800018310547,542162255.562816
256.600006103516,542162255.603684
256.600006103516,542162255.645383
256.399993896484,542162255.686304
256.399993896484,542162255.727892
256.300018310547,542162255.769131
256.399993896484,542162255.810339
256.399993896484,542162255.851559
256.399993896484,542162255.892850
256.399993896484,542162255.934171
256.399993896484,542162255.975084
256.300018310547,542162256.016673
256.399993896484,542162256.057828
256.300018310547,542162256.098949
256.399993896484,542162256.140225
256.5,542162256.181606
256.5,542162256.222906
256.399993896484,542162256.264853
256.399993896484,542162256.305347
256.300018310547,542162256.387669
256.399993896484,542162256.388012
256.200012207031,542162256.429311
256.399993896484,542162256.470242
256.300018310547,542162256.511721
256.399993896484,542162256.552876
256.300018310547,542162256.594082
256.300018310547,542162256.676752
256.300018310547,542162256.676847
256.300018310547,542162256.717836
256.300018310547,542162256.758858
256.300018310547,542162256.841582
256.5,542162256.841731
256.600006103516,542162256.882547
256.700012207031,542162256.924038
256.800018310547,542162257.006453
256.899993896484,542162257.006540
257.100006103516,542162257.047846
257.100006103516,542162257.088748
257.600006103516,542162257.171328
257.700012207031,542162257.171534
257.800018310547,542162257.212900
257.899993896484,542162257.254100
258.5,542162257.336073
258.700012207031,542162257.336473
258.800018310547,542162257.377706
259.0,542162257.419066
259.5,542162257.460539
259.5,542162257.501300
259.5,542162257.542606
259.5,542162257.583814
259.5,542162257.707949
259.5,542162257.708088
259.5,542162257.708361
259.100006103516,542162257.749065
259.100006103516,542162257.790289
259.0,542162257.872911
259.200012207031,542162257.873005
259.0,542162257.914097
259.0,542162257.955311
259.0,542162257.996236
259.300018310547,542162258.037736
259.300018310547,542162258.079137
259.300018310547,542162258.120265
259.300018310547,542162258.161627
259.300018310547,542162258.202800
259.300018310547,542162258.244088
259.300018310547,542162258.285275
259.200012207031,542162258.367587
259.200012207031,542162258.367824
259.100006103516,542162258.409093
258.800018310547,542162258.450553
258.800018310547,542162258.491580
258.800018310547,542162258.533067
258.899993896484,542162258.574084
258.800018310547,542162258.615276
258.800018310547,542162258.656529
258.800018310547,542162258.697592
258.899993896484,542162258.738982
258.899993896484,542162258.780393
258.800018310547,542162258.821468
258.800018310547,542162258.862511
258.700012207031,542162258.904014
258.700012207031,542162258.944950
258.700012207031,542162258.986427
258.700012207031,542162259.027668
258.800018310547,542162259.068960
258.600006103516,542162259.151645
258.600006103516,542162259.151779
258.600006103516,542162259.192781
258.399993896484,542162259.233965
258.399993896484,542162259.275062
258.399993896484,542162259.316714
258.5,542162259.357576
258.399993896484,542162259.398824
258.300018310547,542162259.440249
257.899993896484,542162259.481502
257.700012207031,542162259.523029
257.300018310547,542162259.646842
257.200012207031,542162259.647016
257.200012207031,542162259.647288
257.100006103516,542162259.687734
257.100006103516,542162259.729053
257.300018310547,542162259.770359
257.700012207031,542162259.811569
257.700012207031,542162259.852849
258.399993896484,542162259.893972
258.600006103516,542162259.976288
258.899993896484,542162260.017588
259.399993896484,542162260.017857
259.700012207031,542162260.058815
260.100006103516,542162260.100624
261.0,542162260.141550
261.5,542162260.183108
261.700012207031,542162260.224086
261.899993896484,542162260.265399
262.200012207031,542162260.306830
262.600006103516,542162260.347972
263.0,542162260.388773
263.300018310547,542162260.430510
263.399993896484,542162260.471596
263.600006103516,542162260.512972
263.899993896484,542162260.554055
263.899993896484,542162260.595327
264.100006103516,542162260.636383
264.100006103516,542162260.677847
264.600006103516,542162260.719128
264.600006103516,542162260.760337
264.800018310547,542162260.801617
264.800018310547,542162260.842840
264.800018310547,542162260.883896
264.700012207031,542162260.925147
264.700012207031,542162260.966800
264.700012207031,542162261.007517
264.700012207031,542162261.049002
264.399993896484,542162261.090453
264.300018310547,542162261.131467
264.0,542162261.172535
263.5,542162261.214306
263.100006103516,542162261.255095
263.0,542162261.296613
262.800018310547,542162261.337825
262.600006103516,542162261.378942
262.5,542162261.502739
261.800018310547,542162261.502840
261.800018310547,542162261.503303
261.399993896484,542162261.543899
261.100006103516,542162261.585229
260.700012207031,542162261.626573
260.700012207031,542162261.667594
260.399993896484,542162261.709121
260.0,542162261.750927
260.0,542162261.791478
259.899993896484,542162261.832891
259.399993896484,542162261.873724
259.100006103516,542162261.915241
259.0,542162261.956586
258.800018310547,542162261.997611
258.700012207031,542162262.038911
258.5,542162262.080260
258.399993896484,542162262.121556
258.300018310547,542162262.162811
258.0,542162262.203692
258.0,542162262.245279
257.899993896484,542162262.327647
257.899993896484,542162262.327818
257.800018310547,542162262.369186
257.399993896484,542162262.410423
257.200012207031,542162262.451418
257.100006103516,542162262.534004
256.899993896484,542162262.534085
256.5,542162262.575124
256.5,542162262.616560
256.600006103516,542162262.657817
256.600006103516,542162262.699187
256.600006103516,542162262.740249
256.600006103516,542162262.781506
256.5,542162262.822708
256.399993896484,542162262.864330
256.399993896484,542162262.946525
