pF,time
268.0,542767275.920690
267.399993896484,542767275.920813
266.300018310547,542767276.010783
265.899993896484,542767276.010877
265.0,542767276.055803
264.700012207031,542767276.100706
264.5,542767276.145700
264.399993896484,542767276.190704
264.200012207031,542767276.235534
263.899993896484,542767276.280754
263.600006103516,542767276.325701
263.200012207031,542767276.370705
262.300018310547,542767276.415674
262.100006103516,542767276.460715
261.600006103516,542767276.505726
261.300018310547,542767276.595356
261.0,542767276.595725
260.700012207031,542767276.640697
260.200012207031,542767276.685780
260.200012207031,542767276.730776
260.200012207031,542767276.775670
260.100006103516,542767276.820773
260.100006103516,542767276.910642
260.100006103516,542767276.910775
260.100006103516,542767276.955691
260.0,542767277.045713
260.0,542767277.045809
259.899993896484,542767277.135853
259.399993896484,542767277.135982
259.399993896484,542767277.180693
259.5,542767277.225812
259.700012207031,542767277.270538
260.0,542767277.315266
260.300018310547,542767277.360689
260.5,542767277.405666
260.600006103516,542767277.450695
260.600006103516,542767277.495682
260.0,542767277.540490
260.0,542767277.585733
260.100006103516,542767277.630752
260.100006103516,542767277.675543
260.100006103516,542767277.720679
259.899993896484,542767277.765333
259.800018310547,542767277.810860
259.800018310547,542767277.855654
260.100006103516,542767277.900804
260.600006103516,542767277.945634
260.700012207031,542767277.990390
261.100006103516,542767278.035658
261.399993896484,542767278.080438
261.600006103516,542767278.125834
262.300018310547,542767278.170381
263.0,542767278.215784
263.399993896484,542767278.260384
264.300018310547,542767278.305804
264.899993896484,542767278.350780
265.399993896484,542767278.395800
265.700012207031,542767278.440772
266.200012207031,542767278.485579
266.600006103516,542767278.530751
267.0,542767278.575699
267.700012207031,542767278.620350
267.899993896484,542767278.665613
268.399993896484,542767278.710617
268.899993896484,542767278.755856
269.200012207031,542767278.800763
269.5,542767278.845784
270.100006103516,542767278.890877
270.5,542767278.935785
271.600006103516,542767278.980853
271.700012207031,542767279.025439
272.0,542767279.070752
272.5,542767279.115520
272.800018310547,542767279.160431
273.100006103516,542767279.205490
273.300018310547,542767279.250276
273.399993896484,542767279.295843
273.5,542767279.340614
273.5,542767279.385602
273.300018310547,542767279.430981
273.300018310547,542767279.475623
272.899993896484,542767279.520648
272.899993896484,542767279.565450
272.700012207031,542767279.610808
272.700012207031,542767279.655588
272.5,542767279.700315
272.300018310547,542767279.745717
272.0,542767279.790644
271.600006103516,542767279.880572
271.300018310547,542767279.880679
271.100006103516,542767279.925690
270.899993896484,542767279.970727
270.600006103516,542767280.015597
270.100006103516,542767280.060582
269.800018310547,542767280.150719
269.700012207031,542767280.150867
269.5,542767280.195877
269.0,542767280.240801
269.0,542767280.285244
269.600006103516,542767280.330573
269.800018310547,542767280.375687
270.200012207031,542767280.420705
270.800018310547,542767280.465599
271.300018310547,542767280.510700
271.700012207031,542767280.555797
271.800018310547,542767280.600567
271.899993896484,542767280.645801
272.0,542767280.690795
272.300018310547,542767280.735856
272.300018310547,542767280.780844
272.300018310547,542767280.825667
272.300018310547,542767280.870703
272.300018310547,542767280.915880
272.300018310547,542767280.960766
272.300018310547,542767281.005976
272.600006103516,542767281.050834
273.100006103516,542767281.096023
273.600006103516,542767281.140847
274.300018310547,542767281.185843
274.700012207031,542767281.230844
275.200012207031,542767281.275830
276.100006103516,542767281.320815
276.600006103516,542767281.365827
277.100006103516,542767281.411085
277.5,542767281.455804
277.700012207031,542767281.500853
277.899993896484,542767281.545680
277.800018310547,542767281.590894
277.899993896484,542767281.635803
277.899993896484,542767281.680411
277.899993896484,542767281.770741
278.100006103516,542767281.770836
277.899993896484,542767281.815593
278.100006103516,542767281.860825
277.899993896484,542767281.905791
277.899993896484,542767281.950629
277.899993896484,542767281.995325
278.0,542767282.040799
278.0,542767282.085670
277.300018310547,542767282.130809
277.100006103516,542767282.175825
276.800018310547,542767282.220635
276.800018310547,542767282.265808
276.800018310547,542767282.310607
276.800018310547,542767282.355644
276.5,542767282.400811
276.5,542767282.445777
276.5,542767282.490773
276.300018310547,542767282.535823
276.300018310547,542767282.580840
276.300018310547,542767282.625789
276.200012207031,542767282.670658
276.200012207031,542767282.715483
276.100006103516,542767282.760809
276.0,542767282.805876
275.5,542767282.850862
275.0,542767282.895800
274.100006103516,542767282.940794
273.0,542767282.985759
271.600006103516,542767283.030772
270.100006103516,542767283.075850
268.899993896484,542767283.120846
268.0,542767283.165759
267.100006103516,542767283.210781
266.5,542767283.255786
265.899993896484,542767283.300755
265.899993896484,542767283.346290
265.399993896484,542767283.391013
265.399993896484,542767283.435782
265.700012207031,542767283.480836
266.100006103516,542767283.525777
266.399993896484,542767283.570744
266.899993896484,542767283.615829
267.399993896484,542767283.660754
268.200012207031,542767283.705589
268.899993896484,542767283.750592
269.899993896484,542767283.795615
269.899993896484,542767283.840765
270.0,542767283.885756
270.0,542767283.930644
270.399993896484,542767283.975337
270.800018310547,542767284.020759
271.5,542767284.065758
271.899993896484,542767284.110626
271.899993896484,542767284.155811
272.5,542767284.200764
273.300018310547,542767284.245766
273.899993896484,542767284.290581
274.0,542767284.335541
274.100006103516,542767284.380818
274.300018310547,542767284.425681
274.700012207031,542767284.470750
275.0,542767284.515606
275.0,542767284.560766
275.100006103516,542767284.605587
275.200012207031,542767284.650820
275.200012207031,542767284.695732
275.800018310547,542767284.740729
275.899993896484,542767284.785723
276.399993896484,542767284.830724
276.5,542767284.875327
276.5,542767284.920586
277.0,542767284.965737
277.100006103516,542767285.010741
277.100006103516,542767285.055729
277.399993896484,542767285.100571
277.5,542767285.145720
277.700012207031,542767285.190728
277.700012207031,542767285.235771
277.899993896484,542767285.280740
278.0,542767285.325908
278.100006103516,542767285.370767
278.100006103516,542767285.415643
277.899993896484,542767285.460716
277.5,542767285.506029
277.5,542767285.550819
277.5,542767285.595757
277.399993896484,542767285.640725
277.100006103516,542767285.685725
277.0,542767285.730726
277.0,542767285.775696
277.0,542767285.820749
276.800018310547,542767285.865699
276.600006103516,542767285.910830
276.5,542767285.955699
276.5,542767286.000604
276.300018310547,542767286.045817
276.200012207031,542767286.090713
276.0,542767286.135887
275.800018310547,542767286.180828
275.700012207031,542767286.225668
275.200012207031,542767286.270701
275.200012207031,542767286.315498
274.800018310547,542767286.360829
274.700012207031,542767286.405811
274.5,542767286.450806
274.399993896484,542767286.495813
274.0,542767286.540797
273.600006103516,542767286.585915
273.5,542767286.630509
272.899993896484,542767286.675817
272.800018310547,542767286.720821
272.600006103516,542767286.765665
272.5,542767286.810803
272.300018310547,542767286.855816
271.899993896484,542767286.900798
271.899993896484,542767286.945812
271.5,542767286.990397
271.100006103516,542767287.035794
270.899993896484,542767287.125716
270.5,542767287.125808
269.899993896484,542767287.215741
269.5,542767287.215830
269.399993896484,542767287.260887
268.700012207031,542767287.305807
268.300018310547,542767287.350807
267.899993896484,542767287.395800
267.899993896484,542767287.440793
267.600006103516,542767287.485742
267.399993896484,542767287.530791
267.200012207031,542767287.575832
267.200012207031,542767287.621005
267.100006103516,542767287.665847
267.0,542767287.710630
266.899993896484,542767287.755950
266.899993896484,542767287.800626
266.899993896484,542767287.845574
267.0,542767287.890721
267.0,542767287.935939
267.0,542767287.980641
267.0,542767288.025600
266.899993896484,542767288.070817
266.899993896484,542767288.115614
266.899993896484,542767288.160593
267.0,542767288.205854
267.0,542767288.250905
267.399993896484,542767288.295484
267.399993896484,542767288.340782
267.600006103516,542767288.385545
267.700012207031,542767288.430613
267.700012207031,542767288.475624
267.700012207031,542767288.520617
267.5,542767288.565636
267.399993896484,542767288.610682
267.200012207031,542767288.655743
267.0,542767288.700597
266.700012207031,542767288.745581
266.399993896484,542767288.835821
266.399993896484,542767288.835917
266.5,542767288.880620
267.100006103516,542767288.925957
267.700012207031,542767288.970814
267.700012207031,542767289.015697
266.899993896484,542767289.060780
266.0,542767289.105585
264.700012207031,542767289.150657
263.100006103516,542767289.195750
261.200012207031,542767289.240725
259.899993896484,542767289.285758
259.0,542767289.330914
258.399993896484,542767289.375617
257.5,542767289.420487
257.300018310547,542767289.465851
257.300018310547,542767289.511003
257.5,542767289.555794
257.5,542767289.600730
257.300018310547,542767289.645799
256.899993896484,542767289.690793
256.399993896484,542767289.735410
255.600006103516,542767289.780839
255.300003051758,542767289.825912
254.800003051758,542767289.870699
254.400009155273,542767289.915364
254.199996948242,542767289.960952
254.199996948242,542767290.005824
254.199996948242,542767290.050899
254.199996948242,542767290.095965
254.100006103516,542767290.140872
254.0,542767290.185868
254.0,542767290.230736
254.199996948242,542767290.275801
254.199996948242,542767290.320914
254.199996948242,542767290.365887
254.300003051758,542767290.455814
254.300003051758,542767290.455904
254.600006103516,542767290.500779
254.699996948242,542767290.545880
254.900009155273,542767290.590916
255.0,542767290.635917
254.900009155273,542767290.680905
255.0,542767290.725908
254.900009155273,542767290.770892
254.800003051758,542767290.815758
254.699996948242,542767290.860836
254.699996948242,542767290.905825
254.699996948242,542767290.950876
254.900009155273,542767290.995317
254.900009155273,542767291.040954
255.0,542767291.085897
255.100006103516,542767291.130868
255.199996948242,542767291.175842
255.300003051758,542767291.220967
255.400009155273,542767291.265897
255.400009155273,542767291.310863
255.100006103516,542767291.355833
254.400009155273,542767291.400781
253.699996948242,542767291.445698
252.699996948242,542767291.490818
251.699996948242,542767291.580728
250.800003051758,542767291.580844
250.400009155273,542767291.625868
250.100006103516,542767291.670882
250.0,542767291.715656
250.100006103516,542767291.760832
250.5,542767291.805879
251.5,542767291.850877
252.600006103516,542767291.895856
252.600006103516,542767291.940858
253.400009155273,542767291.985865
254.800003051758,542767292.030642
255.600006103516,542767292.075822
256.0,542767292.120847
256.800018310547,542767292.165408
257.5,542767292.210667
258.200012207031,542767292.255733
259.100006103516,542767292.300857
259.300018310547,542767292.346025
259.600006103516,542767292.390572
260.100006103516,542767292.435633
260.100006103516,542767292.480733
260.200012207031,542767292.525850
260.200012207031,542767292.570619
259.800018310547,542767292.615941
259.5,542767292.660794
259.100006103516,542767292.705784
258.899993896484,542767292.750617
258.800018310547,542767292.796025
258.899993896484,542767292.840628
258.800018310547,542767292.885628
258.899993896484,542767292.930894
258.800018310547,542767292.975828
258.300018310547,542767293.020828
257.899993896484,542767293.065875
257.300018310547,542767293.110999
257.100006103516,542767293.155784
256.600006103516,542767293.200858
256.200012207031,542767293.245865
256.0,542767293.290579
255.699996948242,542767293.335782
255.100006103516,542767293.380414
254.600006103516,542767293.425729
254.300003051758,542767293.470814
253.699996948242,542767293.515697
253.400009155273,542767293.560773
253.300003051758,542767293.605751
252.900009155273,542767293.650761
252.199996948242,542767293.695767
251.800003051758,542767293.740756
251.5,542767293.785601
251.300003051758,542767293.875817
251.300003051758,542767293.875959
251.5,542767293.920936
251.699996948242,542767293.965916
251.900009155273,542767294.010873
252.199996948242,542767294.055920
252.600006103516,542767294.100807
252.900009155273,542767294.145798
253.199996948242,542767294.190821
253.600006103516,542767294.235864
253.600006103516,542767294.280864
253.900009155273,542767294.325705
254.100006103516,542767294.370447
254.400009155273,542767294.415839
254.699996948242,542767294.460338
255.0,542767294.505918
255.5,542767294.550942
256.399993896484,542767294.595895
256.600006103516,542767294.640813
256.700012207031,542767294.730764
257.100006103516,542767294.730856
257.600006103516,542767294.775897
257.899993896484,542767294.821017
258.300018310547,542767294.865877
258.800018310547,542767294.910723
258.800018310547,542767294.955541
259.100006103516,542767295.000867
259.600006103516,542767295.045826
259.600006103516,542767295.090890
260.300018310547,542767295.135874
260.399993896484,542767295.180857
260.899993896484,542767295.225572
260.899993896484,542767295.270916
261.200012207031,542767295.315842
261.700012207031,542767295.360955
261.800018310547,542767295.405832
261.899993896484,542767295.450817
262.300018310547,542767295.540689
262.600006103516,542767295.540785
262.700012207031,542767295.585683
263.100006103516,542767295.630898
263.200012207031,542767295.675471
263.399993896484,542767295.720837
263.600006103516,542767295.765904
263.899993896484,542767295.810830
264.200012207031,542767295.855843
264.399993896484,542767295.900856
264.399993896484,542767295.945827
264.5,542767295.990328
264.700012207031,542767296.035796
265.300018310547,542767296.080825
265.5,542767296.125885
265.5,542767296.170811
265.5,542767296.215811
265.5,542767296.260648
265.5,542767296.305824
265.300018310547,542767296.350378
265.300018310547,542767296.395837
265.300018310547,542767296.440722
265.200012207031,542767296.485796
265.200012207031,542767296.530689
265.200012207031,542767296.575949
265.200012207031,542767296.620731
265.100006103516,542767296.665860
265.0,542767296.710865
265.0,542767296.755812
265.0,542767296.800666
264.899993896484,542767296.845857
264.800018310547,542767296.890839
264.700012207031,542767296.935403
264.399993896484,542767296.980822
264.399993896484,542767297.070836
263.899993896484,542767297.070951
263.899993896484,542767297.115814
263.700012207031,542767297.205811
263.700012207031,542767297.251024
263.600006103516,542767297.251125
262.800018310547,542767297.295821
262.700012207031,542767297.385638
262.300018310547,542767297.430655
261.700012207031,542767297.430740
261.5,542767297.520645
260.800018310547,542767297.520722
260.700012207031,542767297.565587
259.899993896484,542767297.610916
259.800018310547,542767297.700613
258.800018310547,542767297.700822
258.700012207031,542767297.745597
258.300018310547,542767297.790580
257.800018310547,542767297.835567
257.800018310547,542767297.880510
257.5,542767297.925728
257.300018310547,542767298.015703
257.0,542767298.015799
257.0,542767298.105892
256.800018310547,542767298.150252
256.399993896484,542767298.150692
256.300018310547,542767298.195868
256.300018310547,542767298.241027
256.700012207031,542767298.285726
257.600006103516,542767298.330412
257.700012207031,542767298.375468
258.300018310547,542767298.420543
258.300018310547,542767298.465462
258.0,542767298.555594
257.5,542767298.645445
256.5,542767298.645578
255.699996948242,542767298.646202
254.400009155273,542767298.780641
