pF,time
287.600006103516,551724997.409438
287.600006103516,551724997.434501
287.800018310547,551724997.464700
287.899993896484,551724997.494223
287.899993896484,551724997.524719
287.899993896484,551724997.554675
287.899993896484,551724997.584704
288.100006103516,551724997.614712
288.100006103516,551724997.644756
288.100006103516,551724997.674695
288.0,551724997.704648
287.899993896484,551724997.734912
287.5,551724997.764620
287.600006103516,551724997.794677
287.600006103516,551724997.824201
287.700012207031,551724997.854180
287.800018310547,551724997.884692
287.899993896484,551724997.914536
288.100006103516,551724997.944812
288.600006103516,551724997.974771
288.700012207031,551724998.004145
289.100006103516,551724998.034704
289.899993896484,551724998.064699
290.800018310547,551724998.094701
292.0,551724998.124680
292.600006103516,551724998.154671
293.899993896484,551724998.184692
294.899993896484,551724998.214827
295.899993896484,551724998.244457
296.300018310547,551724998.274606
297.300018310547,551724998.304663
298.0,551724998.334785
298.600006103516,551724998.364674
299.399993896484,551724998.394600
299.600006103516,551724998.424657
299.899993896484,551724998.454632
300.200012207031,551724998.484791
300.200012207031,551724998.514863
300.600006103516,551724998.544776
300.600006103516,551724998.574702
300.600006103516,551724998.604812
300.600006103516,551724998.634129
301.200012207031,551724998.664679
301.399993896484,551724998.694679
301.800018310547,551724998.724583
302.399993896484,551724998.754815
302.399993896484,551724998.784678
302.5,551724998.814833
302.800018310547,551724998.844761
303.300018310547,551724998.874774
303.399993896484,551724998.904961
304.399993896484,551724998.934751
305.0,551724998.964765
305.700012207031,551724998.994502
306.399993896484,551724999.024787
307.300018310547,551724999.054693
307.899993896484,551724999.084559
307.899993896484,551724999.114793
308.100006103516,551724999.144772
308.100006103516,551724999.174579
308.300018310547,551724999.204785
308.300018310547,551724999.234976
308.100006103516,551724999.264792
307.899993896484,551724999.294793
307.600006103516,551724999.324468
307.300018310547,551724999.354786
307.100006103516,551724999.384534
307.100006103516,551724999.414762
307.5,551724999.444745
307.600006103516,551724999.474233
307.600006103516,551724999.504768
307.899993896484,551724999.534809
307.899993896484,551724999.564747
307.899993896484,551724999.594519
308.0,551724999.624740
307.899993896484,551724999.654778
308.0,551724999.684702
308.0,551724999.714702
308.300018310547,551724999.744893
308.300018310547,551724999.774786
308.200012207031,551724999.804581
308.200012207031,551724999.834759
308.300018310547,551724999.864748
308.300018310547,551724999.894760
308.200012207031,551724999.924751
308.200012207031,551724999.954755
308.5,551724999.984234
308.5,551725000.014567
308.700012207031,551725000.044651
308.300018310547,551725000.074744
308.700012207031,551725000.104660
308.399993896484,551725000.134667
308.600006103516,551725000.164696
308.600006103516,551725000.195028
308.600006103516,551725000.224761
308.5,551725000.254473
308.5,551725000.284701
308.700012207031,551725000.314500
308.700012207031,551725000.344703
308.700012207031,551725000.374756
308.700012207031,551725000.404680
308.700012207031,551725000.434520
308.800018310547,551725000.464745
308.800018310547,551725000.494328
308.800018310547,551725000.524741
308.800018310547,551725000.554416
308.700012207031,551725000.584730
308.800018310547,551725000.614730
308.800018310547,551725000.644669
308.800018310547,551725000.674703
308.800018310547,551725000.704720
308.899993896484,551725000.734194
308.899993896484,551725000.764660
308.899993896484,551725000.794813
308.700012207031,551725000.824667
308.700012207031,551725000.854741
308.800018310547,551725000.884614
308.899993896484,551725000.914730
308.800018310547,551725000.944648
308.800018310547,551725000.974700
308.800018310547,551725001.004281
308.800018310547,551725001.034732
308.800018310547,551725001.064715
308.600006103516,551725001.094504
308.600006103516,551725001.124714
308.300018310547,551725001.154488
308.600006103516,551725001.184498
308.600006103516,551725001.214715
308.600006103516,551725001.244316
308.700012207031,551725001.274598
308.399993896484,551725001.304708
308.700012207031,551725001.334833
308.300018310547,551725001.364702
308.800018310547,551725001.394723
308.5,551725001.424775
308.5,551725001.454660
308.5,551725001.484822
308.399993896484,551725001.514706
308.399993896484,551725001.544715
308.399993896484,551725001.574601
308.399993896484,551725001.604694
308.200012207031,551725001.634703
308.200012207031,551725001.664703
308.100006103516,551725001.694683
308.0,551725001.724669
307.899993896484,551725001.754679
307.700012207031,551725001.784681
307.899993896484,551725001.814688
307.600006103516,551725001.844716
307.600006103516,551725001.874767
307.200012207031,551725001.904560
307.200012207031,551725001.934622
307.200012207031,551725001.957395
307.0,551725001.998282
307.0,551725002.039699
307.100006103516,551725002.080949
307.200012207031,551725002.122304
307.200012207031,551725002.163206
307.399993896484,551725002.204353
307.399993896484,551725002.245615
307.399993896484,551725002.287226
307.399993896484,551725002.328484
307.399993896484,551725002.369711
307.200012207031,551725002.410849
307.200012207031,551725002.452304
307.100006103516,551725002.493088
307.100006103516,551725002.534615
306.399993896484,551725002.575924
305.600006103516,551725002.617320
305.399993896484,551725002.658315
304.700012207031,551725002.699566
304.300018310547,551725002.740575
304.100006103516,551725002.782454
303.5,551725002.823328
303.5,551725002.864655
302.899993896484,551725002.905938
302.899993896484,551725002.947296
302.399993896484,551725002.988311
302.100006103516,551725003.029803
302.100006103516,551725003.071047
301.700012207031,551725003.112289
301.600006103516,551725003.153619
300.800018310547,551725003.194565
300.700012207031,551725003.235558
300.100006103516,551725003.277302
299.800018310547,551725003.318539
299.5,551725003.359303
299.100006103516,551725003.400949
298.700012207031,551725003.442123
298.5,551725003.483509
298.399993896484,551725003.524766
298.300018310547,551725003.565803
297.600006103516,551725003.607152
297.600006103516,551725003.648509
297.5,551725003.689713
297.5,551725003.731026
297.200012207031,551725003.772097
297.100006103516,551725003.813427
297.0,551725003.854766
296.899993896484,551725003.895947
296.700012207031,551725003.937161
296.600006103516,551725003.978618
296.100006103516,551725004.019859
295.899993896484,551725004.060779
295.800018310547,551725004.102235
295.700012207031,551725004.143439
295.600006103516,551725004.184748
295.5,551725004.225952
295.200012207031,551725004.267190
294.700012207031,551725004.308510
294.700012207031,551725004.349739
294.200012207031,551725004.390906
294.100006103516,551725004.432158
293.899993896484,551725004.473462
293.5,551725004.514284
293.399993896484,551725004.555967
293.300018310547,551725004.597221
292.700012207031,551725004.638436
292.600006103516,551725004.679506
292.0,551725004.720932
291.600006103516,551725004.762224
291.5,551725004.803402
291.399993896484,551725004.844698
291.399993896484,551725004.885974
291.100006103516,551725004.927240
290.800018310547,551725004.968422
290.800018310547,551725005.009649
290.600006103516,551725005.050866
290.5,551725005.092128
290.5,551725005.133417
290.5,551725005.174162
290.300018310547,551725005.215750
290.100006103516,551725005.257012
290.0,551725005.298251
290.0,551725005.339501
289.800018310547,551725005.380628
289.399993896484,551725005.421853
289.100006103516,551725005.462977
289.0,551725005.504693
288.899993896484,551725005.545962
289.0,551725005.587241
289.0,551725005.628330
289.100006103516,551725005.669698
289.0,551725005.710889
289.100006103516,551725005.752206
289.5,551725005.793454
289.700012207031,551725005.834709
289.800018310547,551725005.875938
289.899993896484,551725005.917241
290.300018310547,551725005.958389
290.600006103516,551725005.999657
290.899993896484,551725006.040927
291.100006103516,551725006.082121
291.399993896484,551725006.123554
291.899993896484,551725006.164610
292.5,551725006.205940
292.5,551725006.246832
292.5,551725006.288361
292.899993896484,551725006.329663
293.399993896484,551725006.370583
293.700012207031,551725006.412131
294.0,551725006.453352
294.300018310547,551725006.494253
294.399993896484,551725006.535651
295.0,551725006.577171
295.399993896484,551725006.618562
295.800018310547,551725006.659678
296.200012207031,551725006.700924
296.300018310547,551725006.741877
296.899993896484,551725006.783350
297.300018310547,551725006.824666
298.200012207031,551725006.866026
298.300018310547,551725006.907162
298.700012207031,551725006.948535
298.899993896484,551725006.989172
298.899993896484,551725007.030847
299.399993896484,551725007.072312
299.5,551725007.113432
300.0,551725007.154756
300.399993896484,551725007.196047
300.5,551725007.237487
300.700012207031,551725007.278510
300.899993896484,551725007.319571
301.300018310547,551725007.360817
301.700012207031,551725007.402048
301.899993896484,551725007.443523
302.399993896484,551725007.485059
302.5,551725007.526036
302.700012207031,551725007.567295
302.700012207031,551725007.608526
302.700012207031,551725007.649766
302.800018310547,551725007.691032
303.0,551725007.732299
303.100006103516,551725007.773418
303.100006103516,551725007.814782
303.100006103516,551725007.856126
303.200012207031,551725007.897276
303.200012207031,551725007.938508
303.5,551725007.979737
303.5,551725008.020781
303.600006103516,551725008.062217
303.700012207031,551725008.103507
303.700012207031,551725008.144690
303.700012207031,551725008.186018
303.700012207031,551725008.227203
303.800018310547,551725008.268643
303.899993896484,551725008.309739
303.899993896484,551725008.350894
303.899993896484,551725008.391833
303.899993896484,551725008.433478
303.899993896484,551725008.474526
304.200012207031,551725008.515932
304.200012207031,551725008.557241
304.399993896484,551725008.598268
304.600006103516,551725008.639683
304.600006103516,551725008.680693
304.700012207031,551725008.722180
304.800018310547,551725008.763487
305.0,551725008.804734
305.0,551725008.846001
305.100006103516,551725008.887248
305.100006103516,551725008.928482
304.899993896484,551725008.969548
304.800018310547,551725009.010889
304.800018310547,551725009.052120
304.899993896484,551725009.093355
304.899993896484,551725009.134671
304.899993896484,551725009.175979
304.800018310547,551725009.216999
304.700012207031,551725009.258414
304.800018310547,551725009.299740
304.800018310547,551725009.341090
304.800018310547,551725009.382226
304.600006103516,551725009.423431
304.600006103516,551725009.464703
304.600006103516,551725009.505629
304.700012207031,551725009.547135
304.700012207031,551725009.588460
304.600006103516,551725009.629704
304.5,551725009.670635
304.399993896484,551725009.712105
304.399993896484,551725009.753135
304.5,551725009.794513
304.5,551725009.835801
304.5,551725009.876976
304.5,551725009.918382
304.600006103516,551725009.959686
304.600006103516,551725010.000486
304.300018310547,551725010.042002
304.300018310547,551725010.083437
304.300018310547,551725010.124628
304.300018310547,551725010.165962
304.200012207031,551725010.207146
304.200012207031,551725010.248111
304.0,551725010.289462
303.899993896484,551725010.331062
303.600006103516,551725010.371947
303.600006103516,551725010.412948
303.399993896484,551725010.454690
303.200012207031,551725010.495743
303.200012207031,551725010.537301
303.200012207031,551725010.578365
303.200012207031,551725010.619698
303.100006103516,551725010.660828
303.0,551725010.702001
302.600006103516,551725010.743040
302.5,551725010.784699
302.200012207031,551725010.825816
301.800018310547,551725010.866721
301.5,551725010.908329
300.899993896484,551725010.949658
300.399993896484,551725010.990683
300.399993896484,551725011.032107
300.300018310547,551725011.073422
299.800018310547,551725011.114800
299.399993896484,551725011.155912
299.200012207031,551725011.197318
298.800018310547,551725011.238179
298.800018310547,551725011.279699
298.399993896484,551725011.321092
297.800018310547,551725011.362255
296.899993896484,551725011.403200
296.600006103516,551725011.485526
296.100006103516,551725011.485917
296.0,551725011.527268
295.700012207031,551725011.568483
295.600006103516,551725011.609762
295.5,551725011.651035
295.100006103516,551725011.692275
294.899993896484,551725011.733556
294.700012207031,551725011.774879
294.300018310547,551725011.815978
293.800018310547,551725011.857257
293.399993896484,551725011.898502
293.200012207031,551725011.939764
292.800018310547,551725011.981035
292.399993896484,551725012.022241
292.0,551725012.063499
292.0,551725012.104617
292.100006103516,551725012.146015
