pF,time
296.800018310547,551728741.476867
296.700012207031,551728741.506518
296.399993896484,551728741.536480
296.100006103516,551728741.566695
296.0,551728741.596708
295.600006103516,551728741.626690
295.600006103516,551728741.656460
295.600006103516,551728741.686655
295.700012207031,551728741.716314
295.700012207031,551728741.746689
295.5,551728741.776665
295.5,551728741.806565
295.399993896484,551728741.836455
295.100006103516,551728741.866647
295.100006103516,551728741.896671
295.399993896484,551728741.926666
295.5,551728741.956294
295.5,551728741.986679
295.300018310547,551728742.016656
295.0,551728742.046575
295.0,551728742.076662
295.0,551728742.106446
295.100006103516,551728742.136658
295.200012207031,551728742.166613
295.300018310547,551728742.196661
295.5,551728742.226678
295.800018310547,551728742.256666
296.0,551728742.286452
296.0,551728742.316658
296.600006103516,551728742.346694
296.800018310547,551728742.376682
296.800018310547,551728742.406670
297.200012207031,551728742.436584
297.399993896484,551728742.466354
298.0,551728742.496289
298.200012207031,551728742.526290
298.5,551728742.556581
298.600006103516,551728742.586553
298.700012207031,551728742.616653
298.700012207031,551728742.646364
298.800018310547,551728742.676602
298.899993896484,551728742.706358
299.0,551728742.736589
299.100006103516,551728742.766658
299.5,551728742.796580
299.800018310547,551728742.826633
300.0,551728742.856634
300.0,551728742.886588
300.0,551728742.916495
300.399993896484,551728742.946615
300.700012207031,551728742.976636
300.899993896484,551728743.006358
300.899993896484,551728743.036533
300.899993896484,551728743.066570
300.700012207031,551728743.096526
300.600006103516,551728743.126619
300.5,551728743.156636
300.200012207031,551728743.186619
299.800018310547,551728743.216347
298.800018310547,551728743.246640
298.5,551728743.276641
298.399993896484,551728743.306629
297.800018310547,551728743.336553
297.600006103516,551728743.366642
297.600006103516,551728743.396626
297.300018310547,551728743.426635
297.200012207031,551728743.456275
297.200012207031,551728743.486637
297.100006103516,551728743.516615
297.200012207031,551728743.546607
296.899993896484,551728743.576750
297.0,551728743.606714
297.0,551728743.636548
297.0,551728743.666508
296.899993896484,551728743.696614
296.800018310547,551728743.726360
296.5,551728743.756374
296.200012207031,551728743.786513
296.0,551728743.816474
295.800018310547,551728743.846622
295.700012207031,551728743.876606
295.200012207031,551728743.906603
295.0,551728743.936615
294.899993896484,551728743.966314
294.899993896484,551728743.996660
294.800018310547,551728744.026553
294.800018310547,551728744.056621
294.800018310547,551728744.086721
294.899993896484,551728744.116630
294.899993896484,551728744.146535
294.800018310547,551728744.176587
294.700012207031,551728744.206138
294.600006103516,551728744.236104
294.5,551728744.266550
294.600006103516,551728744.296595
294.600006103516,551728744.326390
294.600006103516,551728744.356593
294.800018310547,551728744.386539
294.600006103516,551728744.416676
294.800018310547,551728744.446712
294.800018310547,551728744.476721
294.800018310547,551728744.506612
294.700012207031,551728744.536590
294.700012207031,551728744.566542
294.700012207031,551728744.596538
294.800018310547,551728744.626229
295.100006103516,551728744.656451
295.200012207031,551728744.686696
295.100006103516,551728744.716325
295.300018310547,551728744.746479
295.5,551728744.776568
295.5,551728744.806572
295.399993896484,551728744.836579
295.200012207031,551728744.866608
295.100006103516,551728744.896371
295.100006103516,551728744.926537
295.100006103516,551728744.956272
294.600006103516,551728744.986512
294.100006103516,551728745.016711
293.899993896484,551728745.046656
293.0,551728745.076714
293.0,551728745.106491
293.0,551728745.136689
293.200012207031,551728745.166713
293.200012207031,551728745.196456
293.399993896484,551728745.226695
293.399993896484,551728745.256484
293.700012207031,551728745.286641
294.100006103516,551728745.316669
294.100006103516,551728745.346624
294.100006103516,551728745.376401
294.200012207031,551728745.406684
294.399993896484,551728745.436694
294.700012207031,551728745.466685
