pF,time,sample
262.600006103516,2018-02-16T08:54:22.292,1
262.399993896484,2018-02-16T08:54:22.330,2
262.300018310547,2018-02-16T08:54:22.371,3
262.300018310547,2018-02-16T08:54:22.412,4
262.300018310547,2018-02-16T08:54:22.454,5
262.800018310547,2018-02-16T08:54:22.495,6
262.899993896484,2018-02-16T08:54:22.536,7
263.0,2018-02-16T08:54:22.577,8
263.0,2018-02-16T08:54:22.619,9
263.100006103516,2018-02-16T08:54:22.660,10
263.300018310547,2018-02-16T08:54:22.701,11
263.300018310547,2018-02-16T08:54:22.742,12
263.0,2018-02-16T08:54:22.784,13
263.0,2018-02-16T08:54:22.825,14
262.800018310547,2018-02-16T08:54:22.866,15
262.800018310547,2018-02-16T08:54:22.907,16
262.700012207031,2018-02-16T08:54:22.949,17
262.800018310547,2018-02-16T08:54:22.990,18
262.800018310547,2018-02-16T08:54:23.031,19
263.0,2018-02-16T08:54:23.072,20
263.0,2018-02-16T08:54:23.114,21
263.0,2018-02-16T08:54:23.155,22
263.0,2018-02-16T08:54:23.196,23
263.100006103516,2018-02-16T08:54:23.237,24
263.100006103516,2018-02-16T08:54:23.279,25
263.100006103516,2018-02-16T08:54:23.320,26
263.0,2018-02-16T08:54:23.361,27
262.800018310547,2018-02-16T08:54:23.402,28
262.700012207031,2018-02-16T08:54:23.444,29
262.399993896484,2018-02-16T08:54:23.485,30
262.200012207031,2018-02-16T08:54:23.526,31
262.200012207031,2018-02-16T08:54:23.567,32
262.200012207031,2018-02-16T08:54:23.609,33
262.200012207031,2018-02-16T08:54:23.650,34
262.200012207031,2018-02-16T08:54:23.691,35
262.300018310547,2018-02-16T08:54:23.732,36
262.300018310547,2018-02-16T08:54:23.774,37
262.300018310547,2018-02-16T08:54:23.815,38
262.300018310547,2018-02-16T08:54:23.856,39
262.300018310547,2018-02-16T08:54:23.897,40
262.399993896484,2018-02-16T08:54:23.939,41
262.5,2018-02-16T08:54:23.980,42
262.600006103516,2018-02-16T08:54:24.022,43
262.600006103516,2018-02-16T08:54:24.062,44
262.800018310547,2018-02-16T08:54:24.104,45
262.899993896484,2018-02-16T08:54:24.145,46
262.899993896484,2018-02-16T08:54:24.187,47
262.600006103516,2018-02-16T08:54:24.227,48
262.600006103516,2018-02-16T08:54:24.269,49
262.600006103516,2018-02-16T08:54:24.310,50
262.600006103516,2018-02-16T08:54:24.351,51
262.5,2018-02-16T08:54:24.392,52
262.5,2018-02-16T08:54:24.434,53
262.800018310547,2018-02-16T08:54:24.475,54
262.800018310547,2018-02-16T08:54:24.516,55
262.700012207031,2018-02-16T08:54:24.557,56
262.700012207031,2018-02-16T08:54:24.599,57
262.5,2018-02-16T08:54:24.640,58
262.700012207031,2018-02-16T08:54:24.681,59
262.700012207031,2018-02-16T08:54:24.723,60
262.899993896484,2018-02-16T08:54:24.764,61
263.300018310547,2018-02-16T08:54:24.805,62
263.300018310547,2018-02-16T08:54:24.846,63
263.899993896484,2018-02-16T08:54:24.888,64
264.200012207031,2018-02-16T08:54:24.929,65
264.200012207031,2018-02-16T08:54:24.970,66
264.899993896484,2018-02-16T08:54:25.011,67
265.5,2018-02-16T08:54:25.053,68
265.899993896484,2018-02-16T08:54:25.094,69
266.600006103516,2018-02-16T08:54:25.135,70
267.200012207031,2018-02-16T08:54:25.176,71
268.300018310547,2018-02-16T08:54:25.217,72
268.899993896484,2018-02-16T08:54:25.259,73
269.800018310547,2018-02-16T08:54:25.300,74
270.600006103516,2018-02-16T08:54:25.341,75
270.899993896484,2018-02-16T08:54:25.382,76
271.700012207031,2018-02-16T08:54:25.424,77
272.5,2018-02-16T08:54:25.465,78
273.0,2018-02-16T08:54:25.506,79
273.5,2018-02-16T08:54:25.547,80
273.5,2018-02-16T08:54:25.589,81
273.600006103516,2018-02-16T08:54:25.630,82
273.600006103516,2018-02-16T08:54:25.671,83
273.700012207031,2018-02-16T08:54:25.712,84
273.800018310547,2018-02-16T08:54:25.754,85
273.800018310547,2018-02-16T08:54:25.795,86
273.600006103516,2018-02-16T08:54:25.836,87
273.399993896484,2018-02-16T08:54:25.877,88
273.100006103516,2018-02-16T08:54:25.919,89
272.800018310547,2018-02-16T08:54:25.960,90
272.399993896484,2018-02-16T08:54:26.001,91
272.100006103516,2018-02-16T08:54:26.042,92
271.800018310547,2018-02-16T08:54:26.084,93
271.700012207031,2018-02-16T08:54:26.125,94
271.700012207031,2018-02-16T08:54:26.167,95
271.700012207031,2018-02-16T08:54:26.208,96
271.5,2018-02-16T08:54:26.249,97
271.200012207031,2018-02-16T08:54:26.290,98
270.600006103516,2018-02-16T08:54:26.331,99
270.300018310547,2018-02-16T08:54:26.372,100
269.700012207031,2018-02-16T08:54:26.455,101
269.700012207031,2018-02-16T08:54:26.496,102
269.5,2018-02-16T08:54:26.537,103
269.100006103516,2018-02-16T08:54:26.579,104
269.0,2018-02-16T08:54:26.620,105
268.5,2018-02-16T08:54:26.662,106
268.399993896484,2018-02-16T08:54:26.702,107
268.399993896484,2018-02-16T08:54:26.744,108
268.100006103516,2018-02-16T08:54:26.785,109
267.800018310547,2018-02-16T08:54:26.826,110
267.800018310547,2018-02-16T08:54:26.867,111
267.600006103516,2018-02-16T08:54:26.909,112
267.600006103516,2018-02-16T08:54:26.950,113
267.300018310547,2018-02-16T08:54:26.991,114
267.100006103516,2018-02-16T08:54:27.033,115
266.899993896484,2018-02-16T08:54:27.074,116
266.800018310547,2018-02-16T08:54:27.115,117
266.700012207031,2018-02-16T08:54:27.156,118
266.700012207031,2018-02-16T08:54:27.198,119
266.700012207031,2018-02-16T08:54:27.239,120
266.600006103516,2018-02-16T08:54:27.280,121
266.300018310547,2018-02-16T08:54:27.321,122
266.100006103516,2018-02-16T08:54:27.363,123
265.899993896484,2018-02-16T08:54:27.404,124
265.899993896484,2018-02-16T08:54:27.445,125
265.5,2018-02-16T08:54:27.486,126
265.399993896484,2018-02-16T08:54:27.528,127
265.100006103516,2018-02-16T08:54:27.569,128
265.0,2018-02-16T08:54:27.610,129
265.0,2018-02-16T08:54:27.651,130
265.0,2018-02-16T08:54:27.693,131
264.800018310547,2018-02-16T08:54:27.734,132
264.399993896484,2018-02-16T08:54:27.775,133
264.399993896484,2018-02-16T08:54:27.816,134
264.399993896484,2018-02-16T08:54:27.857,135
264.100006103516,2018-02-16T08:54:27.899,136
264.100006103516,2018-02-16T08:54:27.940,137
264.100006103516,2018-02-16T08:54:27.981,138
264.0,2018-02-16T08:54:28.022,139
264.0,2018-02-16T08:54:28.064,140
264.0,2018-02-16T08:54:28.105,141
263.899993896484,2018-02-16T08:54:28.146,142
263.899993896484,2018-02-16T08:54:28.187,143
263.899993896484,2018-02-16T08:54:28.229,144
263.800018310547,2018-02-16T08:54:28.270,145
263.700012207031,2018-02-16T08:54:28.311,146
263.700012207031,2018-02-16T08:54:28.352,147
263.700012207031,2018-02-16T08:54:28.394,148
263.800018310547,2018-02-16T08:54:28.435,149
263.800018310547,2018-02-16T08:54:28.476,150
263.600006103516,2018-02-16T08:54:28.517,151
263.600006103516,2018-02-16T08:54:28.559,152
263.5,2018-02-16T08:54:28.600,153
263.5,2018-02-16T08:54:28.641,154
263.5,2018-02-16T08:54:28.683,155
263.600006103516,2018-02-16T08:54:28.724,156
263.5,2018-02-16T08:54:28.765,157
263.600006103516,2018-02-16T08:54:28.806,158
263.5,2018-02-16T08:54:28.848,159
263.700012207031,2018-02-16T08:54:28.889,160
263.700012207031,2018-02-16T08:54:28.930,161
263.700012207031,2018-02-16T08:54:28.971,162
263.700012207031,2018-02-16T08:54:29.013,163
263.600006103516,2018-02-16T08:54:29.054,164
263.800018310547,2018-02-16T08:54:29.095,165
263.600006103516,2018-02-16T08:54:29.137,166
