HR,pF,Time
80,307.899993896484,554393424.475866
81,307.899993896484,554393424.505086
81,307.899993896484,554393424.534917
81,307.899993896484,554393424.564965
81,307.899993896484,554393424.594827
81,307.800018310547,554393424.624900
81,307.899993896484,554393424.655130
81,307.899993896484,554393424.684940
81,307.899993896484,554393424.714896
81,307.899993896484,554393424.759717
81,307.700012207031,554393424.775191
81,307.399993896484,554393424.805060
81,307.399993896484,554393424.834695
81,307.5,554393424.864930
81,307.5,554393424.894614
81,307.200012207031,554393424.925106
81,307.200012207031,554393424.954625
81,307.200012207031,554393424.984632
81,307.100006103516,554393425.014903
81,307.100006103516,554393425.044868
81,306.899993896484,554393425.074909
81,306.700012207031,554393425.104654
81,306.600006103516,554393425.135327
81,306.600006103516,554393425.164911
81,306.600006103516,554393425.194712
81,306.399993896484,554393425.224919
81,306.300018310547,554393425.254909
81,306.399993896484,554393425.285104
81,306.200012207031,554393425.314898
81,305.899993896484,554393425.344786
81,305.600006103516,554393425.375105
81,305.5,554393425.405043
81,305.399993896484,554393425.434891
81,305.300018310547,554393425.464890
80,305.100006103516,554393425.494968
80,304.899993896484,554393425.525115
80,304.800018310547,554393425.554745
80,304.5,554393425.584875
80,304.5,554393425.614594
80,304.100006103516,554393425.644996
80,304.0,554393425.674885
80,303.899993896484,554393425.704763
80,303.5,554393425.734883
80,303.399993896484,554393425.764900
80,303.300018310547,554393425.795019
80,303.300018310547,554393425.824601
80,303.200012207031,554393425.855004
80,302.899993896484,554393425.885043
80,302.800018310547,554393425.914880
80,302.700012207031,554393425.945036
80,302.600006103516,554393425.974818
80,302.200012207031,554393426.004917
80,302.0,554393426.035097
80,302.0,554393426.064655
80,301.899993896484,554393426.095041
80,301.800018310547,554393426.124998
80,301.800018310547,554393426.154992
80,301.700012207031,554393426.184867
80,301.5,554393426.215417
80,301.300018310547,554393426.244902
80,301.100006103516,554393426.274648
80,301.100006103516,554393426.305093
80,300.800018310547,554393426.334598
80,300.700012207031,554393426.364663
80,300.399993896484,554393426.394985
80,300.200012207031,554393426.424615
80,300.200012207031,554393426.455091
80,300.0,554393426.484796
78,300.0,554393426.514967
78,299.700012207031,554393426.544994
78,299.700012207031,554393426.575042
78,299.700012207031,554393426.604868
78,299.700012207031,554393426.635005
78,299.5,554393426.665066
78,299.5,554393426.694841
78,299.100006103516,554393426.724741
78,298.899993896484,554393426.754848
78,298.800018310547,554393426.784609
78,298.800018310547,554393426.815040
78,298.600006103516,554393426.845052
78,298.600006103516,554393426.875084
78,298.5,554393426.904888
78,298.5,554393426.934968
78,298.5,554393426.964843
78,298.5,554393426.994746
78,298.5,554393427.024970
78,298.399993896484,554393427.054639
78,298.300018310547,554393427.084869
78,298.200012207031,554393427.114970
78,298.0,554393427.144630
78,298.0,554393427.175060
78,298.0,554393427.204973
78,298.0,554393427.235123
78,297.600006103516,554393427.264596
78,297.600006103516,554393427.294894
78,297.399993896484,554393427.325067
78,297.399993896484,554393427.354532
78,297.200012207031,554393427.384814
78,297.200012207031,554393427.414937
78,297.200012207031,554393427.445116
78,297.200012207031,554393427.474967
77,297.100006103516,554393427.504699
77,297.0,554393427.534889
77,297.0,554393427.565038
77,297.0,554393427.595174
77,297.0,554393427.624961
77,296.800018310547,554393427.654716
77,296.600006103516,554393427.685166
77,296.600006103516,554393427.714950
77,296.600006103516,554393427.745251
77,296.5,554393427.775041
77,296.5,554393427.805174
77,296.5,554393427.835164
77,296.399993896484,554393427.864671
77,296.200012207031,554393427.895170
77,296.200012207031,554393427.924889
77,296.200012207031,554393427.955175
77,296.200012207031,554393427.984579
77,296.100006103516,554393428.014807
77,296.100006103516,554393428.045316
77,296.0,554393428.075085
77,295.899993896484,554393428.104768
77,295.899993896484,554393428.134971
77,295.800018310547,554393428.165086
77,295.800018310547,554393428.195030
77,295.800018310547,554393428.224682
77,295.899993896484,554393428.255147
77,295.800018310547,554393428.284877
77,295.899993896484,554393428.314935
77,295.800018310547,554393428.344681
77,296.0,554393428.374717
77,296.0,554393428.405095
77,296.0,554393428.434938
77,296.0,554393428.465147
76,296.0,554393428.494883
76,295.800018310547,554393428.525096
76,295.800018310547,554393428.554933
76,295.800018310547,554393428.584923
76,295.899993896484,554393428.614933
76,295.899993896484,554393428.644983
76,295.899993896484,554393428.675132
76,295.899993896484,554393428.704942
76,296.0,554393428.734746
76,295.899993896484,554393428.765046
76,296.0,554393428.794920
76,295.800018310547,554393428.825127
76,296.0,554393428.854861
76,295.899993896484,554393428.885181
76,296.0,554393428.914917
76,295.899993896484,554393428.944781
76,295.899993896484,554393428.974822
76,295.800018310547,554393429.004864
76,295.700012207031,554393429.035138
76,295.700012207031,554393429.064933
76,295.800018310547,554393429.109696
76,295.899993896484,554393429.147428
76,295.899993896484,554393429.185126
76,295.899993896484,554393429.222371
76,295.899993896484,554393429.259938
76,295.800018310547,554393429.297613
76,295.700012207031,554393429.335091
76,295.700012207031,554393429.372621
76,295.899993896484,554393429.409903
76,295.899993896484,554393429.447393
76,295.899993896484,554393429.484978
76,295.899993896484,554393429.522566
76,295.899993896484,554393429.560027
76,295.899993896484,554393429.597378
76,295.899993896484,554393429.634584
76,295.800018310547,554393429.672725
76,295.700012207031,554393429.709675
76,295.800018310547,554393429.747058
76,295.800018310547,554393429.784582
76,295.899993896484,554393429.822067
76,295.899993896484,554393429.860382
76,295.899993896484,554393429.897181
76,295.700012207031,554393429.934662
76,295.700012207031,554393429.972013
76,295.700012207031,554393430.009542
76,295.700012207031,554393430.047181
76,295.899993896484,554393430.084883
76,296.0,554393430.122464
76,296.0,554393430.159986
76,296.100006103516,554393430.197283
76,296.300018310547,554393430.234896
76,296.300018310547,554393430.272019
76,296.600006103516,554393430.310106
76,296.600006103516,554393430.347335
76,296.5,554393430.384819
76,296.5,554393430.422212
76,296.5,554393430.460061
76,296.600006103516,554393430.497371
76,296.600006103516,554393430.534838
76,296.600006103516,554393430.572374
76,296.600006103516,554393430.610008
76,296.600006103516,554393430.647300
76,296.700012207031,554393430.684779
76,296.700012207031,554393430.722449
76,296.700012207031,554393430.759575
76,296.700012207031,554393430.797568
76,296.800018310547,554393430.834855
76,296.700012207031,554393430.872091
76,296.800018310547,554393430.909884
76,296.700012207031,554393430.947293
76,296.899993896484,554393430.985078
76,296.700012207031,554393431.022154
76,296.899993896484,554393431.059678
76,296.700012207031,554393431.097260
76,296.899993896484,554393431.135079
76,296.899993896484,554393431.172467
76,296.899993896484,554393431.209925
76,297.200012207031,554393431.247466
76,297.399993896484,554393431.285058
76,297.399993896484,554393431.323394
76,297.300018310547,554393431.359796
76,297.300018310547,554393431.397113
76,297.399993896484,554393431.434981
76,297.399993896484,554393431.472570
76,297.399993896484,554393431.509582
76,297.5,554393431.547506
76,297.700012207031,554393431.584570
76,297.700012207031,554393431.622556
76,297.700012207031,554393431.659691
76,297.800018310547,554393431.697523
76,297.899993896484,554393431.734830
76,298.300018310547,554393431.772137
76,298.399993896484,554393431.810111
76,298.399993896484,554393431.847231
76,298.5,554393431.884997
76,298.800018310547,554393431.922456
76,298.899993896484,554393431.959580
76,299.0,554393431.997301
76,299.200012207031,554393432.034931
76,299.300018310547,554393432.072124
76,299.800018310547,554393432.110177
76,299.800018310547,554393432.147927
76,299.899993896484,554393432.185054
76,300.0,554393432.222451
76,300.100006103516,554393432.260163
76,300.100006103516,554393432.297684
76,300.100006103516,554393432.334742
76,300.100006103516,554393432.372334
76,300.399993896484,554393432.409889
76,300.399993896484,554393432.447427
76,300.5,554393432.484807
77,300.5,554393432.522438
77,300.5,554393432.560019
77,300.300018310547,554393432.597548
77,300.300018310547,554393432.635182
77,300.300018310547,554393432.672578
77,300.300018310547,554393432.709932
77,300.200012207031,554393432.747054
77,300.200012207031,554393432.784719
77,300.200012207031,554393432.822168
77,300.200012207031,554393432.859669
77,300.200012207031,554393432.897656
77,299.899993896484,554393432.935143
77,299.899993896484,554393432.972450
77,299.899993896484,554393433.009854
77,299.899993896484,554393433.047383
77,299.899993896484,554393433.084633
77,299.800018310547,554393433.122736
77,299.899993896484,554393433.159872
77,299.700012207031,554393433.197412
77,299.800018310547,554393433.235079
77,299.800018310547,554393433.272617
77,299.800018310547,554393433.309694
77,299.899993896484,554393433.347392
77,299.800018310547,554393433.385129
77,299.800018310547,554393433.422106
77,299.600006103516,554393433.459771
78,299.399993896484,554393433.497396
78,299.300018310547,554393433.535035
78,298.899993896484,554393433.572595
78,298.899993896484,554393433.610102
78,298.700012207031,554393433.647403
78,298.600006103516,554393433.684904
78,298.600006103516,554393433.722280
78,298.399993896484,554393433.759904
78,298.200012207031,554393433.797214
78,298.200012207031,554393433.835035
78,298.0,554393433.872387
78,298.0,554393433.910105
78,297.800018310547,554393433.947217
78,297.700012207031,554393433.984890
78,297.399993896484,554393434.059854
78,297.300018310547,554393434.059944
78,297.200012207031,554393434.097639
78,296.899993896484,554393434.134978
78,296.899993896484,554393434.172364
78,296.899993896484,554393434.210120
78,296.899993896484,554393434.247372
78,296.800018310547,554393434.284701
78,296.800018310547,554393434.322217
78,296.800018310547,554393434.359725
78,296.800018310547,554393434.397517
78,296.800018310547,554393434.434851
78,296.800018310547,554393434.472387
79,296.800018310547,554393434.510022
79,296.800018310547,554393434.547502
79,296.800018310547,554393434.585012
79,296.700012207031,554393434.622460
79,296.700012207031,554393434.659920
79,296.700012207031,554393434.697367
79,296.899993896484,554393434.735005
79,297.0,554393434.772157
79,297.0,554393434.810245
79,296.899993896484,554393434.847374
79,296.899993896484,554393434.884760
79,297.300018310547,554393434.922421
79,297.300018310547,554393434.959850
79,297.300018310547,554393434.997362
79,297.200012207031,554393435.035088
79,297.200012207031,554393435.072540
79,297.200012207031,554393435.109649
79,297.200012207031,554393435.147352
79,297.300018310547,554393435.185007
79,297.100006103516,554393435.222352
79,297.300018310547,554393435.259636
79,297.100006103516,554393435.297145
79,297.100006103516,554393435.335063
79,297.0,554393435.372405
79,297.0,554393435.409907
79,297.200012207031,554393435.447479
79,297.200012207031,554393435.485041
79,297.200012207031,554393435.522473
79,297.100006103516,554393435.559996
79,297.100006103516,554393435.597035
79,297.100006103516,554393435.634905
79,297.100006103516,554393435.672557
79,297.100006103516,554393435.709968
79,297.100006103516,554393435.747240
79,297.100006103516,554393435.784554
79,297.0,554393435.822542
79,296.899993896484,554393435.860052
79,296.700012207031,554393435.897472
79,296.700012207031,554393435.934951
79,296.899993896484,554393435.972668
79,296.899993896484,554393436.010054
79,296.899993896484,554393436.047460
79,296.899993896484,554393436.084945
79,296.800018310547,554393436.122490
79,296.800018310547,554393436.160079
79,296.800018310547,554393436.197346
79,297.0,554393436.234774
79,297.0,554393436.272336
79,297.0,554393436.310115
79,297.0,554393436.347440
79,297.0,554393436.385131
79,297.0,554393436.422429
79,297.0,554393436.460018
79,297.0,554393436.497333
79,297.100006103516,554393436.535182
79,297.100006103516,554393436.572427
79,297.100006103516,554393436.609879
79,297.5,554393436.647456
79,297.5,554393436.685156
79,297.600006103516,554393436.722246
79,297.700012207031,554393436.760054
79,297.800018310547,554393436.797644
79,297.800018310547,554393436.834611
79,298.200012207031,554393436.872658
79,298.300018310547,554393436.909947
79,298.399993896484,554393436.947394
79,298.5,554393436.985143
79,298.700012207031,554393437.022640
79,298.899993896484,554393437.060004
79,299.0,554393437.097409
79,299.200012207031,554393437.134917
79,299.300018310547,554393437.172617
79,299.800018310547,554393437.209864
79,299.899993896484,554393437.247426
79,299.899993896484,554393437.285131
79,300.0,554393437.322422
79,300.0,554393437.359720
79,300.300018310547,554393437.397408
79,300.300018310547,554393437.434975
79,300.399993896484,554393437.472668
78,300.399993896484,554393437.510150
78,300.5,554393437.547397
78,300.700012207031,554393437.584781
78,300.700012207031,554393437.622454
78,300.700012207031,554393437.660089
78,300.800018310547,554393437.697257
78,300.800018310547,554393437.734980
78,300.800018310547,554393437.772404
78,300.600006103516,554393437.810114
78,300.800018310547,554393437.847357
78,300.5,554393437.884661
78,300.700012207031,554393437.922482
78,300.700012207031,554393437.960134
78,300.700012207031,554393437.997495
78,300.700012207031,554393438.034611
78,300.600006103516,554393438.072148
78,300.399993896484,554393438.110099
78,300.399993896484,554393438.147371
78,300.399993896484,554393438.184839
78,299.899993896484,554393438.222596
78,299.700012207031,554393438.259879
78,299.700012207031,554393438.297617
78,299.700012207031,554393438.334592
78,299.800018310547,554393438.372159
78,299.800018310547,554393438.409859
78,299.800018310547,554393438.447357
78,299.800018310547,554393438.485074
77,299.700012207031,554393438.522084
77,299.700012207031,554393438.559885
77,299.700012207031,554393438.597386
77,299.399993896484,554393438.635130
77,299.800018310547,554393438.672380
77,299.800018310547,554393438.710083
77,299.800018310547,554393438.747372
77,299.5,554393438.784868
