pF,time
283.700012207031,541089135.769562
283.399993896484,541089135.810246
283.300018310547,541089135.851865
283.300018310547,541089135.892902
283.300018310547,541089135.934127
283.300018310547,541089135.975396
283.300018310547,541089136.016649
283.300018310547,541089136.057748
283.399993896484,541089136.099165
283.399993896484,541089136.140400
283.700012207031,541089136.181661
283.800018310547,541089136.222890
283.800018310547,541089136.264110
283.899993896484,541089136.305244
284.399993896484,541089136.346634
284.600006103516,541089136.387537
284.800018310547,541089136.429214
284.800018310547,541089136.470400
284.800018310547,541089136.511630
284.800018310547,541089136.594049
284.600006103516,541089136.594159
284.399993896484,541089136.635444
283.800018310547,541089136.676623
283.800018310547,541089136.759108
283.800018310547,541089136.759201
283.899993896484,541089136.800345
284.200012207031,541089136.841459
284.5,541089136.882874
284.899993896484,541089136.924141
285.100006103516,541089136.965369
285.200012207031,541089137.006581
285.200012207031,541089137.047858
285.200012207031,541089137.089123
285.0,541089137.130364
284.899993896484,541089137.171445
284.700012207031,541089137.212867
284.5,541089137.295115
284.5,541089137.295340
284.100006103516,541089137.377533
283.5,541089137.377888
283.5,541089137.418782
283.300018310547,541089137.460105
283.200012207031,541089137.501804
283.200012207031,541089137.542860
282.899993896484,541089137.584141
282.700012207031,541089137.625431
282.399993896484,541089137.666594
282.300018310547,541089137.707692
281.100006103516,541089137.749047
279.700012207031,541089137.790188
278.700012207031,541089137.831606
277.100006103516,541089137.872692
274.700012207031,541089137.914097
273.600006103516,541089137.996630
272.5,541089138.037725
272.5,541089138.037827
272.800018310547,541089138.079098
274.700012207031,541089138.120374
276.5,541089138.161662
276.800018310547,541089138.202762
276.800018310547,541089138.243945
276.800018310547,541089138.285492
277.399993896484,541089138.367788
278.0,541089138.367950
278.0,541089138.409086
275.700012207031,541089138.450317
273.800018310547,541089138.491594
272.200012207031,541089138.532988
271.899993896484,541089138.573924
271.800018310547,541089138.615404
271.5,541089138.656581
271.0,541089138.697907
270.700012207031,541089138.738943
270.700012207031,541089138.780037
271.200012207031,541089138.821414
273.700012207031,541089138.862809
275.600006103516,541089138.904048
276.899993896484,541089138.945446
278.399993896484,541089138.986533
279.700012207031,541089139.027834
281.5,541089139.068997
283.600006103516,541089139.110340
285.700012207031,541089139.151689
287.200012207031,541089139.192919
289.300018310547,541089139.234215
293.100006103516,541089139.275441
301.399993896484,541089139.316737
313.600006103516,541089139.357943
327.300018310547,541089139.399184
341.700012207031,541089139.440331
355.800018310547,541089139.481691
367.5,541089139.522785
376.0,541089139.564213
379.200012207031,541089139.605277
379.800018310547,541089139.646582
379.800018310547,541089139.687924
379.0,541089139.729205
377.200012207031,541089139.770275
372.399993896484,541089139.811698
364.100006103516,541089139.853095
352.0,541089139.894192
336.899993896484,541089139.976694
320.800018310547,541089140.018204
286.899993896484,541089140.059186
272.100006103516,541089140.100416
260.399993896484,541089140.141890
253.400009155273,541089140.182551
248.600006103516,541089140.224145
248.600006103516,541089140.265420
249.800003051758,541089140.306490
256.899993896484,541089140.347915
267.200012207031,541089140.389022
282.600006103516,541089140.430442
