pF,time,sample
256.700012207031,2018-02-05T13:36:15.988,1
257.100006103516,2018-02-05T13:36:16.029,2
257.200012207031,2018-02-05T13:36:16.070,3
257.600006103516,2018-02-05T13:36:16.111,4
257.899993896484,2018-02-05T13:36:16.153,5
257.899993896484,2018-02-05T13:36:16.194,6
258.0,2018-02-05T13:36:16.235,7
258.100006103516,2018-02-05T13:36:16.276,8
258.100006103516,2018-02-05T13:36:16.317,9
258.399993896484,2018-02-05T13:36:16.359,10
258.600006103516,2018-02-05T13:36:16.400,11
258.800018310547,2018-02-05T13:36:16.441,12
259.200012207031,2018-02-05T13:36:16.494,13
259.300018310547,2018-02-05T13:36:16.530,14
259.600006103516,2018-02-05T13:36:16.565,15
259.600006103516,2018-02-05T13:36:16.606,16
259.800018310547,2018-02-05T13:36:16.647,17
260.0,2018-02-05T13:36:16.689,18
260.100006103516,2018-02-05T13:36:16.730,19
260.200012207031,2018-02-05T13:36:16.771,20
260.200012207031,2018-02-05T13:36:16.812,21
260.200012207031,2018-02-05T13:36:16.854,22
260.0,2018-02-05T13:36:16.895,23
260.0,2018-02-05T13:36:16.936,24
260.0,2018-02-05T13:36:16.977,25
259.899993896484,2018-02-05T13:36:17.019,26
259.200012207031,2018-02-05T13:36:17.060,27
258.700012207031,2018-02-05T13:36:17.101,28
258.399993896484,2018-02-05T13:36:17.142,29
257.899993896484,2018-02-05T13:36:17.184,30
257.800018310547,2018-02-05T13:36:17.225,31
257.600006103516,2018-02-05T13:36:17.266,32
257.0,2018-02-05T13:36:17.308,33
257.0,2018-02-05T13:36:17.349,34
256.899993896484,2018-02-05T13:36:17.390,35
256.300018310547,2018-02-05T13:36:17.431,36
256.100006103516,2018-02-05T13:36:17.472,37
255.600006103516,2018-02-05T13:36:17.514,38
255.600006103516,2018-02-05T13:36:17.555,39
255.400009155273,2018-02-05T13:36:17.596,40
255.400009155273,2018-02-05T13:36:17.638,41
255.5,2018-02-05T13:36:17.679,42
255.5,2018-02-05T13:36:17.720,43
255.199996948242,2018-02-05T13:36:17.761,44
255.0,2018-02-05T13:36:17.803,45
255.0,2018-02-05T13:36:17.844,46
254.5,2018-02-05T13:36:17.885,47
254.5,2018-02-05T13:36:17.926,48
254.5,2018-02-05T13:36:17.968,49
254.600006103516,2018-02-05T13:36:18.008,50
254.5,2018-02-05T13:36:18.050,51
254.5,2018-02-05T13:36:18.091,52
254.5,2018-02-05T13:36:18.133,53
254.400009155273,2018-02-05T13:36:18.173,54
254.400009155273,2018-02-05T13:36:18.215,55
254.400009155273,2018-02-05T13:36:18.256,56
254.400009155273,2018-02-05T13:36:18.298,57
254.600006103516,2018-02-05T13:36:18.339,58
254.400009155273,2018-02-05T13:36:18.380,59
254.400009155273,2018-02-05T13:36:18.421,60
254.300003051758,2018-02-05T13:36:18.462,61
254.300003051758,2018-02-05T13:36:18.504,62
253.900009155273,2018-02-05T13:36:18.545,63
253.900009155273,2018-02-05T13:36:18.586,64
253.800003051758,2018-02-05T13:36:18.627,65
253.699996948242,2018-02-05T13:36:18.669,66
253.699996948242,2018-02-05T13:36:18.710,67
253.699996948242,2018-02-05T13:36:18.751,68
253.699996948242,2018-02-05T13:36:18.792,69
253.699996948242,2018-02-05T13:36:18.834,70
253.699996948242,2018-02-05T13:36:18.875,71
253.699996948242,2018-02-05T13:36:18.916,72
253.699996948242,2018-02-05T13:36:18.957,73
253.699996948242,2018-02-05T13:36:18.999,74
253.699996948242,2018-02-05T13:36:19.040,75
253.699996948242,2018-02-05T13:36:19.081,76
253.600006103516,2018-02-05T13:36:19.122,77
253.600006103516,2018-02-05T13:36:19.164,78
253.600006103516,2018-02-05T13:36:19.205,79
253.199996948242,2018-02-05T13:36:19.246,80
253.199996948242,2018-02-05T13:36:19.287,81
253.300003051758,2018-02-05T13:36:19.329,82
253.300003051758,2018-02-05T13:36:19.370,83
253.400009155273,2018-02-05T13:36:19.411,84
253.199996948242,2018-02-05T13:36:19.452,85
253.400009155273,2018-02-05T13:36:19.494,86
253.300003051758,2018-02-05T13:36:19.535,87
253.300003051758,2018-02-05T13:36:19.576,88
253.300003051758,2018-02-05T13:36:19.617,89
253.300003051758,2018-02-05T13:36:19.659,90
253.400009155273,2018-02-05T13:36:19.700,91
253.600006103516,2018-02-05T13:36:19.741,92
253.600006103516,2018-02-05T13:36:19.782,93
253.600006103516,2018-02-05T13:36:19.824,94
253.600006103516,2018-02-05T13:36:19.865,95
253.800003051758,2018-02-05T13:36:19.906,96
253.800003051758,2018-02-05T13:36:19.947,97
253.800003051758,2018-02-05T13:36:19.989,98
254.199996948242,2018-02-05T13:36:20.030,99
254.400009155273,2018-02-05T13:36:20.071,100
255.0,2018-02-05T13:36:20.112,101
255.199996948242,2018-02-05T13:36:20.154,102
255.400009155273,2018-02-05T13:36:20.236,103
255.699996948242,2018-02-05T13:36:20.277,104
256.300018310547,2018-02-05T13:36:20.319,105
256.700012207031,2018-02-05T13:36:20.360,106
256.899993896484,2018-02-05T13:36:20.401,107
257.300018310547,2018-02-05T13:36:20.442,108
257.300018310547,2018-02-05T13:36:20.484,109
257.600006103516,2018-02-05T13:36:20.525,110
257.899993896484,2018-02-05T13:36:20.566,111
258.100006103516,2018-02-05T13:36:20.607,112
258.399993896484,2018-02-05T13:36:20.649,113
258.399993896484,2018-02-05T13:36:20.690,114
258.700012207031,2018-02-05T13:36:20.731,115
258.800018310547,2018-02-05T13:36:20.772,116
259.0,2018-02-05T13:36:20.814,117
259.5,2018-02-05T13:36:20.855,118
259.700012207031,2018-02-05T13:36:20.896,119
259.700012207031,2018-02-05T13:36:20.937,120
260.0,2018-02-05T13:36:20.979,121
260.0,2018-02-05T13:36:21.019,122
260.399993896484,2018-02-05T13:36:21.061,123
260.399993896484,2018-02-05T13:36:21.102,124
260.600006103516,2018-02-05T13:36:21.144,125
260.600006103516,2018-02-05T13:36:21.184,126
260.600006103516,2018-02-05T13:36:21.226,127
260.600006103516,2018-02-05T13:36:21.267,128
260.300018310547,2018-02-05T13:36:21.309,129
260.200012207031,2018-02-05T13:36:21.350,130
259.600006103516,2018-02-05T13:36:21.391,131
259.399993896484,2018-02-05T13:36:21.433,132
259.100006103516,2018-02-05T13:36:21.473,133
259.0,2018-02-05T13:36:21.515,134
258.600006103516,2018-02-05T13:36:21.556,135
258.100006103516,2018-02-05T13:36:21.598,136
258.100006103516,2018-02-05T13:36:21.639,137
257.700012207031,2018-02-05T13:36:21.680,138
257.5,2018-02-05T13:36:21.721,139
257.0,2018-02-05T13:36:21.762,140
257.0,2018-02-05T13:36:21.804,141
256.800018310547,2018-02-05T13:36:21.845,142
256.200012207031,2018-02-05T13:36:21.886,143
256.100006103516,2018-02-05T13:36:21.927,144
255.800003051758,2018-02-05T13:36:21.969,145
255.5,2018-02-05T13:36:22.010,146
255.300003051758,2018-02-05T13:36:22.051,147
255.300003051758,2018-02-05T13:36:22.092,148
254.600006103516,2018-02-05T13:36:22.134,149
254.600006103516,2018-02-05T13:36:22.175,150
254.300003051758,2018-02-05T13:36:22.216,151
254.199996948242,2018-02-05T13:36:22.257,152
254.100006103516,2018-02-05T13:36:22.298,153
254.100006103516,2018-02-05T13:36:22.340,154
254.100006103516,2018-02-05T13:36:22.381,155
