pF,time,sample
276.5,2018-02-05T20:32:58.885,1
276.300018310547,2018-02-05T20:32:58.923,2
275.600006103516,2018-02-05T20:32:58.964,3
275.5,2018-02-05T20:32:59.005,4
275.399993896484,2018-02-05T20:32:59.046,5
275.100006103516,2018-02-05T20:32:59.088,6
274.800018310547,2018-02-05T20:32:59.129,7
274.5,2018-02-05T20:32:59.211,8
273.899993896484,2018-02-05T20:32:59.212,9
273.800018310547,2018-02-05T20:32:59.253,10
273.800018310547,2018-02-05T20:32:59.294,11
273.5,2018-02-05T20:32:59.335,12
273.700012207031,2018-02-05T20:32:59.377,13
273.700012207031,2018-02-05T20:32:59.418,14
273.899993896484,2018-02-05T20:32:59.459,15
274.300018310547,2018-02-05T20:32:59.500,16
274.600006103516,2018-02-05T20:32:59.542,17
274.700012207031,2018-02-05T20:32:59.624,18
274.700012207031,2018-02-05T20:32:59.624,19
274.5,2018-02-05T20:32:59.665,20
274.5,2018-02-05T20:32:59.707,21
274.5,2018-02-05T20:32:59.748,22
274.700012207031,2018-02-05T20:32:59.789,23
274.700012207031,2018-02-05T20:32:59.830,24
274.700012207031,2018-02-05T20:32:59.872,25
274.700012207031,2018-02-05T20:32:59.913,26
275.0,2018-02-05T20:32:59.995,27
275.0,2018-02-05T20:32:59.996,28
274.899993896484,2018-02-05T20:33:00.037,29
274.899993896484,2018-02-05T20:33:00.078,30
275.200012207031,2018-02-05T20:33:00.160,31
275.300018310547,2018-02-05T20:33:00.161,32
275.300018310547,2018-02-05T20:33:00.202,33
275.399993896484,2018-02-05T20:33:00.243,34
275.5,2018-02-05T20:33:00.284,35
275.600006103516,2018-02-05T20:33:00.325,36
275.600006103516,2018-02-05T20:33:00.367,37
275.600006103516,2018-02-05T20:33:00.408,38
275.700012207031,2018-02-05T20:33:00.449,39
275.700012207031,2018-02-05T20:33:00.490,40
275.700012207031,2018-02-05T20:33:00.532,41
275.700012207031,2018-02-05T20:33:00.573,42
275.700012207031,2018-02-05T20:33:00.655,43
275.700012207031,2018-02-05T20:33:00.656,44
275.700012207031,2018-02-05T20:33:00.699,45
275.700012207031,2018-02-05T20:33:00.738,46
275.700012207031,2018-02-05T20:33:00.779,47
275.700012207031,2018-02-05T20:33:00.821,48
275.800018310547,2018-02-05T20:33:00.862,49
276.399993896484,2018-02-05T20:33:00.903,50
276.800018310547,2018-02-05T20:33:00.944,51
277.0,2018-02-05T20:33:00.985,52
277.399993896484,2018-02-05T20:33:01.027,53
277.899993896484,2018-02-05T20:33:01.068,54
278.200012207031,2018-02-05T20:33:01.109,55
278.600006103516,2018-02-05T20:33:01.150,56
279.0,2018-02-05T20:33:01.192,57
279.399993896484,2018-02-05T20:33:01.233,58
279.800018310547,2018-02-05T20:33:01.274,59
280.200012207031,2018-02-05T20:33:01.315,60
280.300018310547,2018-02-05T20:33:01.357,61
280.700012207031,2018-02-05T20:33:01.398,62
281.200012207031,2018-02-05T20:33:01.439,63
281.5,2018-02-05T20:33:01.480,64
281.899993896484,2018-02-05T20:33:01.522,65
282.100006103516,2018-02-05T20:33:01.563,66
282.800018310547,2018-02-05T20:33:01.604,67
283.300018310547,2018-02-05T20:33:01.645,68
283.399993896484,2018-02-05T20:33:01.687,69
283.800018310547,2018-02-05T20:33:01.728,70
284.399993896484,2018-02-05T20:33:01.769,71
284.800018310547,2018-02-05T20:33:01.810,72
284.800018310547,2018-02-05T20:33:01.852,73
284.800018310547,2018-02-05T20:33:01.893,74
284.899993896484,2018-02-05T20:33:01.934,75
284.800018310547,2018-02-05T20:33:01.975,76
284.700012207031,2018-02-05T20:33:02.017,77
284.600006103516,2018-02-05T20:33:02.058,78
284.200012207031,2018-02-05T20:33:02.099,79
284.100006103516,2018-02-05T20:33:02.150,80
283.800018310547,2018-02-05T20:33:02.182,81
283.200012207031,2018-02-05T20:33:02.223,82
283.0,2018-02-05T20:33:02.264,83
282.5,2018-02-05T20:33:02.306,84
281.899993896484,2018-02-05T20:33:02.347,85
281.800018310547,2018-02-05T20:33:02.388,86
281.5,2018-02-05T20:33:02.429,87
281.0,2018-02-05T20:33:02.471,88
280.700012207031,2018-02-05T20:33:02.512,89
280.700012207031,2018-02-05T20:33:02.553,90
280.100006103516,2018-02-05T20:33:02.594,91
280.0,2018-02-05T20:33:02.636,92
280.0,2018-02-05T20:33:02.677,93
280.0,2018-02-05T20:33:02.718,94
279.300018310547,2018-02-05T20:33:02.759,95
278.800018310547,2018-02-05T20:33:02.801,96
278.600006103516,2018-02-05T20:33:02.842,97
278.600006103516,2018-02-05T20:33:02.883,98
278.600006103516,2018-02-05T20:33:02.924,99
278.5,2018-02-05T20:33:02.966,100
278.399993896484,2018-02-05T20:33:03.048,101
278.399993896484,2018-02-05T20:33:03.130,102
278.0,2018-02-05T20:33:03.131,103
277.899993896484,2018-02-05T20:33:03.172,104
277.899993896484,2018-02-05T20:33:03.214,105
277.700012207031,2018-02-05T20:33:03.254,106
277.700012207031,2018-02-05T20:33:03.337,107
277.600006103516,2018-02-05T20:33:03.337,108
277.5,2018-02-05T20:33:03.378,109
277.5,2018-02-05T20:33:03.419,110
277.5,2018-02-05T20:33:03.461,111
277.5,2018-02-05T20:33:03.502,112
277.5,2018-02-05T20:33:03.543,113
277.200012207031,2018-02-05T20:33:03.584,114
277.200012207031,2018-02-05T20:33:03.626,115
277.0,2018-02-05T20:33:03.667,116
277.0,2018-02-05T20:33:03.708,117
277.0,2018-02-05T20:33:03.749,118
277.0,2018-02-05T20:33:03.791,119
276.899993896484,2018-02-05T20:33:03.832,120
276.899993896484,2018-02-05T20:33:03.873,121
277.0,2018-02-05T20:33:03.915,122
277.0,2018-02-05T20:33:03.956,123
276.899993896484,2018-02-05T20:33:03.997,124
276.800018310547,2018-02-05T20:33:04.038,125
276.800018310547,2018-02-05T20:33:04.079,126
277.100006103516,2018-02-05T20:33:04.121,127
277.100006103516,2018-02-05T20:33:04.162,128
277.100006103516,2018-02-05T20:33:04.203,129
277.899993896484,2018-02-05T20:33:04.244,130
277.899993896484,2018-02-05T20:33:04.286,131
278.0,2018-02-05T20:33:04.327,132
278.399993896484,2018-02-05T20:33:04.368,133
278.5,2018-02-05T20:33:04.409,134
278.899993896484,2018-02-05T20:33:04.451,135
278.899993896484,2018-02-05T20:33:04.492,136
279.300018310547,2018-02-05T20:33:04.533,137
279.700012207031,2018-02-05T20:33:04.574,138
280.0,2018-02-05T20:33:04.616,139
280.200012207031,2018-02-05T20:33:04.657,140
280.700012207031,2018-02-05T20:33:04.698,141
280.899993896484,2018-02-05T20:33:04.739,142
281.399993896484,2018-02-05T20:33:04.781,143
281.399993896484,2018-02-05T20:33:04.822,144
281.5,2018-02-05T20:33:04.863,145
281.899993896484,2018-02-05T20:33:04.904,146
282.200012207031,2018-02-05T20:33:04.946,147
282.300018310547,2018-02-05T20:33:04.987,148
282.800018310547,2018-02-05T20:33:05.028,149
283.0,2018-02-05T20:33:05.069,150
283.100006103516,2018-02-05T20:33:05.111,151
283.300018310547,2018-02-05T20:33:05.152,152
283.399993896484,2018-02-05T20:33:05.193,153
283.399993896484,2018-02-05T20:33:05.235,154
283.899993896484,2018-02-05T20:33:05.276,155
284.300018310547,2018-02-05T20:33:05.317,156
284.5,2018-02-05T20:33:05.358,157
284.5,2018-02-05T20:33:05.399,158
284.5,2018-02-05T20:33:05.441,159
284.399993896484,2018-02-05T20:33:05.482,160
284.300018310547,2018-02-05T20:33:05.523,161
284.200012207031,2018-02-05T20:33:05.565,162
283.800018310547,2018-02-05T20:33:05.606,163
283.600006103516,2018-02-05T20:33:05.647,164
283.5,2018-02-05T20:33:05.688,165
283.399993896484,2018-02-05T20:33:05.729,166
283.0,2018-02-05T20:33:05.771,167
282.800018310547,2018-02-05T20:33:05.812,168
282.399993896484,2018-02-05T20:33:05.853,169
282.100006103516,2018-02-05T20:33:05.894,170
281.700012207031,2018-02-05T20:33:05.936,171
281.300018310547,2018-02-05T20:33:05.977,172
281.100006103516,2018-02-05T20:33:06.018,173
280.700012207031,2018-02-05T20:33:06.060,174
280.600006103516,2018-02-05T20:33:06.101,175
280.5,2018-02-05T20:33:06.142,176
280.300018310547,2018-02-05T20:33:06.183,177
280.300018310547,2018-02-05T20:33:06.224,178
279.899993896484,2018-02-05T20:33:06.266,179
279.800018310547,2018-02-05T20:33:06.307,180
279.700012207031,2018-02-05T20:33:06.348,181
279.5,2018-02-05T20:33:06.389,182
279.300018310547,2018-02-05T20:33:06.431,183
278.899993896484,2018-02-05T20:33:06.472,184
278.700012207031,2018-02-05T20:33:06.513,185
278.600006103516,2018-02-05T20:33:06.554,186
278.100006103516,2018-02-05T20:33:06.596,187
278.100006103516,2018-02-05T20:33:06.637,188
278.100006103516,2018-02-05T20:33:06.678,189
277.899993896484,2018-02-05T20:33:06.761,190
277.800018310547,2018-02-05T20:33:06.761,191
277.800018310547,2018-02-05T20:33:06.802,192
277.399993896484,2018-02-05T20:33:06.843,193
277.300018310547,2018-02-05T20:33:06.884,194
277.300018310547,2018-02-05T20:33:06.926,195
277.100006103516,2018-02-05T20:33:06.967,196
277.100006103516,2018-02-05T20:33:07.008,197
277.100006103516,2018-02-05T20:33:07.050,198
277.100006103516,2018-02-05T20:33:07.091,199
277.0,2018-02-05T20:33:07.136,200
276.899993896484,2018-02-05T20:33:07.174,201
276.899993896484,2018-02-05T20:33:07.215,202
277.0,2018-02-05T20:33:07.257,203
277.0,2018-02-05T20:33:07.297,204
276.899993896484,2018-02-05T20:33:07.339,205
276.899993896484,2018-02-05T20:33:07.380,206
276.800018310547,2018-02-05T20:33:07.421,207
276.800018310547,2018-02-05T20:33:07.462,208
276.700012207031,2018-02-05T20:33:07.504,209
276.5,2018-02-05T20:33:07.545,210
276.5,2018-02-05T20:33:07.586,211
276.5,2018-02-05T20:33:07.627,212
276.600006103516,2018-02-05T20:33:07.668,213
276.700012207031,2018-02-05T20:33:07.723,214
277.0,2018-02-05T20:33:07.751,215
277.200012207031,2018-02-05T20:33:07.792,216
277.200012207031,2018-02-05T20:33:07.834,217
277.899993896484,2018-02-05T20:33:07.875,218
278.200012207031,2018-02-05T20:33:07.916,219
278.5,2018-02-05T20:33:07.957,220
278.700012207031,2018-02-05T20:33:07.998,221
279.300018310547,2018-02-05T20:33:08.040,222
279.800018310547,2018-02-05T20:33:08.081,223
280.0,2018-02-05T20:33:08.123,224
280.600006103516,2018-02-05T20:33:08.163,225
280.700012207031,2018-02-05T20:33:08.205,226
281.0,2018-02-05T20:33:08.247,227
281.100006103516,2018-02-05T20:33:08.288,228
281.399993896484,2018-02-05T20:33:08.328,229
281.899993896484,2018-02-05T20:33:08.370,230
282.399993896484,2018-02-05T20:33:08.411,231
282.5,2018-02-05T20:33:08.452,232
282.899993896484,2018-02-05T20:33:08.493,233
283.100006103516,2018-02-05T20:33:08.535,234
283.5,2018-02-05T20:33:08.576,235
283.800018310547,2018-02-05T20:33:08.617,236
283.899993896484,2018-02-05T20:33:08.658,237
283.899993896484,2018-02-05T20:33:08.700,238
284.0,2018-02-05T20:33:08.741,239
284.0,2018-02-05T20:33:08.782,240
284.0,2018-02-05T20:33:08.823,241
283.800018310547,2018-02-05T20:33:08.865,242
283.5,2018-02-05T20:33:08.906,243
283.300018310547,2018-02-05T20:33:08.947,244
283.100006103516,2018-02-05T20:33:08.990,245
282.399993896484,2018-02-05T20:33:09.030,246
282.100006103516,2018-02-05T20:33:09.071,247
281.300018310547,2018-02-05T20:33:09.153,248
281.0,2018-02-05T20:33:09.195,249
281.0,2018-02-05T20:33:09.236,250
280.399993896484,2018-02-05T20:33:09.236,251
280.200012207031,2018-02-05T20:33:09.277,252
280.0,2018-02-05T20:33:09.319,253
280.0,2018-02-05T20:33:09.360,254
279.800018310547,2018-02-05T20:33:09.401,255
279.700012207031,2018-02-05T20:33:09.442,256
279.5,2018-02-05T20:33:09.484,257
