pF,time
261.600006103516,542812186.421708
261.0,542812186.462719
260.399993896484,542812186.504134
260.300018310547,542812186.544993
259.800018310547,542812186.586558
259.600006103516,542812186.627644
259.5,542812186.668882
259.5,542812186.710121
259.399993896484,542812186.751363
258.899993896484,542812186.792648
258.5,542812186.833906
258.5,542812186.875244
258.5,542812186.916430
258.300018310547,542812186.957507
258.300018310547,542812186.998968
258.600006103516,542812187.040231
258.600006103516,542812187.081470
258.899993896484,542812187.122651
259.200012207031,542812187.163736
259.899993896484,542812187.205173
260.100006103516,542812187.246398
261.100006103516,542812187.287723
261.899993896484,542812187.328842
262.600006103516,542812187.370170
263.5,542812187.411376
264.700012207031,542812187.494079
265.700012207031,542812187.494184
266.5,542812187.535243
266.800018310547,542812187.576412
267.5,542812187.617745
267.899993896484,542812187.659209
268.700012207031,542812187.700205
269.300018310547,542812187.741437
269.899993896484,542812187.782857
270.5,542812187.823735
271.100006103516,542812187.864722
271.5,542812187.906339
272.399993896484,542812187.947536
272.899993896484,542812187.988935
273.600006103516,542812188.030213
273.899993896484,542812188.071515
274.399993896484,542812188.112175
274.899993896484,542812188.153771
274.899993896484,542812188.195011
274.700012207031,542812188.236245
274.700012207031,542812188.277796
274.300018310547,542812188.318939
274.300018310547,542812188.360006
274.100006103516,542812188.401271
274.0,542812188.442238
273.600006103516,542812188.484052
273.200012207031,542812188.525051
272.800018310547,542812188.566436
272.399993896484,542812188.607498
272.100006103516,542812188.649303
271.700012207031,542812188.690550
271.200012207031,542812188.731579
270.800018310547,542812188.772507
270.399993896484,542812188.813901
269.899993896484,542812188.854949
269.800018310547,542812188.896427
269.300018310547,542812188.937495
268.800018310547,542812188.978730
268.600006103516,542812189.019894
267.800018310547,542812189.061054
267.700012207031,542812189.102841
267.200012207031,542812189.144176
266.899993896484,542812189.185364
266.5,542812189.226130
266.0,542812189.267701
265.700012207031,542812189.309175
265.5,542812189.350377
265.399993896484,542812189.391674
265.300018310547,542812189.432592
265.100006103516,542812189.474116
264.600006103516,542812189.515621
264.5,542812189.556564
264.5,542812189.597875
264.5,542812189.638968
264.899993896484,542812189.680184
265.200012207031,542812189.721608
265.200012207031,542812189.804284
265.300018310547,542812189.845430
265.100006103516,542812189.886618
265.0,542812189.927851
264.5,542812189.969102
264.200012207031,542812190.009840
264.200012207031,542812190.051610
264.200012207031,542812190.092703
264.5,542812190.133730
264.5,542812190.175314
264.899993896484,542812190.216632
265.300018310547,542812190.257912
265.700012207031,542812190.298980
266.0,542812190.340368
266.399993896484,542812190.381635
267.0,542812190.422937
267.700012207031,542812190.464298
268.0,542812190.505436
268.5,542812190.546702
268.700012207031,542812190.587912
269.0,542812190.629112
269.0,542812190.670384
269.0,542812190.711423
269.100006103516,542812190.752889
269.200012207031,542812190.794268
269.5,542812190.835401
269.800018310547,542812190.876650
269.899993896484,542812190.917902
269.899993896484,542812190.959232
269.800018310547,542812191.000426
269.600006103516,542812191.041658
269.200012207031,542812191.082873
268.899993896484,542812191.124443
268.399993896484,542812191.165391
267.700012207031,542812191.206649
267.399993896484,542812191.247887
267.100006103516,542812191.289297
266.800018310547,542812191.330268
266.700012207031,542812191.371708
266.700012207031,542812191.412911
267.0,542812191.454001
267.0,542812191.495102
267.0,542812191.536665
267.0,542812191.577921
266.800018310547,542812191.619330
266.5,542812191.660421
266.200012207031,542812191.701573
266.100006103516,542812191.742900
266.0,542812191.784284
266.0,542812191.825420
265.700012207031,542812191.866539
265.5,542812191.907957
265.300018310547,542812191.949309
265.0,542812191.990620
264.899993896484,542812192.031678
264.899993896484,542812192.072934
265.0,542812192.114279
265.0,542812192.155399
265.100006103516,542812192.196667
265.300018310547,542812192.237983
265.700012207031,542812192.279250
265.800018310547,542812192.320457
266.399993896484,542812192.361742
267.399993896484,542812192.402946
267.800018310547,542812192.444322
268.600006103516,542812192.485436
268.899993896484,542812192.526696
270.200012207031,542812192.568110
271.200012207031,542812192.609397
271.899993896484,542812192.650555
272.600006103516,542812192.691856
272.800018310547,542812192.733169
272.800018310547,542812192.774312
272.600006103516,542812192.815447
272.5,542812192.856805
272.399993896484,542812192.898015
272.300018310547,542812192.939310
272.300018310547,542812192.980600
272.100006103516,542812193.021819
272.100006103516,542812193.063031
271.899993896484,542812193.104403
271.200012207031,542812193.145599
271.100006103516,542812193.186420
270.600006103516,542812193.228237
270.100006103516,542812193.269414
269.700012207031,542812193.310586
269.200012207031,542812193.351870
268.5,542812193.392910
267.899993896484,542812193.434372
267.300018310547,542812193.475592
266.600006103516,542812193.516704
266.200012207031,542812193.558106
265.899993896484,542812193.599366
265.399993896484,542812193.640467
265.0,542812193.681868
264.5,542812193.722644
264.100006103516,542812193.764413
264.0,542812193.805625
263.700012207031,542812193.846669
263.399993896484,542812193.888161
263.200012207031,542812193.929351
262.899993896484,542812193.970706
262.899993896484,542812194.011358
262.700012207031,542812194.053090
262.600006103516,542812194.094368
262.399993896484,542812194.135652
262.399993896484,542812194.176928
262.399993896484,542812194.218124
262.399993896484,542812194.259375
262.300018310547,542812194.300717
262.200012207031,542812194.341722
262.300018310547,542812194.383196
262.5,542812194.424200
262.800018310547,542812194.465678
263.100006103516,542812194.506857
263.600006103516,542812194.548121
264.100006103516,542812194.713343
264.600006103516,542812194.713482
265.399993896484,542812194.713576
266.0,542812194.713949
266.600006103516,542812194.754395
266.600006103516,542812194.795647
267.700012207031,542812194.836877
268.300018310547,542812194.878178
268.600006103516,542812194.919397
269.100006103516,542812194.960642
270.100006103516,542812195.001888
270.399993896484,542812195.043126
270.899993896484,542812195.084390
271.5,542812195.125628
271.800018310547,542812195.166972
272.200012207031,542812195.208049
272.700012207031,542812195.249384
272.700012207031,542812195.290728
273.100006103516,542812195.331968
273.300018310547,542812195.373225
273.700012207031,542812195.414422
273.700012207031,542812195.455728
273.600006103516,542812195.496916
273.5,542812195.538219
273.0,542812195.579529
272.700012207031,542812195.620726
272.700012207031,542812195.662006
272.399993896484,542812195.703242
272.0,542812195.743908
271.899993896484,542812195.785418
271.5,542812195.827000
271.100006103516,542812195.868481
270.700012207031,542812195.909421
270.0,542812195.950672
270.0,542812195.991909
269.399993896484,542812196.032966
269.399993896484,542812196.074262
269.100006103516,542812196.115504
268.700012207031,542812196.156961
268.200012207031,542812196.198142
268.100006103516,542812196.239595
267.399993896484,542812196.280642
267.200012207031,542812196.321786
267.100006103516,542812196.363024
266.899993896484,542812196.404428
266.700012207031,542812196.445742
266.5,542812196.487108
266.300018310547,542812196.528150
266.100006103516,542812196.569502
265.899993896484,542812196.610536
265.700012207031,542812196.651776
265.399993896484,542812196.693381
265.300018310547,542812196.734722
265.0,542812196.775589
264.800018310547,542812196.816893
264.5,542812196.858166
264.200012207031,542812196.899424
264.0,542812196.940894
263.899993896484,542812196.982128
263.700012207031,542812197.023357
263.600006103516,542812197.064356
263.100006103516,542812197.105714
263.100006103516,542812197.146927
263.0,542812197.188359
263.100006103516,542812197.229580
262.899993896484,542812197.270684
262.899993896484,542812197.311759
262.800018310547,542812197.353325
262.700012207031,542812197.394413
262.700012207031,542812197.435730
262.600006103516,542812197.476924
262.600006103516,542812197.518361
262.600006103516,542812197.559559
262.600006103516,542812197.600763
262.399993896484,542812197.641818
262.300018310547,542812197.683112
262.300018310547,542812197.848367
262.300018310547,542812197.848498
262.399993896484,542812197.848676
262.399993896484,542812197.849131
262.399993896484,542812197.889718
262.5,542812197.930684
262.700012207031,542812197.971928
262.899993896484,542812198.012993
263.300018310547,542812198.054681
263.600006103516,542812198.095926
264.200012207031,542812198.260589
264.5,542812198.260681
264.5,542812198.261202
265.0,542812198.261806
265.200012207031,542812198.302175
265.300018310547,542812198.343193
265.800018310547,542812198.384737
265.899993896484,542812198.425560
266.200012207031,542812198.466960
266.399993896484,542812198.507943
266.700012207031,542812198.549225
266.700012207031,542812198.590742
266.899993896484,542812198.632158
267.200012207031,542812198.673374
267.5,542812198.714808
267.399993896484,542812198.755570
267.600006103516,542812198.879581
267.700012207031,542812198.879680
267.800018310547,542812198.880099
267.800018310547,542812198.920886
267.700012207031,542812198.962196
267.600006103516,542812199.003430
267.600006103516,542812199.044485
267.800018310547,542812199.085422
267.800018310547,542812199.127216
268.0,542812199.168595
268.200012207031,542812199.209689
268.200012207031,542812199.250933
268.600006103516,542812199.292174
268.700012207031,542812199.333616
268.800018310547,542812199.374750
268.899993896484,542812199.415938
269.0,542812199.456835
269.100006103516,542812199.498189
269.300018310547,542812199.539634
269.300018310547,542812199.580653
269.300018310547,542812199.622188
269.300018310547,542812199.663704
269.600006103516,542812199.704423
269.600006103516,542812199.745961
269.899993896484,542812199.786896
270.399993896484,542812199.828582
270.800018310547,542812199.869738
271.200012207031,542812199.910773
271.600006103516,542812199.952214
272.399993896484,542812199.993541
272.399993896484,542812200.034805
273.700012207031,542812200.076095
274.600006103516,542812200.117155
275.200012207031,542812200.158569
275.899993896484,542812200.199777
276.5,542812200.240887
277.100006103516,542812200.282219
277.700012207031,542812200.323640
278.700012207031,542812200.364881
279.0,542812200.406118
279.399993896484,542812200.447400
279.600006103516,542812200.488553
280.0,542812200.529877
280.0,542812200.653601
280.600006103516,542812200.653735
280.700012207031,542812200.653914
281.0,542812200.694821
281.200012207031,542812200.736100
281.399993896484,542812200.777156
281.399993896484,542812200.818622
281.399993896484,542812200.859901
