pF,time
257.300018310547,546540485.286682
257.300018310547,546540485.315779
257.300018310547,546540485.345728
257.300018310547,546540485.375727
257.399993896484,546540485.405723
257.399993896484,546540485.435784
257.399993896484,546540485.465697
257.399993896484,546540485.495745
257.5,546540485.525771
257.600006103516,546540485.555710
257.5,546540485.585751
257.5,546540485.615697
257.5,546540485.645717
257.5,546540485.675772
257.5,546540485.705697
257.399993896484,546540485.735411
257.399993896484,546540485.765872
257.399993896484,546540485.795704
257.399993896484,546540485.825728
257.300018310547,546540485.855697
257.399993896484,546540485.886050
257.300018310547,546540485.915730
257.399993896484,546540485.945831
257.399993896484,546540485.975657
257.5,546540486.005661
257.5,546540486.035830
257.600006103516,546540486.065791
257.5,546540486.095767
257.5,546540486.125695
257.5,546540486.155721
257.5,546540486.185679
257.600006103516,546540486.215705
257.5,546540486.245749
257.600006103516,546540486.275583
257.5,546540486.305876
257.5,546540486.335822
257.5,546540486.365718
257.399993896484,546540486.395821
257.600006103516,546540486.425887
257.600006103516,546540486.455686
257.600006103516,546540486.485534
257.700012207031,546540486.516276
257.5,546540486.545781
257.600006103516,546540486.575824
257.600006103516,546540486.605850
257.700012207031,546540486.635626
257.700012207031,546540486.665796
257.700012207031,546540486.695867
257.700012207031,546540486.740783
257.600006103516,546540486.755496
257.800018310547,546540486.785765
257.899993896484,546540486.815790
257.899993896484,546540486.845644
257.899993896484,546540486.875595
257.899993896484,546540486.905446
257.899993896484,546540486.935901
257.899993896484,546540486.965793
257.800018310547,546540486.995616
257.800018310547,546540487.025783
257.899993896484,546540487.055873
257.899993896484,546540487.085850
257.899993896484,546540487.115576
257.899993896484,546540487.145794
257.899993896484,546540487.175579
257.800018310547,546540487.205845
257.700012207031,546540487.235627
257.800018310547,546540487.265384
257.700012207031,546540487.295411
257.800018310547,546540487.325792
257.800018310547,546540487.370633
257.899993896484,546540487.385308
258.0,546540487.415600
258.0,546540487.445857
258.0,546540487.475621
258.100006103516,546540487.505847
258.100006103516,546540487.535777
258.0,546540487.565819
258.0,546540487.595826
258.0,546540487.625781
258.0,546540487.655765
257.899993896484,546540487.685828
257.800018310547,546540487.715765
257.800018310547,546540487.745843
257.600006103516,546540487.775873
258.0,546540487.805823
258.0,546540487.835930
258.0,546540487.865824
258.100006103516,546540487.895764
258.100006103516,546540487.925957
258.200012207031,546540487.955806
258.200012207031,546540487.985799
258.200012207031,546540488.015991
258.300018310547,546540488.045770
258.300018310547,546540488.075829
258.300018310547,546540488.105818
258.300018310547,546540488.135785
258.200012207031,546540488.180327
258.0,546540488.195812
258.0,546540488.225760
258.100006103516,546540488.255828
258.100006103516,546540488.285758
258.100006103516,546540488.315780
257.899993896484,546540488.345807
257.899993896484,546540488.375811
257.899993896484,546540488.405596
257.800018310547,546540488.435803
257.5,546540488.465779
257.100006103516,546540488.495735
256.600006103516,546540488.525745
256.399993896484,546540488.555773
256.300018310547,546540488.585812
255.900009155273,546540488.615748
255.900009155273,546540488.645750
256.899993896484,546540488.675748
257.5,546540488.706306
258.399993896484,546540488.735821
258.399993896484,546540488.765984
259.100006103516,546540488.795685
259.700012207031,546540488.825741
260.399993896484,546540488.856180
261.100006103516,546540488.885800
261.800018310547,546540488.915810
262.5,546540488.960685
263.399993896484,546540488.975563
264.200012207031,546540489.005605
265.300018310547,546540489.035723
266.100006103516,546540489.065721
267.200012207031,546540489.095764
268.300018310547,546540489.125714
269.399993896484,546540489.185453
270.899993896484,546540489.185598
272.0,546540489.215277
272.600006103516,546540489.245577
274.100006103516,546540489.275825
275.100006103516,546540489.305814
276.600006103516,546540489.335736
277.700012207031,546540489.365729
278.700012207031,546540489.395800
279.600006103516,546540489.425730
280.399993896484,546540489.455792
280.899993896484,546540489.485694
281.300018310547,546540489.515716
281.899993896484,546540489.545713
282.5,546540489.575768
282.800018310547,546540489.605733
283.100006103516,546540489.635798
284.0,546540489.665701
284.5,546540489.695684
285.399993896484,546540489.725828
285.800018310547,546540489.755793
286.399993896484,546540489.785768
286.899993896484,546540489.815746
287.200012207031,546540489.846013
287.399993896484,546540489.875723
287.600006103516,546540489.905877
287.700012207031,546540489.965718
288.0,546540490.006824
289.399993896484,546540490.047899
290.800018310547,546540490.089440
291.800018310547,546540490.130763
292.600006103516,546540490.171943
293.600006103516,546540490.213325
294.0,546540490.254609
294.0,546540490.295761
294.100006103516,546540490.336858
294.200012207031,546540490.378282
294.300018310547,546540490.419455
294.399993896484,546540490.460762
294.399993896484,546540490.501936
294.399993896484,546540490.543188
294.399993896484,546540490.584444
294.600006103516,546540490.625814
294.600006103516,546540490.667049
294.600006103516,546540490.708409
294.899993896484,546540490.754699
294.899993896484,546540490.790856
294.899993896484,546540490.832036
294.899993896484,546540490.873320
294.899993896484,546540490.914585
295.0,546540490.955879
295.200012207031,546540490.997131
295.0,546540491.038340
295.200012207031,546540491.079549
295.200012207031,546540491.120646
295.200012207031,546540491.162075
295.200012207031,546540491.202865
295.200012207031,546540491.244560
295.399993896484,546540491.285789
296.100006103516,546540491.327040
296.100006103516,546540491.368346
296.300018310547,546540491.409609
296.5,546540491.450709
296.600006103516,546540491.491803
296.700012207031,546540491.533321
297.100006103516,546540491.574620
297.100006103516,546540491.615802
297.100006103516,546540491.657109
297.0,546540491.698322
296.800018310547,546540491.739481
296.700012207031,546540491.780801
296.399993896484,546540491.863174
296.300018310547,546540491.863263
296.300018310547,546540491.904560
296.399993896484,546540491.945828
296.5,546540491.987061
296.5,546540492.028281
296.5,546540492.069487
296.300018310547,546540492.110767
296.5,546540492.152026
296.300018310547,546540492.193281
296.399993896484,546540492.234501
296.300018310547,546540492.275789
296.300018310547,546540492.317004
296.300018310547,546540492.358264
296.300018310547,546540492.399508
296.300018310547,546540492.440596
296.300018310547,546540492.482063
296.200012207031,546540492.523265
296.200012207031,546540492.564514
296.200012207031,546540492.605822
296.300018310547,546540492.647005
296.300018310547,546540492.688307
296.200012207031,546540492.729446
296.200012207031,546540492.770902
296.200012207031,546540492.811990
296.200012207031,546540492.853244
296.200012207031,546540492.894496
296.200012207031,546540492.935864
296.200012207031,546540492.977057
296.200012207031,546540493.018252
296.100006103516,546540493.059318
296.100006103516,546540493.100871
296.100006103516,546540493.141716
295.800018310547,546540493.183229
295.700012207031,546540493.223960
295.300018310547,546540493.265593
295.300018310547,546540493.306994
295.200012207031,546540493.348247
295.0,546540493.389476
294.600006103516,546540493.430966
294.600006103516,546540493.471810
294.700012207031,546540493.513222
295.100006103516,546540493.554470
295.300018310547,546540493.595901
295.5,546540493.636978
295.600006103516,546540493.678303
296.100006103516,546540493.719533
296.100006103516,546540493.760892
296.300018310547,546540493.801971
296.300018310547,546540493.843210
296.300018310547,546540493.884530
296.200012207031,546540493.925829
296.100006103516,546540493.967021
295.899993896484,546540494.007961
295.899993896484,546540494.049457
295.899993896484,546540494.090838
295.600006103516,546540494.131785
295.300018310547,546540494.173074
295.300018310547,546540494.214538
295.399993896484,546540494.255823
296.200012207031,546540494.296968
297.5,546540494.338214
298.5,546540494.379470
299.300018310547,546540494.420824
299.899993896484,546540494.462022
300.0,546540494.503258
300.200012207031,546540494.544763
300.200012207031,546540494.585831
300.100006103516,546540494.627234
300.100006103516,546540494.668293
299.899993896484,546540494.709575
300.100006103516,546540494.750670
299.700012207031,546540494.792089
299.800018310547,546540494.833383
299.800018310547,546540494.874560
299.800018310547,546540494.915810
299.800018310547,546540494.957070
299.700012207031,546540494.998471
299.700012207031,546540495.039622
299.700012207031,546540495.080792
299.600006103516,546540495.122053
299.600006103516,546540495.163297
299.800018310547,546540495.204769
299.899993896484,546540495.245602
299.899993896484,546540495.287025
299.899993896484,546540495.328308
300.200012207031,546540495.369545
300.300018310547,546540495.410801
300.200012207031,546540495.452118
300.200012207031,546540495.534461
300.200012207031,546540495.534575
300.200012207031,546540495.575885
300.200012207031,546540495.617132
300.100006103516,546540495.658489
300.200012207031,546540495.699587
300.0,546540495.740858
300.200012207031,546540495.782014
299.899993896484,546540495.823283
299.600006103516,546540495.864393
299.600006103516,546540495.905777
299.300018310547,546540495.947111
298.700012207031,546540495.988383
298.300018310547,546540496.029532
298.100006103516,546540496.070791
298.0,546540496.112087
298.0,546540496.153271
298.0,546540496.194548
298.0,546540496.235780
297.899993896484,546540496.276792
297.800018310547,546540496.318263
297.800018310547,546540496.359512
297.700012207031,546540496.400823
297.700012207031,546540496.442048
297.600006103516,546540496.483279
297.600006103516,546540496.524614
297.600006103516,546540496.566048
297.800018310547,546540496.606866
297.800018310547,546540496.648337
297.700012207031,546540496.689536
297.700012207031,546540496.730975
297.700012207031,546540496.772073
297.800018310547,546540496.813418
297.800018310547,546540496.854489
297.800018310547,546540496.895825
297.700012207031,546540496.936997
297.700012207031,546540496.977779
297.700012207031,546540497.019515
297.800018310547,546540497.060837
297.800018310547,546540497.102002
297.800018310547,546540497.143307
297.800018310547,546540497.184544
297.899993896484,546540497.225825
298.100006103516,546540497.267069
298.100006103516,546540497.308236
298.100006103516,546540497.349469
298.100006103516,546540497.390970
298.100006103516,546540497.432115
298.100006103516,546540497.473240
298.100006103516,546540497.514557
297.899993896484,546540497.555325
297.899993896484,546540497.596977
297.800018310547,546540497.638236
297.800018310547,546540497.679469
298.100006103516,546540497.720935
298.100006103516,546540497.761999
298.0,546540497.844694
298.0,546540497.844786
298.0,546540497.885839
297.899993896484,546540497.926924
297.899993896484,546540497.968270
298.100006103516,546540498.009662
298.100006103516,546540498.050717
298.100006103516,546540498.091960
298.100006103516,546540498.133312
298.100006103516,546540498.174477
298.0,546540498.215494
297.899993896484,546540498.257029
297.899993896484,546540498.298332
297.899993896484,546540498.339662
297.800018310547,546540498.380920
297.800018310547,546540498.422010
297.700012207031,546540498.463154
297.700012207031,546540498.504458
297.700012207031,546540498.545823
297.600006103516,546540498.586943
297.899993896484,546540498.628397
297.700012207031,546540498.669565
297.700012207031,546540498.710840
297.600006103516,546540498.752150
297.399993896484,546540498.793255
297.5,546540498.834580
297.5,546540498.875833
297.5,546540498.917103
297.5,546540498.958343
297.5,546540498.999253
297.5,546540499.040637
297.800018310547,546540499.082027
297.800018310547,546540499.164516
297.800018310547,546540499.164636
297.700012207031,546540499.205873
297.5,546540499.247140
297.5,546540499.288018
297.5,546540499.329619
297.600006103516,546540499.370854
297.800018310547,546540499.412045
297.800018310547,546540499.453385
297.800018310547,546540499.494613
297.800018310547,546540499.535824
297.600006103516,546540499.576998
297.700012207031,546540499.618369
297.600006103516,546540499.659602
297.700012207031,546540499.700852
297.700012207031,546540499.742063
297.700012207031,546540499.783157
297.600006103516,546540499.824538
297.600006103516,546540499.865809
297.600006103516,546540499.907056
297.600006103516,546540499.948139
297.600006103516,546540499.989550
297.5,546540500.030868
297.600006103516,546540500.072042
297.600006103516,546540500.113258
297.600006103516,546540500.154533
297.600006103516,546540500.195776
297.600006103516,546540500.237031
297.399993896484,546540500.279139
297.399993896484,546540500.319525
297.399993896484,546540500.360789
297.399993896484,546540500.402034
297.300018310547,546540500.443274
297.300018310547,546540500.484535
297.399993896484,546540500.525784
297.399993896484,546540500.567024
297.399993896484,546540500.608334
297.5,546540500.649519
297.399993896484,546540500.690771
297.300018310547,546540500.732045
297.300018310547,546540500.773250
297.300018310547,546540500.814497
297.399993896484,546540500.855784
297.399993896484,546540500.896753
297.399993896484,546540500.938283
297.399993896484,546540500.979631
297.300018310547,546540501.020799
297.300018310547,546540501.062022
297.300018310547,546540501.103209
297.300018310547,546540501.144527
297.300018310547,546540501.185753
297.100006103516,546540501.226987
297.100006103516,546540501.268321
297.200012207031,546540501.309377
297.200012207031,546540501.350943
297.200012207031,546540501.392007
297.300018310547,546540501.433310
297.399993896484,546540501.474656
297.600006103516,546540501.515595
297.600006103516,546540501.557089
297.600006103516,546540501.598234
