pF,time
242.699996948242,546274143.658736
242.600006103516,546274143.687549
242.600006103516,546274143.717557
242.600006103516,546274143.747430
242.400009155273,546274143.777668
242.400009155273,546274143.807477
242.300003051758,546274143.837473
242.199996948242,546274143.867580
242.100006103516,546274143.897527
242.0,546274143.927629
241.900009155273,546274143.957529
241.800003051758,546274143.987673
241.800003051758,546274144.017647
241.800003051758,546274144.047755
241.900009155273,546274144.077559
241.900009155273,546274144.107660
241.900009155273,546274144.137724
241.800003051758,546274144.167647
241.800003051758,546274144.197254
241.900009155273,546274144.227683
241.900009155273,546274144.257661
241.800003051758,546274144.287571
241.800003051758,546274144.317641
241.800003051758,546274144.347470
241.600006103516,546274144.377806
241.600006103516,546274144.407593
241.600006103516,546274144.437528
241.400009155273,546274144.467574
241.400009155273,546274144.497341
241.5,546274144.527571
241.5,546274144.557657
241.300003051758,546274144.587572
241.199996948242,546274144.617580
241.100006103516,546274144.647556
241.100006103516,546274144.677401
241.100006103516,546274144.707531
241.199996948242,546274144.737529
241.300003051758,546274144.767635
241.300003051758,546274144.797643
241.300003051758,546274144.827778
241.300003051758,546274144.857583
241.199996948242,546274144.887649
241.199996948242,546274144.917568
241.199996948242,546274144.947556
241.400009155273,546274144.977538
241.5,546274145.007429
241.5,546274145.037621
241.600006103516,546274145.067504
241.900009155273,546274145.097305
241.900009155273,546274145.127508
241.900009155273,546274145.157627
242.0,546274145.187502
242.300003051758,546274145.217414
242.5,546274145.247382
242.699996948242,546274145.277747
242.699996948242,546274145.307395
242.699996948242,546274145.337629
243.0,546274145.367561
243.100006103516,546274145.397672
243.100006103516,546274145.427620
243.400009155273,546274145.457583
243.699996948242,546274145.487626
244.100006103516,546274145.517764
244.400009155273,546274145.547247
244.400009155273,546274145.577541
244.5,546274145.607543
244.600006103516,546274145.637630
244.900009155273,546274145.667620
244.900009155273,546274145.697525
245.199996948242,546274145.727439
245.5,546274145.757366
245.5,546274145.787734
245.600006103516,546274145.818087
245.600006103516,546274145.847588
246.0,546274145.877383
246.199996948242,546274145.907743
246.199996948242,546274145.937614
246.199996948242,546274145.967526
246.400009155273,546274145.997652
246.400009155273,546274146.027652
246.600006103516,546274146.057751
246.600006103516,546274146.087669
246.699996948242,546274146.117512
246.800003051758,546274146.147505
246.800003051758,546274146.177609
246.699996948242,546274146.207457
246.699996948242,546274146.237580
246.699996948242,546274146.267585
246.699996948242,546274146.297468
246.400009155273,546274146.327712
246.300003051758,546274146.357594
246.199996948242,546274146.387461
246.199996948242,546274146.417713
246.199996948242,546274146.447596
246.100006103516,546274146.477492
246.100006103516,546274146.507193
246.0,546274146.537496
245.900009155273,546274146.582486
245.800003051758,546274146.597356
245.800003051758,546274146.627599
245.600006103516,546274146.657540
245.600006103516,546274146.687536
245.400009155273,546274146.717586
245.400009155273,546274146.747564
245.300003051758,546274146.777547
245.300003051758,546274146.807447
245.199996948242,546274146.837461
245.199996948242,546274146.867557
245.100006103516,546274146.897447
244.699996948242,546274146.927486
244.699996948242,546274146.957571
244.699996948242,546274146.987299
244.600006103516,546274147.017196
244.400009155273,546274147.047642
244.400009155273,546274147.077394
244.300003051758,546274147.107513
244.300003051758,546274147.137567
244.300003051758,546274147.167582
244.100006103516,546274147.197471
244.100006103516,546274147.227554
244.100006103516,546274147.257550
243.900009155273,546274147.287520
243.900009155273,546274147.317561
243.900009155273,546274147.347691
243.699996948242,546274147.377603
243.699996948242,546274147.407525
243.800003051758,546274147.437455
243.800003051758,546274147.467588
243.600006103516,546274147.497549
243.5,546274147.527255
243.5,546274147.557255
243.400009155273,546274147.587476
243.199996948242,546274147.617555
243.199996948242,546274147.647672
