HR,pF,Time
79,286.800018310547,554846411.313869
79,286.800018310547,554846411.331161
79,286.700012207031,554846411.361273
79,286.700012207031,554846411.391194
79,286.600006103516,554846411.421207
79,286.5,554846411.451186
79,286.399993896484,554846411.481279
79,286.300018310547,554846411.511398
79,286.300018310547,554846411.541190
79,286.399993896484,554846411.571377
79,286.399993896484,554846411.601278
79,286.399993896484,554846411.631411
79,286.300018310547,554846411.661218
79,286.300018310547,554846411.691400
79,286.399993896484,554846411.721379
79,286.399993896484,554846411.751127
79,286.399993896484,554846411.781071
79,286.399993896484,554846411.811432
79,286.399993896484,554846411.841380
79,286.5,554846411.871141
79,286.399993896484,554846411.901150
80,286.300018310547,554846411.931194
80,286.300018310547,554846411.961257
80,286.399993896484,554846411.991264
80,286.600006103516,554846412.021139
80,286.5,554846412.051314
80,286.5,554846412.081287
80,286.5,554846412.111318
80,286.5,554846412.141397
80,286.5,554846412.171437
80,286.399993896484,554846412.201318
80,286.399993896484,554846412.231402
80,286.399993896484,554846412.261392
80,286.399993896484,554846412.291354
80,286.300018310547,554846412.321355
80,286.300018310547,554846412.351282
80,286.399993896484,554846412.381354
80,286.600006103516,554846412.411144
80,286.5,554846412.441367
80,286.600006103516,554846412.471289
80,286.600006103516,554846412.501318
80,286.600006103516,554846412.531385
80,286.5,554846412.561293
80,286.5,554846412.591305
80,286.700012207031,554846412.621136
80,286.800018310547,554846412.651179
80,286.800018310547,554846412.681376
80,287.399993896484,554846412.711364
80,287.399993896484,554846412.741372
80,287.800018310547,554846412.771306
80,287.800018310547,554846412.801357
80,287.800018310547,554846412.831362
80,288.0,554846412.861242
80,288.100006103516,554846412.891333
80,288.200012207031,554846412.921254
80,288.200012207031,554846412.951286
80,288.5,554846412.981334
80,288.700012207031,554846413.011281
80,288.800018310547,554846413.041690
80,288.899993896484,554846413.071379
80,289.200012207031,554846413.101365
80,289.5,554846413.131279
80,289.800018310547,554846413.161358
80,289.899993896484,554846413.191378
80,290.100006103516,554846413.221333
80,290.200012207031,554846413.251019
80,290.700012207031,554846413.281353
80,290.899993896484,554846413.311353
80,291.5,554846413.341350
80,291.700012207031,554846413.371352
80,291.899993896484,554846413.401301
80,292.200012207031,554846413.431273
80,292.399993896484,554846413.461339
80,293.100006103516,554846413.491252
80,293.399993896484,554846413.521268
80,293.399993896484,554846413.551291
80,293.700012207031,554846413.581323
80,294.5,554846413.610842
80,294.5,554846413.641348
80,294.899993896484,554846413.671288
80,295.100006103516,554846413.701321
80,295.5,554846413.731340
80,295.600006103516,554846413.761343
80,295.600006103516,554846413.791274
80,295.600006103516,554846413.821276
80,295.5,554846413.852185
80,295.300018310547,554846413.881272
80,295.300018310547,554846413.911334
80,295.300018310547,554846413.941278
80,295.399993896484,554846413.971273
80,295.300018310547,554846414.001082
80,295.100006103516,554846414.031036
80,295.0,554846414.061264
80,295.100006103516,554846414.091336
80,295.100006103516,554846414.121366
80,295.100006103516,554846414.151132
80,295.100006103516,554846414.181112
80,295.100006103516,554846414.210805
80,295.0,554846414.241339
80,295.0,554846414.271318
80,294.899993896484,554846414.301249
80,294.700012207031,554846414.331113
80,294.5,554846414.361060
80,294.5,554846414.391255
80,294.399993896484,554846414.421245
80,294.399993896484,554846414.451252
80,294.300018310547,554846414.481317
80,294.200012207031,554846414.511225
80,293.899993896484,554846414.541337
80,293.800018310547,554846414.571301
80,293.600006103516,554846414.601206
80,293.5,554846414.631248
80,293.5,554846414.661235
80,293.399993896484,554846414.691222
80,293.300018310547,554846414.721320
80,293.200012207031,554846414.751316
80,293.0,554846414.780845
80,293.0,554846414.811303
80,293.0,554846414.841311
80,292.899993896484,554846414.871207
80,292.899993896484,554846414.901233
79,292.800018310547,554846414.931316
79,292.700012207031,554846414.961238
79,292.600006103516,554846414.991238
79,292.399993896484,554846415.021232
79,292.399993896484,554846415.051265
79,292.200012207031,554846415.081197
79,292.200012207031,554846415.111293
79,292.100006103516,554846415.140970
79,292.0,554846415.171229
79,292.0,554846415.201303
79,292.0,554846415.231218
79,291.899993896484,554846415.261322
79,291.800018310547,554846415.291275
79,291.800018310547,554846415.321293
79,291.800018310547,554846415.351283
79,291.300018310547,554846415.381289
79,291.300018310547,554846415.411219
79,291.300018310547,554846415.441225
79,291.200012207031,554846415.471311
79,291.100006103516,554846415.501222
79,290.700012207031,554846415.531269
79,290.700012207031,554846415.561224
79,290.600006103516,554846415.591302
79,290.600006103516,554846415.621213
79,290.5,554846415.651187
79,290.200012207031,554846415.681265
79,290.100006103516,554846415.711247
79,290.100006103516,554846415.741264
79,289.899993896484,554846415.771251
79,290.0,554846415.801242
79,289.700012207031,554846415.831298
79,289.800018310547,554846415.861269
79,289.600006103516,554846415.891196
79,289.800018310547,554846415.913677
79,289.800018310547,554846415.951268
79,289.800018310547,554846415.988841
79,289.800018310547,554846416.026200
79,289.5,554846416.063786
79,289.399993896484,554846416.100767
79,289.399993896484,554846416.138538
79,289.300018310547,554846416.176270
79,289.200012207031,554846416.213741
79,289.200012207031,554846416.251230
79,289.100006103516,554846416.288859
79,288.800018310547,554846416.326239
79,288.5,554846416.363760
79,288.5,554846416.400794
79,288.5,554846416.438691
79,288.5,554846416.476175
79,288.5,554846416.513745
79,288.5,554846416.551248
79,288.399993896484,554846416.588527
79,288.200012207031,554846416.626297
79,288.300018310547,554846416.663682
79,288.300018310547,554846416.701165
79,288.300018310547,554846416.738719
79,288.5,554846416.776167
79,288.300018310547,554846416.813667
79,288.200012207031,554846416.851227
79,288.200012207031,554846416.888754
78,288.300018310547,554846416.926183
78,288.300018310547,554846416.963516
78,288.300018310547,554846417.001060
78,288.300018310547,554846417.038875
78,288.300018310547,554846417.076298
78,288.200012207031,554846417.113870
78,288.200012207031,554846417.151137
78,288.100006103516,554846417.188864
78,288.0,554846417.226362
78,287.899993896484,554846417.263856
78,287.899993896484,554846417.301598
78,287.899993896484,554846417.338358
78,287.899993896484,554846417.376312
78,287.899993896484,554846417.413828
78,288.0,554846417.451273
78,288.0,554846417.488844
78,287.800018310547,554846417.526306
78,287.800018310547,554846417.563860
78,287.800018310547,554846417.601109
78,287.700012207031,554846417.638853
78,287.700012207031,554846417.676359
78,287.700012207031,554846417.713846
78,287.800018310547,554846417.751291
78,287.600006103516,554846417.788786
78,287.700012207031,554846417.826232
78,287.700012207031,554846417.863825
78,287.700012207031,554846417.901264
79,287.800018310547,554846417.939069
79,287.800018310547,554846417.976361
79,287.700012207031,554846418.013781
79,287.700012207031,554846418.051294
79,287.700012207031,554846418.088554
79,287.700012207031,554846418.126340
79,287.700012207031,554846418.163839
79,287.700012207031,554846418.201274
79,287.600006103516,554846418.238766
79,287.600006103516,554846418.276308
79,287.600006103516,554846418.313826
79,287.300018310547,554846418.351323
79,287.200012207031,554846418.388810
79,287.100006103516,554846418.426084
79,287.100006103516,554846418.463813
79,287.200012207031,554846418.501305
79,287.200012207031,554846418.538574
79,286.899993896484,554846418.576300
79,286.800018310547,554846418.613755
79,286.800018310547,554846418.651220
79,286.700012207031,554846418.688746
79,286.700012207031,554846418.726247
79,286.800018310547,554846418.763876
79,286.899993896484,554846418.801242
79,286.800018310547,554846418.838732
79,287.0,554846418.876225
79,286.700012207031,554846418.913601
79,286.700012207031,554846418.951320
79,286.700012207031,554846418.988728
79,286.700012207031,554846419.026048
79,286.399993896484,554846419.063543
79,286.300018310547,554846419.101224
79,285.700012207031,554846419.138728
79,285.700012207031,554846419.176237
79,285.899993896484,554846419.213613
79,285.899993896484,554846419.251293
79,285.700012207031,554846419.288814
79,285.700012207031,554846419.326224
79,285.600006103516,554846419.363802
79,285.5,554846419.401274
79,285.5,554846419.438793
79,285.5,554846419.476373
79,285.399993896484,554846419.513831
79,285.399993896484,554846419.551206
79,285.399993896484,554846419.588785
79,285.600006103516,554846419.626269
79,285.600006103516,554846419.663432
79,285.700012207031,554846419.701201
79,285.600006103516,554846419.738706
79,285.600006103516,554846419.775962
79,285.600006103516,554846419.813767
79,285.600006103516,554846419.851287
79,285.600006103516,554846419.888679
79,285.600006103516,554846419.926043
79,285.5,554846419.963579
79,285.5,554846420.000711
79,285.5,554846420.038843
79,285.5,554846420.076283
79,285.399993896484,554846420.113855
79,285.700012207031,554846420.151035
79,285.5,554846420.188645
79,285.5,554846420.226314
79,285.5,554846420.263588
79,285.5,554846420.300745
79,285.5,554846420.338238
79,285.5,554846420.376324
79,285.600006103516,554846420.413528
79,285.700012207031,554846420.451159
79,285.700012207031,554846420.488661
79,285.700012207031,554846420.526173
79,285.700012207031,554846420.563764
79,285.800018310547,554846420.601199
79,285.800018310547,554846420.638688
79,285.800018310547,554846420.676233
79,285.600006103516,554846420.713728
79,285.5,554846420.751221
79,285.5,554846420.788450
79,285.5,554846420.825995
79,285.300018310547,554846420.863719
79,285.300018310547,554846420.900747
79,285.300018310547,554846420.938521
79,285.300018310547,554846420.976258
79,285.300018310547,554846421.013832
79,285.300018310547,554846421.051251
79,285.100006103516,554846421.088882
79,285.100006103516,554846421.126343
79,285.0,554846421.163871
79,284.899993896484,554846421.201319
79,284.800018310547,554846421.238841
79,284.800018310547,554846421.276247
79,284.800018310547,554846421.313844
79,284.600006103516,554846421.351344
79,284.600006103516,554846421.388773
79,284.399993896484,554846421.426126
79,284.200012207031,554846421.463371
79,284.100006103516,554846421.501262
79,283.899993896484,554846421.538851
79,283.899993896484,554846421.576134
79,283.899993896484,554846421.613452
79,283.899993896484,554846421.650831
79,283.800018310547,554846421.688634
79,283.800018310547,554846421.726134
79,283.899993896484,554846421.763464
79,283.899993896484,554846421.801117
79,283.899993896484,554846421.838847
79,283.899993896484,554846421.876103
79,283.800018310547,554846421.913343
79,283.700012207031,554846421.951328
79,283.600006103516,554846421.988611
79,283.700012207031,554846422.026136
79,283.700012207031,554846422.063439
79,283.800018310547,554846422.101313
79,283.700012207031,554846422.138852
79,283.700012207031,554846422.176094
