HR,pF,Time
83,289.399993896484,554905769.734572
83,289.399993896484,554905769.759866
83,289.399993896484,554905769.789720
83,289.399993896484,554905769.819888
83,289.700012207031,554905769.849875
83,289.700012207031,554905769.879675
83,289.600006103516,554905769.909795
83,289.600006103516,554905769.939902
83,289.200012207031,554905769.969904
83,289.200012207031,554905769.999797
83,289.300018310547,554905770.029885
83,289.300018310547,554905770.059788
83,289.300018310547,554905770.089446
83,289.899993896484,554905770.119698
83,289.899993896484,554905770.149841
83,289.700012207031,554905770.179683
83,289.700012207031,554905770.209582
83,289.700012207031,554905770.239953
83,289.800018310547,554905770.269676
83,289.700012207031,554905770.299804
83,289.700012207031,554905770.329814
83,289.600006103516,554905770.408745
83,289.5,554905770.408829
83,289.5,554905770.439004
83,289.5,554905770.450000
83,289.399993896484,554905770.479993
83,289.300018310547,554905770.509836
83,289.200012207031,554905770.539857
83,289.200012207031,554905770.569873
83,289.100006103516,554905770.600012
83,289.100006103516,554905770.630049
83,289.0,554905770.660025
83,288.899993896484,554905770.689880
83,288.899993896484,554905770.719864
83,288.700012207031,554905770.750002
83,288.600006103516,554905770.779837
83,288.600006103516,554905770.809378
83,288.600006103516,554905770.839854
83,288.600006103516,554905770.869827
83,288.399993896484,554905770.899898
83,288.399993896484,554905770.930258
83,288.399993896484,554905770.959381
83,288.399993896484,554905770.989309
83,288.100006103516,554905771.019318
83,288.200012207031,554905771.049441
83,287.899993896484,554905771.079317
83,287.899993896484,554905771.109484
83,287.899993896484,554905771.154421
83,287.899993896484,554905771.169361
83,287.899993896484,554905771.199521
83,287.700012207031,554905771.229498
83,287.700012207031,554905771.259353
83,287.700012207031,554905771.289382
83,287.600006103516,554905771.319480
83,287.600006103516,554905771.349646
83,287.600006103516,554905771.379468
83,287.600006103516,554905771.424452
83,287.700012207031,554905771.439828
83,287.700012207031,554905771.469366
83,287.700012207031,554905771.514592
83,287.600006103516,554905771.529637
83,287.600006103516,554905771.559770
83,287.600006103516,554905771.590007
83,287.600006103516,554905771.619524
83,287.5,554905771.655024
83,287.5,554905771.679521
83,287.5,554905771.709554
83,287.5,554905771.739983
83,287.5,554905771.769993
83,287.399993896484,554905771.799747
83,287.300018310547,554905771.829987
83,287.200012207031,554905771.874667
83,287.200012207031,554905771.889880
83,287.200012207031,554905771.934414
83,287.300018310547,554905771.950020
83,287.300018310547,554905771.979542
83,287.300018310547,554905772.009653
83,287.200012207031,554905772.040429
83,287.200012207031,554905772.069525
83,287.200012207031,554905772.099538
83,287.100006103516,554905772.133242
83,287.100006103516,554905772.174894
83,287.300018310547,554905772.189439
83,287.300018310547,554905772.234440
83,287.300018310547,554905772.249503
83,287.300018310547,554905772.280328
83,287.300018310547,554905772.309716
83,287.300018310547,554905772.339420
83,287.300018310547,554905772.369578
83,287.399993896484,554905772.399585
83,287.399993896484,554905772.429512
83,287.200012207031,554905772.459401
83,287.200012207031,554905772.489509
83,287.100006103516,554905772.519355
83,287.100006103516,554905772.549464
83,287.0,554905772.579577
83,287.0,554905772.609350
83,287.0,554905772.639498
83,286.899993896484,554905772.669941
83,287.200012207031,554905772.729424
83,287.200012207031,554905772.729849
83,287.200012207031,554905772.759535
83,287.100006103516,554905772.789648
83,287.100006103516,554905772.819978
83,287.100006103516,554905772.864569
83,287.0,554905772.879592
83,287.0,554905772.909962
83,287.0,554905772.939474
83,287.0,554905772.969913
83,287.100006103516,554905772.999572
83,287.200012207031,554905773.029959
83,287.200012207031,554905773.060096
83,287.200012207031,554905773.090126
83,287.0,554905773.119406
83,287.0,554905773.149951
83,287.100006103516,554905773.179554
83,287.200012207031,554905773.209783
83,287.100006103516,554905773.239754
83,287.200012207031,554905773.269986
83,287.0,554905773.299630
83,287.100006103516,554905773.329985
83,286.899993896484,554905773.359979
83,287.100006103516,554905773.389964
83,286.899993896484,554905773.419984
83,286.899993896484,554905773.449915
83,286.899993896484,554905773.479933
83,287.0,554905773.509957
83,287.0,554905773.539966
83,287.100006103516,554905773.570088
83,286.899993896484,554905773.599952
83,287.0,554905773.629625
83,287.0,554905773.659922
83,287.0,554905773.689728
83,287.100006103516,554905773.719866
83,287.100006103516,554905773.749948
83,287.100006103516,554905773.779598
83,287.100006103516,554905773.809965
83,287.100006103516,554905773.839967
83,287.0,554905773.869889
83,287.0,554905773.899788
83,287.100006103516,554905773.930008
83,287.100006103516,554905773.959955
83,287.100006103516,554905773.989989
83,287.100006103516,554905774.020130
83,287.100006103516,554905774.049551
83,287.200012207031,554905774.079902
83,286.899993896484,554905774.109965
83,286.899993896484,554905774.139422
83,286.700012207031,554905774.169915
83,286.600006103516,554905774.214966
83,286.600006103516,554905774.229600
83,286.899993896484,554905774.260074
83,286.899993896484,554905774.297480
83,286.800018310547,554905774.334880
83,286.800018310547,554905774.372252
83,286.899993896484,554905774.409684
83,287.0,554905774.447458
83,287.0,554905774.484885
83,286.899993896484,554905774.522415
83,286.700012207031,554905774.559802
83,286.899993896484,554905774.597444
83,286.899993896484,554905774.634939
83,286.899993896484,554905774.672419
