HR,pF,Time
78,276.700012207031,554907467.854553
78,276.399993896484,554907467.884511
78,275.899993896484,554907467.914640
78,275.600006103516,554907467.944245
78,275.100006103516,554907467.974379
78,274.800018310547,554907468.004645
78,274.600006103516,554907468.034658
78,274.100006103516,554907468.064574
78,273.700012207031,554907468.094633
78,273.700012207031,554907468.124620
78,273.399993896484,554907468.154554
78,273.399993896484,554907468.184643
78,273.399993896484,554907468.214627
78,273.399993896484,554907468.244781
78,273.0,554907468.274578
78,273.0,554907468.304421
78,273.0,554907468.334801
78,272.800018310547,554907468.364048
78,272.700012207031,554907468.394216
78,272.5,554907468.424621
78,272.5,554907468.454418
78,272.399993896484,554907468.484468
78,272.399993896484,554907468.514773
78,272.200012207031,554907468.544632
78,272.300018310547,554907468.574533
78,272.300018310547,554907468.604581
78,272.300018310547,554907468.709665
78,272.200012207031,554907468.709785
78,272.100006103516,554907468.709984
78,272.200012207031,554907468.724618
78,272.0,554907468.754602
78,272.100006103516,554907468.784580
78,272.0,554907468.814433
78,271.800018310547,554907468.844189
78,271.600006103516,554907468.874737
78,271.600006103516,554907468.904498
78,271.700012207031,554907468.949023
78,271.700012207031,554907468.964275
78,271.600006103516,554907468.994565
78,271.600006103516,554907469.024632
78,271.600006103516,554907469.054766
78,271.5,554907469.084555
78,271.5,554907469.114616
78,271.200012207031,554907469.144511
77,271.200012207031,554907469.174565
77,271.200012207031,554907469.204618
77,271.5,554907469.234601
77,271.200012207031,554907469.264374
77,271.5,554907469.294609
77,271.5,554907469.324568
77,271.5,554907469.354054
77,271.300018310547,554907469.400688
77,271.300018310547,554907469.414549
77,271.399993896484,554907469.444601
77,271.399993896484,554907469.474533
77,271.399993896484,554907469.504515
77,271.399993896484,554907469.534601
77,271.300018310547,554907469.564607
77,271.300018310547,554907469.594566
77,271.300018310547,554907469.624595
77,271.200012207031,554907469.654608
77,271.200012207031,554907469.684583
77,271.200012207031,554907469.714608
77,271.100006103516,554907469.834668
77,271.100006103516,554907469.834782
77,271.100006103516,554907469.834898
77,271.100006103516,554907469.835307
77,271.100006103516,554907469.864368
77,271.100006103516,554907469.894481
77,270.800018310547,554907469.924273
77,271.0,554907469.954579
77,271.0,554907469.984107
77,271.0,554907470.014566
77,271.100006103516,554907470.044572
77,271.200012207031,554907470.074594
77,271.100006103516,554907470.104527
77,271.200012207031,554907470.134587
76,271.100006103516,554907470.164579
76,271.100006103516,554907470.194537
76,271.100006103516,554907470.224497
76,271.100006103516,554907470.254515
76,271.100006103516,554907470.284509
76,271.200012207031,554907470.314570
76,271.200012207031,554907470.344376
76,271.200012207031,554907470.374602
76,271.200012207031,554907470.404592
76,271.200012207031,554907470.434585
76,271.399993896484,554907470.464593
76,271.200012207031,554907470.494568
76,271.200012207031,554907470.524562
76,271.200012207031,554907470.554486
76,271.399993896484,554907470.584547
76,271.600006103516,554907470.614563
76,271.600006103516,554907470.644558
76,271.600006103516,554907470.674575
76,271.899993896484,554907470.704564
76,271.899993896484,554907470.734680
76,272.100006103516,554907470.764355
76,272.200012207031,554907470.794498
76,272.200012207031,554907470.824561
76,272.399993896484,554907470.854253
76,272.700012207031,554907470.884578
76,273.0,554907470.914569
76,273.100006103516,554907470.944095
76,273.100006103516,554907470.974431
76,273.300018310547,554907471.004543
76,273.600006103516,554907471.034677
76,273.700012207031,554907471.064712
76,273.899993896484,554907471.094548
76,274.0,554907471.124485
