HR,pF,Time
105,283.700012207031,554907143.955922
105,283.700012207031,554907143.986284
105,283.800018310547,554907144.016118
105,283.700012207031,554907144.046097
105,283.700012207031,554907144.076126
105,283.5,554907144.106009
105,283.5,554907144.136061
104,283.5,554907144.165900
104,283.5,554907144.196182
104,283.300018310547,554907144.225862
104,283.5,554907144.256130
104,283.300018310547,554907144.285820
104,283.5,554907144.315889
104,283.5,554907144.346491
104,283.5,554907144.376106
104,283.700012207031,554907144.405973
104,283.700012207031,554907144.436001
104,283.700012207031,554907144.465919
104,283.5,554907144.496047
104,283.399993896484,554907144.525752
104,283.5,554907144.555748
104,283.600006103516,554907144.586039
104,283.600006103516,554907144.615859
104,283.800018310547,554907144.645979
104,283.700012207031,554907144.675643
104,283.800018310547,554907144.705608
104,283.700012207031,554907144.735933
104,283.800018310547,554907144.766190
104,283.800018310547,554907144.795872
104,283.899993896484,554907144.826111
104,283.899993896484,554907144.870978
104,284.0,554907144.886079
104,284.0,554907144.916227
104,284.100006103516,554907144.946103
104,284.100006103516,554907144.976106
104,284.300018310547,554907145.006085
104,284.300018310547,554907145.036100
104,284.200012207031,554907145.065984
104,284.200012207031,554907145.095901
104,284.200012207031,554907145.125951
95,284.200012207031,554907145.155610
95,284.300018310547,554907145.185638
95,284.399993896484,554907145.216222
95,284.899993896484,554907145.246235
95,285.0,554907145.276041
95,285.200012207031,554907145.305519
95,285.200012207031,554907145.351093
95,285.5,554907145.365738
95,285.700012207031,554907145.411118
95,285.899993896484,554907145.426220
95,286.0,554907145.456226
95,286.200012207031,554907145.486218
95,286.399993896484,554907145.516220
95,286.600006103516,554907145.546049
95,286.700012207031,554907145.576007
95,286.700012207031,554907145.605779
95,286.899993896484,554907145.636104
95,286.800018310547,554907145.665879
95,286.899993896484,554907145.696063
95,286.800018310547,554907145.726014
95,286.600006103516,554907145.756116
95,286.5,554907145.786050
95,286.399993896484,554907145.816178
95,286.399993896484,554907145.846080
95,286.300018310547,554907145.875986
95,286.0,554907145.906058
95,286.0,554907145.935988
95,286.100006103516,554907145.966079
95,286.100006103516,554907145.996016
95,285.899993896484,554907146.026189
95,285.800018310547,554907146.056199
95,285.600006103516,554907146.086155
95,285.399993896484,554907146.116191
95,285.399993896484,554907146.146193
75,285.399993896484,554907146.175780
75,285.5,554907146.206194
75,285.5,554907146.236315
75,285.5,554907146.266185
75,285.399993896484,554907146.296201
75,285.399993896484,554907146.325907
75,285.300018310547,554907146.356149
75,285.5,554907146.386107
75,285.5,554907146.416231
75,285.5,554907146.446182
75,285.5,554907146.475962
75,285.5,554907146.506187
75,285.5,554907146.536164
75,285.700012207031,554907146.566183
75,285.700012207031,554907146.611194
75,285.600006103516,554907146.626192
75,285.5,554907146.656179
75,285.5,554907146.686051
75,285.5,554907146.716158
75,285.600006103516,554907146.746056
75,285.600006103516,554907146.776163
75,285.700012207031,554907146.805971
75,285.5,554907146.836126
75,285.5,554907146.866190
75,285.300018310547,554907146.896153
75,285.300018310547,554907146.926153
75,285.300018310547,554907146.956158
75,285.300018310547,554907146.986160
75,285.399993896484,554907147.016042
75,285.399993896484,554907147.060872
75,285.100006103516,554907147.076162
75,285.100006103516,554907147.106160
75,285.399993896484,554907147.136107
73,285.399993896484,554907147.166183
73,285.300018310547,554907147.196163
73,285.300018310547,554907147.226166
73,285.200012207031,554907147.255830
73,285.200012207031,554907147.286125
73,285.0,554907147.315956
73,285.0,554907147.346147
73,285.200012207031,554907147.376049
73,285.200012207031,554907147.406114
73,285.200012207031,554907147.436146
73,285.100006103516,554907147.466150
73,285.100006103516,554907147.496158
73,285.0,554907147.526165
73,284.899993896484,554907147.571154
73,284.800018310547,554907147.586047
73,284.899993896484,554907147.616276
73,284.899993896484,554907147.646204
73,284.899993896484,554907147.676088
73,284.899993896484,554907147.706030
73,284.800018310547,554907147.736149
73,284.700012207031,554907147.766145
73,284.600006103516,554907147.796053
73,284.600006103516,554907147.826154
73,284.5,554907147.870634
73,284.600006103516,554907147.886168
73,284.5,554907147.916279
73,284.600006103516,554907147.946106
73,284.600006103516,554907147.976009
73,284.800018310547,554907148.005920
73,284.800018310547,554907148.036253
73,284.800018310547,554907148.066054
73,284.800018310547,554907148.096122
73,284.899993896484,554907148.126097
73,284.899993896484,554907148.155900
72,284.899993896484,554907148.186069
72,285.0,554907148.216145
72,285.100006103516,554907148.246120
72,285.100006103516,554907148.276066
72,285.300018310547,554907148.306048
72,285.300018310547,554907148.335832
72,285.399993896484,554907148.365944
72,285.899993896484,554907148.396203
72,285.899993896484,554907148.426241
72,285.800018310547,554907148.456210
72,285.800018310547,554907148.486252
72,286.0,554907148.523653
72,286.0,554907148.560899
72,286.0,554907148.598614
72,286.300018310547,554907148.636008
72,286.5,554907148.711052
72,286.5,554907148.711177
72,286.100006103516,554907148.748620
72,286.100006103516,554907148.786267
72,286.700012207031,554907148.823536
72,286.899993896484,554907148.861171
72,287.399993896484,554907148.898596
72,287.399993896484,554907148.935874
72,287.399993896484,554907148.973608
72,287.600006103516,554907149.010891
72,287.600006103516,554907149.048562
72,287.800018310547,554907149.086222
72,287.899993896484,554907149.123383
72,288.100006103516,554907149.161223
71,288.100006103516,554907149.198397
71,288.399993896484,554907149.236231
71,288.899993896484,554907149.273200
71,289.0,554907149.311146
71,289.5,554907149.348267
71,289.700012207031,554907149.386226
71,290.100006103516,554907149.423612
71,290.700012207031,554907149.461202
71,290.800018310547,554907149.498608
71,291.0,554907149.536212
71,291.0,554907149.573623
71,291.0,554907149.610994
71,291.200012207031,554907149.648610
71,291.300018310547,554907149.686257
71,291.600006103516,554907149.723467
71,291.700012207031,554907149.761112
71,291.800018310547,554907149.798831
71,291.800018310547,554907149.835673
71,291.899993896484,554907149.873602
71,292.300018310547,554907149.910867
71,292.399993896484,554907149.948536
71,292.5,554907149.986216
71,292.700012207031,554907150.023596
71,292.700012207031,554907150.061226
71,293.0,554907150.098348
71,293.200012207031,554907150.136186
71,293.300018310547,554907150.173713
71,293.300018310547,554907150.211225
71,293.300018310547,554907150.248619
71,293.300018310547,554907150.286319
71,293.300018310547,554907150.323689
71,293.300018310547,554907150.360631
71,293.300018310547,554907150.398759
71,293.300018310547,554907150.436257
71,293.300018310547,554907150.473681
71,293.5,554907150.511129
71,293.5,554907150.548695
71,293.5,554907150.586201
71,293.5,554907150.623676
71,293.600006103516,554907150.661188
71,293.5,554907150.698699
71,293.5,554907150.736048
71,293.5,554907150.773596
71,293.300018310547,554907150.810885
71,293.300018310547,554907150.848683
71,293.300018310547,554907150.886308
71,293.300018310547,554907150.923664
71,293.200012207031,554907150.960951
71,293.200012207031,554907150.998675
71,293.200012207031,554907151.036158
71,293.200012207031,554907151.073569
71,293.100006103516,554907151.111160
70,293.100006103516,554907151.148492
70,293.0,554907151.186169
70,292.899993896484,554907151.223499
70,292.899993896484,554907151.261142
70,292.899993896484,554907151.298665
70,292.899993896484,554907151.336106
70,292.5,554907151.373102
70,292.300018310547,554907151.411165
70,292.399993896484,554907151.448665
70,292.399993896484,554907151.486151
70,292.399993896484,554907151.523466
70,292.0,554907151.561168
70,291.700012207031,554907151.598615
70,291.700012207031,554907151.636165
70,291.800018310547,554907151.673585
70,291.800018310547,554907151.711101
70,291.600006103516,554907151.748601
70,291.5,554907151.786156
70,291.300018310547,554907151.823456
70,291.200012207031,554907151.861051
70,290.899993896484,554907151.898632
70,290.800018310547,554907151.936058
70,290.800018310547,554907151.973369
70,290.600006103516,554907152.011050
70,290.5,554907152.048747
70,290.200012207031,554907152.086118
70,290.200012207031,554907152.123474
70,290.200012207031,554907152.161142
70,290.200012207031,554907152.198446
70,289.899993896484,554907152.236155
70,289.700012207031,554907152.273436
70,289.899993896484,554907152.311154
70,289.700012207031,554907152.348585
70,289.700012207031,554907152.385647
70,289.700012207031,554907152.423585
70,289.700012207031,554907152.461095
70,289.899993896484,554907152.498379
70,289.700012207031,554907152.536082
70,289.600006103516,554907152.573649
70,289.600006103516,554907152.611007
70,289.300018310547,554907152.648533
70,289.100006103516,554907152.686058
70,289.0,554907152.723177
70,288.700012207031,554907152.761069
70,288.700012207031,554907152.798593
70,288.200012207031,554907152.836137
70,288.200012207031,554907152.911122
70,288.200012207031,554907152.911215
70,287.700012207031,554907152.948668
70,287.700012207031,554907152.986115
70,287.700012207031,554907153.023502
70,287.700012207031,554907153.060886
70,287.700012207031,554907153.136070
70,287.800018310547,554907153.136163
70,287.899993896484,554907153.173595
70,287.899993896484,554907153.210892
70,287.899993896484,554907153.248626
70,287.800018310547,554907153.286132
70,288.0,554907153.323621
70,288.0,554907153.360556
70,288.100006103516,554907153.398066
70,288.100006103516,554907153.436097
70,287.800018310547,554907153.473677
70,287.800018310547,554907153.511048
70,287.800018310547,554907153.565158
70,287.700012207031,554907153.585895
70,287.5,554907153.623463
70,287.5,554907153.661057
70,287.5,554907153.698599
70,287.600006103516,554907153.736093
70,287.700012207031,554907153.773741
70,287.600006103516,554907153.811112
70,287.800018310547,554907153.848717
70,287.800018310547,554907153.886122
70,287.800018310547,554907153.923592
70,287.600006103516,554907153.960723
70,287.600006103516,554907153.998609
70,287.600006103516,554907154.035874
70,287.5,554907154.073606
70,287.600006103516,554907154.111031
70,287.600006103516,554907154.148498
70,287.700012207031,554907154.185988
70,287.800018310547,554907154.223545
70,287.800018310547,554907154.260885
70,287.800018310547,554907154.298660
70,287.800018310547,554907154.336146
70,287.899993896484,554907154.373639
70,288.0,554907154.410730
70,288.0,554907154.448533
70,288.300018310547,554907154.486220
70,288.399993896484,554907154.523627
70,288.700012207031,554907154.561156
70,289.300018310547,554907154.598710
70,289.5,554907154.636108
70,289.800018310547,554907154.673333
70,289.899993896484,554907154.711199
70,290.0,554907154.748636
70,290.399993896484,554907154.786060
70,290.5,554907154.823345
70,290.600006103516,554907154.861182
70,290.700012207031,554907154.898647
70,291.200012207031,554907154.935989
70,291.300018310547,554907154.973701
70,291.399993896484,554907155.011254
70,291.800018310547,554907155.048634
70,291.899993896484,554907155.086175
70,292.600006103516,554907155.123635
71,292.700012207031,554907155.160967
71,293.200012207031,554907155.198470
71,293.300018310547,554907155.236218
71,294.100006103516,554907155.273695
71,294.300018310547,554907155.311191
71,294.600006103516,554907155.348655
71,295.0,554907155.386168
71,295.100006103516,554907155.423200
71,295.5,554907155.461203
71,295.800018310547,554907155.498542
71,296.200012207031,554907155.536090
71,296.300018310547,554907155.573831
71,296.300018310547,554907155.773855
71,296.800018310547,554907155.774001
71,296.800018310547,554907155.774125
71,296.800018310547,554907155.774314
71,296.899993896484,554907155.774401
71,296.899993896484,554907155.824291
71,296.700012207031,554907155.876511
71,296.700012207031,554907155.876642
71,296.5,554907155.911063
71,296.399993896484,554907155.948668
71,296.399993896484,554907155.986163
71,296.300018310547,554907156.023677
71,296.200012207031,554907156.061168
71,296.100006103516,554907156.098683
71,295.899993896484,554907156.136128
72,295.800018310547,554907156.173675
72,295.800018310547,554907156.211187
72,295.600006103516,554907156.248630
72,295.600006103516,554907156.286159
72,295.200012207031,554907156.323659
72,295.100006103516,554907156.360608
72,295.100006103516,554907156.398599
72,294.5,554907156.435607
72,294.200012207031,554907156.473675
72,294.0,554907156.511208
72,293.700012207031,554907156.548215
72,293.700012207031,554907156.585916
72,293.300018310547,554907156.623546
72,292.899993896484,554907156.661048
72,292.5,554907156.698639
72,292.300018310547,554907156.736262
72,292.200012207031,554907156.773639
72,291.5,554907156.811084
72,291.300018310547,554907156.848656
72,290.899993896484,554907156.886148
72,290.800018310547,554907156.923517
72,290.800018310547,554907156.960888
72,290.800018310547,554907156.998629
72,290.800018310547,554907157.036126
72,290.300018310547,554907157.073756
72,290.300018310547,554907157.111026
74,290.200012207031,554907157.148420
74,289.899993896484,554907157.186073
74,289.899993896484,554907157.223641
