HR,pF,Time
92,260.200012207031,554914706.365786
92,260.100006103516,554914706.395986
92,260.0,554914706.425767
92,260.100006103516,554914706.455909
92,259.700012207031,554914706.486082
92,259.5,554914706.515953
92,259.399993896484,554914706.546185
92,259.200012207031,554914706.575996
92,259.200012207031,554914706.605459
92,259.200012207031,554914706.635780
92,259.100006103516,554914706.666105
92,258.800018310547,554914706.695923
92,258.800018310547,554914706.725965
92,258.899993896484,554914706.756030
92,258.899993896484,554914706.786030
92,258.700012207031,554914706.815925
92,258.700012207031,554914706.845798
92,258.399993896484,554914706.875939
92,258.399993896484,554914706.905967
92,258.600006103516,554914706.935751
92,258.800018310547,554914706.965928
92,258.800018310547,554914706.995773
92,258.800018310547,554914707.025942
92,258.800018310547,554914707.056095
92,258.800018310547,554914707.085894
92,258.800018310547,554914707.115760
92,258.800018310547,554914707.145946
92,258.800018310547,554914707.175983
92,258.600006103516,554914707.205874
92,258.5,554914707.235753
92,258.5,554914707.265957
93,258.399993896484,554914707.296048
93,258.300018310547,554914707.325909
93,258.300018310547,554914707.356013
93,258.399993896484,554914707.386072
93,258.5,554914707.415859
93,258.399993896484,554914707.445986
93,258.399993896484,554914707.476094
93,258.399993896484,554914707.505506
93,258.399993896484,554914707.535868
93,258.200012207031,554914707.566058
93,257.899993896484,554914707.596038
93,257.899993896484,554914707.625853
93,257.899993896484,554914707.655779
93,258.0,554914707.685865
93,258.100006103516,554914707.716021
93,258.200012207031,554914707.746147
93,258.399993896484,554914707.776118
93,258.399993896484,554914707.806085
93,258.399993896484,554914707.836025
93,258.100006103516,554914707.866311
93,258.100006103516,554914707.895928
93,258.0,554914707.926055
93,258.0,554914707.955847
93,258.0,554914707.985855
93,258.100006103516,554914708.016073
93,258.200012207031,554914708.046016
93,258.200012207031,554914708.075864
93,258.100006103516,554914708.106011
93,258.100006103516,554914708.135997
93,258.300018310547,554914708.165908
93,258.300018310547,554914708.196011
93,258.200012207031,554914708.226007
93,258.100006103516,554914708.256090
93,258.100006103516,554914708.285847
93,258.100006103516,554914708.315852
93,258.300018310547,554914708.345946
93,258.300018310547,554914708.375723
93,258.0,554914708.406030
93,258.0,554914708.435841
93,258.300018310547,554914708.466012
93,258.300018310547,554914708.495986
93,258.300018310547,554914708.525949
93,258.100006103516,554914708.556048
93,258.399993896484,554914708.585836
93,258.5,554914708.615944
93,258.5,554914708.645999
93,258.600006103516,554914708.675976
93,258.700012207031,554914708.705935
93,258.700012207031,554914708.735880
93,258.700012207031,554914708.765931
93,259.200012207031,554914708.795935
93,259.200012207031,554914708.825836
93,259.200012207031,554914708.855944
93,259.100006103516,554914708.886103
93,259.100006103516,554914708.915917
93,259.200012207031,554914708.946005
93,259.399993896484,554914708.976040
93,259.600006103516,554914709.005792
93,259.600006103516,554914709.035849
93,259.600006103516,554914709.065878
93,259.600006103516,554914709.095976
93,259.800018310547,554914709.126168
93,259.800018310547,554914709.156026
93,259.800018310547,554914709.186046
93,259.800018310547,554914709.215914
93,259.800018310547,554914709.245808
92,259.800018310547,554914709.275798
92,259.800018310547,554914709.305962
92,259.899993896484,554914709.335837
92,260.0,554914709.366042
92,260.100006103516,554914709.396080
92,260.200012207031,554914709.426032
92,260.300018310547,554914709.455832
92,260.5,554914709.485600
92,260.700012207031,554914709.515778
92,260.700012207031,554914709.545973
92,261.100006103516,554914709.575962
92,261.300018310547,554914709.605975
92,261.800018310547,554914709.635840
92,261.899993896484,554914709.665977
92,262.200012207031,554914709.695869
92,262.399993896484,554914709.725990
92,262.399993896484,554914709.755913
92,262.899993896484,554914709.785959
92,263.100006103516,554914709.815898
92,263.300018310547,554914709.845961
92,263.399993896484,554914709.875928
92,263.700012207031,554914709.905967
92,263.700012207031,554914709.935800
92,263.800018310547,554914709.965980
92,263.899993896484,554914709.996016
92,264.200012207031,554914710.025980
92,264.399993896484,554914710.056037
92,264.5,554914710.086001
92,264.700012207031,554914710.115713
92,265.200012207031,554914710.145988
92,265.399993896484,554914710.175895
92,265.5,554914710.206030
92,265.700012207031,554914710.235806
92,266.100006103516,554914710.265913
92,266.200012207031,554914710.295836
92,266.399993896484,554914710.325960
92,266.399993896484,554914710.355913
92,266.5,554914710.386059
92,266.800018310547,554914710.416009
92,266.899993896484,554914710.445968
92,266.899993896484,554914710.475691
92,267.200012207031,554914710.506007
92,267.0,554914710.535836
92,267.100006103516,554914710.565869
92,267.100006103516,554914710.595975
92,267.200012207031,554914710.626022
92,267.200012207031,554914710.655412
92,267.200012207031,554914710.685860
92,267.200012207031,554914710.715519
92,267.200012207031,554914710.745917
92,267.200012207031,554914710.775925
92,267.200012207031,554914710.805983
92,267.100006103516,554914710.836038
92,267.0,554914710.865913
92,266.600006103516,554914710.895895
92,266.600006103516,554914710.926020
92,266.600006103516,554914710.978572
92,266.399993896484,554914711.015783
92,265.899993896484,554914711.053288
92,265.800018310547,554914711.091499
92,265.800018310547,554914711.128289
92,265.0,554914711.165518
92,264.899993896484,554914711.203442
92,264.399993896484,554914711.240914
91,264.300018310547,554914711.278269
91,264.0,554914711.315916
91,264.0,554914711.353323
91,263.700012207031,554914711.390987
91,263.600006103516,554914711.428485
91,263.5,554914711.465490
91,263.100006103516,554914711.503504
91,263.100006103516,554914711.540880
91,262.700012207031,554914711.578519
91,262.700012207031,554914711.615638
91,262.700012207031,554914711.653421
91,262.600006103516,554914711.690992
