HR,pF,Time
74,310.800018310547,554331254.742002
74,310.700012207031,554331254.770898
74,310.600006103516,554331254.801067
74,310.5,554331254.830968
74,310.399993896484,554331254.860975
74,310.399993896484,554331254.890769
74,310.0,554331254.920965
74,309.899993896484,554331254.950822
74,309.800018310547,554331254.980932
74,309.800018310547,554331255.010989
74,309.600006103516,554331255.041206
74,309.5,554331255.070772
74,309.5,554331255.100709
74,309.5,554331255.131223
74,309.300018310547,554331255.160953
74,309.200012207031,554331255.191285
74,309.100006103516,554331255.220709
74,309.100006103516,554331255.251515
74,309.100006103516,554331255.281019
74,309.100006103516,554331255.310716
74,309.100006103516,554331255.341182
74,308.899993896484,554331255.370908
73,309.100006103516,554331255.401098
73,308.899993896484,554331255.431035
73,308.800018310547,554331255.460875
73,308.800018310547,554331255.491193
73,308.800018310547,554331255.521042
73,308.899993896484,554331255.551404
73,309.0,554331255.581009
73,309.0,554331255.611245
73,308.800018310547,554331255.641199
73,308.800018310547,554331255.670701
73,308.800018310547,554331255.701080
73,308.800018310547,554331255.730846
73,308.399993896484,554331255.761000
73,308.399993896484,554331255.790976
73,308.100006103516,554331255.820721
73,308.100006103516,554331255.851147
73,308.300018310547,554331255.880928
73,308.300018310547,554331255.910969
73,308.300018310547,554331255.941153
73,308.300018310547,554331255.971250
73,308.300018310547,554331256.000921
73,308.300018310547,554331256.030754
73,308.300018310547,554331256.061184
73,308.200012207031,554331256.091002
73,308.0,554331256.120976
73,308.0,554331256.150674
73,308.200012207031,554331256.181233
73,308.200012207031,554331256.211081
73,308.0,554331256.240938
73,308.0,554331256.271152
73,308.100006103516,554331256.300871
73,308.100006103516,554331256.331371
73,308.100006103516,554331256.361166
72,308.0,554331256.390709
72,308.0,554331256.420632
72,308.100006103516,554331256.450892
72,308.200012207031,554331256.481082
72,308.200012207031,554331256.510930
72,308.0,554331256.540775
72,307.899993896484,554331256.570591
72,307.899993896484,554331256.600656
72,308.100006103516,554331256.631050
72,308.200012207031,554331256.660830
72,308.200012207031,554331256.691441
72,308.200012207031,554331256.720769
72,308.300018310547,554331256.750766
72,308.300018310547,554331256.780900
72,308.300018310547,554331256.810903
72,308.5,554331256.841100
72,308.600006103516,554331256.870875
72,308.800018310547,554331256.900720
72,309.0,554331256.930833
72,309.100006103516,554331256.960933
72,309.100006103516,554331256.991153
72,309.200012207031,554331257.020780
72,309.5,554331257.051095
72,309.5,554331257.081128
72,309.5,554331257.110655
72,309.5,554331257.140934
72,309.899993896484,554331257.171051
72,309.899993896484,554331257.201202
72,310.100006103516,554331257.230741
72,310.100006103516,554331257.260719
72,310.300018310547,554331257.291195
72,310.399993896484,554331257.320747
72,310.399993896484,554331257.351041
72,310.399993896484,554331257.381233
72,310.300018310547,554331257.410978
72,310.300018310547,554331257.440911
72,310.200012207031,554331257.470644
72,310.200012207031,554331257.501054
72,310.200012207031,554331257.530912
72,310.300018310547,554331257.561127
72,310.300018310547,554331257.591058
72,310.399993896484,554331257.620727
72,310.399993896484,554331257.651219
72,310.399993896484,554331257.681083
72,310.399993896484,554331257.711083
72,310.200012207031,554331257.740904
72,310.399993896484,554331257.770914
72,310.200012207031,554331257.801130
72,310.200012207031,554331257.830884
72,310.100006103516,554331257.860904
72,310.100006103516,554331257.890938
72,310.200012207031,554331257.920622
72,310.200012207031,554331257.951220
72,310.200012207031,554331257.981002
72,310.0,554331258.011108
72,310.0,554331258.040948
72,310.0,554331258.070935
72,310.0,554331258.101113
72,309.899993896484,554331258.130804
72,309.899993896484,554331258.160877
72,309.700012207031,554331258.190878
72,309.700012207031,554331258.220702
72,310.0,554331258.251010
72,310.0,554331258.281344
72,310.0,554331258.311152
72,310.600006103516,554331258.340637
72,310.600006103516,554331258.371039
72,310.800018310547,554331258.401008
72,310.899993896484,554331258.431054
72,311.0,554331258.460839
72,311.300018310547,554331258.491050
72,311.600006103516,554331258.520854
72,311.899993896484,554331258.551037
72,312.100006103516,554331258.581127
72,312.300018310547,554331258.611006
72,312.700012207031,554331258.641215
72,313.0,554331258.671214
72,313.200012207031,554331258.701072
72,313.399993896484,554331258.731226
72,313.600006103516,554331258.760976
72,314.0,554331258.790686
72,314.0,554331258.820724
72,314.100006103516,554331258.850735
72,314.600006103516,554331258.881045
72,314.700012207031,554331258.911059
72,314.700012207031,554331258.940993
72,315.0,554331258.970845
72,315.399993896484,554331259.001153
72,315.399993896484,554331259.030875
72,315.5,554331259.060733
72,315.399993896484,554331259.090810
72,315.399993896484,554331259.121132
72,315.300018310547,554331259.151156
72,315.300018310547,554331259.180974
72,315.200012207031,554331259.210728
72,315.200012207031,554331259.241317
72,314.700012207031,554331259.270978
72,314.700012207031,554331259.301198
72,314.700012207031,554331259.323709
72,314.5,554331259.360989
71,314.399993896484,554331259.398475
71,314.300018310547,554331259.435850
71,314.100006103516,554331259.473728
71,313.899993896484,554331259.511107
71,313.600006103516,554331259.548257
71,313.300018310547,554331259.585933
71,312.899993896484,554331259.623195
71,312.700012207031,554331259.660780
71,312.600006103516,554331259.698304
71,312.300018310547,554331259.736057
71,311.800018310547,554331259.773683
71,311.600006103516,554331259.811109
71,311.5,554331259.848544
71,311.100006103516,554331259.886105
71,310.899993896484,554331259.923472
71,310.600006103516,554331259.960818
71,310.5,554331259.998120
71,310.300018310547,554331260.035717
71,310.0,554331260.073580
71,309.899993896484,554331260.110837
71,309.899993896484,554331260.148719
71,309.600006103516,554331260.185693
71,309.399993896484,554331260.223432
71,309.399993896484,554331260.261085
71,309.200012207031,554331260.298293
71,309.0,554331260.335993
71,309.0,554331260.373542
72,309.0,554331260.410953
72,308.800018310547,554331260.448663
72,308.899993896484,554331260.485717
72,308.899993896484,554331260.523270
72,309.0,554331260.560967
72,309.0,554331260.598574
72,309.100006103516,554331260.636277
72,309.100006103516,554331260.673425
72,309.200012207031,554331260.710952
72,309.5,554331260.748398
72,309.600006103516,554331260.785826
72,309.600006103516,554331260.823553
72,309.700012207031,554331260.861021
72,309.700012207031,554331260.898442
72,309.5,554331260.936156
72,309.5,554331260.973564
72,309.5,554331261.010715
72,309.5,554331261.048430
72,309.300018310547,554331261.085656
72,309.300018310547,554331261.123657
72,309.100006103516,554331261.160992
72,308.600006103516,554331261.198133
72,308.5,554331261.235635
72,308.600006103516,554331261.273411
72,308.600006103516,554331261.311123
72,308.700012207031,554331261.348470
72,309.0,554331261.385725
72,309.5,554331261.423547
72,310.0,554331261.461037
72,310.5,554331261.498235
72,311.100006103516,554331261.536031
72,311.700012207031,554331261.573421
72,312.200012207031,554331261.611040
72,313.399993896484,554331261.648496
72,314.200012207031,554331261.686027
72,315.0,554331261.723421
72,315.600006103516,554331261.761046
72,316.5,554331261.798321
72,317.700012207031,554331261.836113
72,318.800018310547,554331261.873417
72,320.0,554331261.911238
72,321.0,554331261.948582
72,321.899993896484,554331261.985796
72,323.200012207031,554331262.023407
72,324.700012207031,554331262.061315
72,326.700012207031,554331262.098502
72,328.600006103516,554331262.136097
72,330.899993896484,554331262.173393
72,332.600006103516,554331262.211255
72,334.200012207031,554331262.248650
72,335.700012207031,554331262.286020
72,336.5,554331262.323353
72,337.700012207031,554331262.361014
73,338.5,554331262.398720
73,339.100006103516,554331262.436017
73,339.399993896484,554331262.473230
73,339.800018310547,554331262.511004
73,340.0,554331262.548596
73,340.200012207031,554331262.586013
73,340.600006103516,554331262.623682
73,340.600006103516,554331262.661000
73,340.700012207031,554331262.698738
73,340.700012207031,554331262.735965
73,340.700012207031,554331262.773801
73,340.899993896484,554331262.811046
73,340.899993896484,554331262.848327
73,340.700012207031,554331262.885791
73,340.600006103516,554331262.923642
73,339.800018310547,554331262.960860
73,339.700012207031,554331262.998266
73,338.600006103516,554331263.035970
73,338.100006103516,554331263.073731
73,336.200012207031,554331263.111073
73,335.200012207031,554331263.148488
73,335.200012207031,554331263.185967
73,334.800018310547,554331263.223497
73,334.399993896484,554331263.260972
73,333.300018310547,554331263.298619
73,332.300018310547,554331263.335863
73,331.899993896484,554331263.373583
73,331.200012207031,554331263.411203
73,330.5,554331263.448384
73,329.800018310547,554331263.485989
73,329.200012207031,554331263.523489
73,328.399993896484,554331263.561006
73,327.399993896484,554331263.598684
73,326.300018310547,554331263.635752
73,325.700012207031,554331263.673704
73,325.100006103516,554331263.710970
73,324.700012207031,554331263.748518
73,324.0,554331263.786055
73,323.399993896484,554331263.823388
73,322.899993896484,554331263.861152
73,322.5,554331263.898235
73,321.899993896484,554331263.935947
73,321.5,554331263.973311
73,321.200012207031,554331264.011139
73,320.800018310547,554331264.048647
73,320.300018310547,554331264.085749
73,320.0,554331264.123455
73,319.600006103516,554331264.161063
73,319.300018310547,554331264.198455
73,319.0,554331264.236192
73,318.899993896484,554331264.273242
73,318.200012207031,554331264.310966
73,318.0,554331264.348238
73,317.899993896484,554331264.385755
73,317.399993896484,554331264.423374
73,317.0,554331264.460997
73,316.5,554331264.498455
73,316.200012207031,554331264.536185
73,315.600006103516,554331264.573642
73,315.600006103516,554331264.610756
73,315.5,554331264.648116
73,315.0,554331264.685944
73,314.600006103516,554331264.723473
73,314.0,554331264.760752
73,313.600006103516,554331264.798426
73,313.399993896484,554331264.836179
73,313.0,554331264.873429
73,312.899993896484,554331264.910866
73,312.700012207031,554331264.948448
73,312.200012207031,554331264.985952
73,312.200012207031,554331265.023452
73,312.100006103516,554331265.061317
73,312.100006103516,554331265.098461
73,312.100006103516,554331265.136172
73,311.899993896484,554331265.173658
73,311.899993896484,554331265.211164
