HR,pF,Time
81,313.399993896484,554135389.191213
81,313.200012207031,554135389.212360
81,313.100006103516,554135389.242159
81,312.800018310547,554135389.271937
81,312.800018310547,554135389.302151
81,312.800018310547,554135389.332143
81,312.700012207031,554135389.362030
81,312.600006103516,554135389.392161
81,312.5,554135389.422036
81,312.399993896484,554135389.452172
81,312.300018310547,554135389.481951
81,312.300018310547,554135389.512143
81,312.200012207031,554135389.542116
81,312.100006103516,554135389.571930
81,311.899993896484,554135389.602181
81,311.700012207031,554135389.632173
81,311.700012207031,554135389.662188
81,311.800018310547,554135389.691929
81,311.800018310547,554135389.721784
81,311.600006103516,554135389.752111
81,311.600006103516,554135389.782053
81,311.600006103516,554135389.812149
81,311.600006103516,554135389.841662
81,311.399993896484,554135389.872127
81,311.399993896484,554135389.902061
81,311.100006103516,554135389.931995
81,310.899993896484,554135389.961941
81,310.899993896484,554135389.992180
81,310.899993896484,554135390.022185
81,310.899993896484,554135390.052177
81,310.899993896484,554135390.082160
81,310.800018310547,554135390.112091
81,310.600006103516,554135390.142179
81,310.5,554135390.171919
81,310.399993896484,554135390.202170
81,310.399993896484,554135390.232164
81,310.800018310547,554135390.262440
81,310.800018310547,554135390.291937
81,310.5,554135390.322182
81,310.5,554135390.352133
81,310.5,554135390.381910
81,310.399993896484,554135390.412245
81,310.399993896484,554135390.442132
81,310.399993896484,554135390.471630
81,310.300018310547,554135390.502162
81,310.100006103516,554135390.532179
81,310.100006103516,554135390.561689
81,310.200012207031,554135390.591957
81,310.200012207031,554135390.622227
81,310.300018310547,554135390.652147
81,310.200012207031,554135390.682152
81,310.200012207031,554135390.712183
81,310.200012207031,554135390.742219
81,310.100006103516,554135390.772295
81,310.100006103516,554135390.801949
81,309.899993896484,554135390.832160
80,309.899993896484,554135390.862059
80,309.800018310547,554135390.892153
80,309.800018310547,554135390.922279
80,310.0,554135390.952083
80,310.0,554135390.982163
80,310.100006103516,554135391.012146
80,309.899993896484,554135391.042173
80,310.0,554135391.072130
80,310.0,554135391.101939
80,310.200012207031,554135391.132160
80,310.300018310547,554135391.162220
80,310.600006103516,554135391.192307
80,310.800018310547,554135391.222295
80,310.899993896484,554135391.252198
80,310.899993896484,554135391.282059
80,311.0,554135391.312274
80,311.300018310547,554135391.342290
80,311.300018310547,554135391.372258
80,311.399993896484,554135391.402199
80,311.5,554135391.432239
80,311.5,554135391.462202
80,311.600006103516,554135391.492286
80,311.899993896484,554135391.522280
80,311.899993896484,554135391.552281
80,312.300018310547,554135391.582262
80,312.300018310547,554135391.612311
