pF,time
244.0,546540971.808292
244.0,546540971.838045
244.199996948242,546540971.868035
244.199996948242,546540971.898260
244.199996948242,546540971.928203
244.100006103516,546540971.957727
244.0,546540971.987685
244.0,546540972.018243
244.0,546540972.048253
243.699996948242,546540972.078185
243.699996948242,546540972.108184
243.699996948242,546540972.138176
243.699996948242,546540972.168184
243.699996948242,546540972.198188
243.699996948242,546540972.228388
243.699996948242,546540972.257932
243.5,546540972.288178
243.5,546540972.318193
243.5,546540972.348155
243.600006103516,546540972.378259
243.5,546540972.408253
243.5,546540972.438219
243.400009155273,546540972.468258
243.400009155273,546540972.497850
243.400009155273,546540972.528166
243.400009155273,546540972.558168
243.300003051758,546540972.588212
243.600006103516,546540972.618167
243.5,546540972.648179
243.600006103516,546540972.677878
243.699996948242,546540972.708196
243.699996948242,546540972.738225
243.800003051758,546540972.768172
243.800003051758,546540972.798248
243.800003051758,546540972.828159
243.800003051758,546540972.858168
243.800003051758,546540972.888191
243.800003051758,546540972.918003
243.800003051758,546540972.948008
243.600006103516,546540972.978178
243.5,546540973.008011
243.300003051758,546540973.038136
243.400009155273,546540973.068136
243.400009155273,546540973.098168
243.5,546540973.128173
243.600006103516,546540973.158171
243.600006103516,546540973.188177
243.600006103516,546540973.218355
243.600006103516,546540973.247926
243.5,546540973.278154
243.600006103516,546540973.308006
243.600006103516,546540973.338157
243.699996948242,546540973.368155
243.800003051758,546540973.398161
243.699996948242,546540973.427954
243.800003051758,546540973.458152
243.800003051758,546540973.488153
243.900009155273,546540973.518258
244.100006103516,546540973.548132
243.900009155273,546540973.578142
244.100006103516,546540973.608137
244.0,546540973.638210
244.0,546540973.668129
243.800003051758,546540973.698189
243.699996948242,546540973.728271
243.600006103516,546540973.757771
243.0,546540973.788273
242.900009155273,546540973.818259
242.699996948242,546540973.848151
242.5,546540973.878148
241.900009155273,546540973.908122
241.699996948242,546540973.938257
241.400009155273,546540973.968215
241.100006103516,546540973.998200
240.699996948242,546540974.027737
240.5,546540974.058180
240.300003051758,546540974.088270
240.0,546540974.118217
239.900009155273,546540974.148131
239.699996948242,546540974.178115
239.400009155273,546540974.208203
239.100006103516,546540974.238258
238.800003051758,546540974.268102
238.600006103516,546540974.298141
238.199996948242,546540974.327792
238.100006103516,546540974.358251
238.100006103516,546540974.388304
237.800003051758,546540974.418250
237.800003051758,546540974.448249
237.5,546540974.477888
237.400009155273,546540974.508295
237.300003051758,546540974.538243
237.300003051758,546540974.568380
237.300003051758,546540974.598299
237.300003051758,546540974.628276
237.5,546540974.658272
237.800003051758,546540974.688223
238.0,546540974.718210
238.600006103516,546540974.748229
238.800003051758,546540974.778059
239.199996948242,546540974.808213
240.0,546540974.838222
240.400009155273,546540974.868224
241.300003051758,546540974.898188
241.5,546540974.928298
242.300003051758,546540974.958237
242.600006103516,546540974.987773
243.0,546540975.018308
243.400009155273,546540975.048317
243.800003051758,546540975.078215
244.300003051758,546540975.108206
244.900009155273,546540975.138080
245.199996948242,546540975.168230
246.100006103516,546540975.198264
246.5,546540975.228286
247.100006103516,546540975.257976
247.199996948242,546540975.288399
247.800003051758,546540975.318232
248.0,546540975.348198
248.100006103516,546540975.378287
248.300003051758,546540975.408223
248.5,546540975.437693
248.600006103516,546540975.468055
248.900009155273,546540975.498291
248.900009155273,546540975.528220
248.900009155273,546540975.558209
249.5,546540975.588246
250.0,546540975.618208
250.199996948242,546540975.648288
250.699996948242,546540975.678171
250.699996948242,546540975.723307
250.699996948242,546540975.738275
251.0,546540975.768043
251.0,546540975.798255
251.100006103516,546540975.828317
251.0,546540975.858291
251.0,546540975.888263
250.900009155273,546540975.918026
250.699996948242,546540975.948180
250.5,546540975.978277
250.5,546540976.008263
250.5,546540976.038208
250.5,546540976.068051
250.300003051758,546540976.098302
250.100006103516,546540976.128277
250.100006103516,546540976.158199
250.0,546540976.188208
250.0,546540976.218351
249.800003051758,546540976.248500
249.600006103516,546540976.277959
249.600006103516,546540976.308272
249.600006103516,546540976.353032
249.400009155273,546540976.394444
249.199996948242,546540976.435797
248.800003051758,546540976.476905
248.5,546540976.518156
248.5,546540976.559265
248.300003051758,546540976.600664
248.0,546540976.641937
247.900009155273,546540976.683266
247.800003051758,546540976.724515
247.5,546540976.765747
247.400009155273,546540976.807019
247.0,546540976.848213
246.800003051758,546540976.889490
246.5,546540976.930718
246.300003051758,546540976.971968
245.800003051758,546540977.013229
245.5,546540977.054585
245.199996948242,546540977.095657
245.100006103516,546540977.136921
245.0,546540977.177928
245.0,546540977.219479
245.0,546540977.260644
245.100006103516,546540977.301896
245.100006103516,546540977.343226
245.300003051758,546540977.384487
245.400009155273,546540977.425733
245.5,546540977.466958
245.600006103516,546540977.508210
245.800003051758,546540977.549469
246.400009155273,546540977.590485
246.699996948242,546540977.631940
247.300003051758,546540977.672841
248.0,546540977.714607
249.0,546540977.755638
249.900009155273,546540977.796892
250.900009155273,546540977.838172
252.199996948242,546540977.879481
253.100006103516,546540977.920476
254.0,546540977.961905
254.800003051758,546540978.003141
256.200012207031,546540978.044382
257.300018310547,546540978.085695
258.700012207031,546540978.126809
259.700012207031,546540978.168141
261.200012207031,546540978.209604
262.0,546540978.250725
264.0,546540978.292047
266.100006103516,546540978.333265
268.0,546540978.374583
269.399993896484,546540978.415756
270.0,546540978.456644
270.399993896484,546540978.498341
270.600006103516,546540978.539498
271.200012207031,546540978.580736
272.100006103516,546540978.622080
272.899993896484,546540978.663283
274.200012207031,546540978.704530
274.899993896484,546540978.745796
276.399993896484,546540978.786989
277.600006103516,546540978.828315
278.5,546540978.869573
279.5,546540978.910831
280.100006103516,546540978.951987
280.399993896484,546540978.993207
280.399993896484,546540979.034316
280.399993896484,546540979.075771
280.600006103516,546540979.116981
280.600006103516,546540979.158221
280.5,546540979.199571
280.5,546540979.240789
280.100006103516,546540979.281979
279.899993896484,546540979.323226
279.700012207031,546540979.364327
279.600006103516,546540979.405736
279.600006103516,546540979.447050
279.899993896484,546540979.488311
280.200012207031,546540979.529504
280.200012207031,546540979.570733
280.800018310547,546540979.611981
281.100006103516,546540979.653240
281.300018310547,546540979.694463
281.800018310547,546540979.735766
282.200012207031,546540979.776948
282.300018310547,546540979.818283
282.300018310547,546540979.859338
282.300018310547,546540979.900729
282.5,546540979.942240
283.0,546540979.983202
283.399993896484,546540980.024483
284.5,546540980.065698
284.5,546540980.107039
285.700012207031,546540980.148193
286.800018310547,546540980.189552
287.300018310547,546540980.230955
287.600006103516,546540980.272000
287.800018310547,546540980.354389
288.100006103516,546540980.354478
288.5,546540980.395689
288.600006103516,546540980.436920
289.100006103516,546540980.477672
289.200012207031,546540980.519525
289.399993896484,546540980.560694
289.800018310547,546540980.602016
289.800018310547,546540980.643218
289.800018310547,546540980.684447
289.800018310547,546540980.725658
289.800018310547,546540980.767017
289.800018310547,546540980.808247
290.200012207031,546540980.849434
290.200012207031,546540980.890728
290.5,546540980.931748
290.600006103516,546540980.973286
290.700012207031,546540981.014438
290.800018310547,546540981.055692
290.700012207031,546540981.096979
291.0,546540981.138179
291.100006103516,546540981.179453
291.100006103516,546540981.220532
291.100006103516,546540981.262002
291.0,546540981.303177
291.0,546540981.344468
290.899993896484,546540981.385869
290.800018310547,546540981.427099
290.800018310547,546540981.468248
290.899993896484,546540981.509436
290.899993896484,546540981.550627
290.700012207031,546540981.592103
290.700012207031,546540981.633289
290.700012207031,546540981.674474
290.899993896484,546540981.715855
290.800018310547,546540981.756761
290.800018310547,546540981.798017
290.800018310547,546540981.839403
290.800018310547,546540981.880792
290.700012207031,546540981.921953
290.600006103516,546540981.962775
290.600006103516,546540982.004245
290.600006103516,546540982.045638
290.600006103516,546540982.086711
290.5,546540982.127959
290.399993896484,546540982.169619
290.399993896484,546540982.210409
290.399993896484,546540982.251406
290.399993896484,546540982.292978
290.399993896484,546540982.334367
290.300018310547,546540982.375758
290.300018310547,546540982.416946
290.100006103516,546540982.458227
290.200012207031,546540982.498974
290.100006103516,546540982.540873
289.899993896484,546540982.582021
289.800018310547,546540982.623118
289.600006103516,546540982.664499
289.800018310547,546540982.705719
289.899993896484,546540982.747108
289.899993896484,546540982.788261
290.0,546540982.829514
290.100006103516,546540982.870819
290.0,546540982.912005
289.800018310547,546540982.953241
289.800018310547,546540982.994574
289.800018310547,546540983.035753
289.800018310547,546540983.076983
290.0,546540983.118315
290.0,546540983.159497
289.800018310547,546540983.200738
289.800018310547,546540983.241989
289.800018310547,546540983.282746
289.899993896484,546540983.324335
289.800018310547,546540983.365579
289.899993896484,546540983.407039
289.800018310547,546540983.448311
289.899993896484,546540983.489471
289.800018310547,546540983.530414
289.800018310547,546540983.571848
289.700012207031,546540983.613103
289.700012207031,546540983.654478
