pF,time
248.699996948242,542812557.157918
249.300003051758,542812557.202804
250.100006103516,542812557.247940
250.900009155273,542812557.292804
252.300003051758,542812557.337792
253.600006103516,542812557.382910
254.5,542812557.427820
254.800003051758,542812557.472756
254.800003051758,542812557.517869
254.600006103516,542812557.562783
254.5,542812557.608003
254.600006103516,542812557.652547
254.800003051758,542812557.697947
254.900009155273,542812557.742936
255.100006103516,542812557.787979
255.199996948242,542812557.832954
255.300003051758,542812557.877790
255.600006103516,542812557.922773
255.600006103516,542812557.968044
255.300003051758,542812558.012950
255.0,542812558.057956
254.300003051758,542812558.102939
253.900009155273,542812558.148033
252.699996948242,542812558.192947
252.5,542812558.237958
252.100006103516,542812558.282959
252.0,542812558.327963
251.800003051758,542812558.372966
250.699996948242,542812558.417947
249.900009155273,542812558.462934
249.300003051758,542812558.507958
248.900009155273,542812558.552989
248.900009155273,542812558.597846
248.699996948242,542812558.642964
248.699996948242,542812558.687976
248.900009155273,542812558.732557
248.900009155273,542812558.777990
248.699996948242,542812558.867918
248.699996948242,542812558.868010
248.400009155273,542812558.913135
248.600006103516,542812558.958054
248.600006103516,542812559.002971
248.900009155273,542812559.047991
249.100006103516,542812559.092968
249.199996948242,542812559.137966
249.199996948242,542812559.182948
249.199996948242,542812559.228006
249.199996948242,542812559.272844
249.699996948242,542812559.317994
250.5,542812559.362991
251.300003051758,542812559.407981
252.5,542812559.452693
253.600006103516,542812559.497658
255.0,542812559.542820
255.600006103516,542812559.587984
256.5,542812559.633062
257.700012207031,542812559.677700
258.700012207031,542812559.768018
259.100006103516,542812559.768132
260.100006103516,542812559.813018
260.600006103516,542812559.857922
261.5,542812559.903084
261.700012207031,542812559.948009
262.600006103516,542812559.992999
263.399993896484,542812560.038020
263.800018310547,542812560.217960
264.399993896484,542812560.218128
264.5,542812560.218472
264.5,542812560.219088
264.5,542812560.262949
263.899993896484,542812560.308230
263.899993896484,542812560.353021
263.899993896484,542812560.398022
263.899993896484,542812560.442846
263.5,542812560.488024
