pF,time
287.100006103516,551122614.109774
286.700012207031,551122614.139958
286.200012207031,551122614.169854
286.100006103516,551122614.199817
285.800018310547,551122614.230026
285.600006103516,551122614.260008
284.899993896484,551122614.290090
284.899993896484,551122614.319709
284.800018310547,551122614.349698
284.700012207031,551122614.379985
284.600006103516,551122614.410062
284.5,551122614.439845
284.100006103516,551122614.469561
284.0,551122614.499986
284.0,551122614.529992
284.5,551122614.559840
284.5,551122614.589833
284.700012207031,551122614.619833
284.700012207031,551122614.649987
284.600006103516,551122614.680067
284.5,551122614.709597
284.600006103516,551122614.740177
284.5,551122614.769826
284.5,551122614.799999
284.5,551122614.829987
284.700012207031,551122614.859811
284.899993896484,551122614.889808
285.0,551122614.919794
285.0,551122614.950092
285.200012207031,551122614.979978
285.200012207031,551122615.010049
285.100006103516,551122615.039976
285.0,551122615.069806
285.0,551122615.100109
285.100006103516,551122615.129937
285.200012207031,551122615.160028
285.100006103516,551122615.189826
285.100006103516,551122615.219487
285.0,551122615.249945
285.0,551122615.279971
284.800018310547,551122615.310014
284.800018310547,551122615.339802
284.899993896484,551122615.369688
285.0,551122615.399626
285.100006103516,551122615.429952
285.0,551122615.459495
285.0,551122615.489609
284.899993896484,551122615.519897
285.0,551122615.550018
285.0,551122615.579956
285.0,551122615.610015
284.800018310547,551122615.639888
284.800018310547,551122615.669937
284.700012207031,551122615.699942
284.899993896484,551122615.729796
285.100006103516,551122615.774943
285.300018310547,551122615.789928
285.5,551122615.819879
285.700012207031,551122615.850029
285.800018310547,551122615.880010
286.0,551122615.909454
286.399993896484,551122615.939762
286.399993896484,551122615.969455
286.300018310547,551122615.999712
286.200012207031,551122616.029918
286.200012207031,551122616.059765
285.899993896484,551122616.089768
285.800018310547,551122616.119950
285.899993896484,551122616.149996
286.300018310547,551122616.180000
286.399993896484,551122616.209669
286.600006103516,551122616.239797
287.100006103516,551122616.270065
287.200012207031,551122616.299897
287.200012207031,551122616.329905
287.300018310547,551122616.359803
287.300018310547,551122616.389506
287.300018310547,551122616.419954
287.100006103516,551122616.449855
287.100006103516,551122616.479913
287.100006103516,551122616.509968
287.399993896484,551122616.539749
287.5,551122616.569882
287.600006103516,551122616.599911
287.600006103516,551122616.629968
287.600006103516,551122616.659747
287.600006103516,551122616.689970
287.899993896484,551122616.719466
287.899993896484,551122616.749541
287.899993896484,551122616.779998
287.800018310547,551122616.809907
287.399993896484,551122616.839940
287.399993896484,551122616.869885
286.700012207031,551122616.899892
286.600006103516,551122616.929956
286.200012207031,551122616.959515
285.899993896484,551122616.989765
285.600006103516,551122617.019857
285.399993896484,551122617.050031
284.899993896484,551122617.079943
284.600006103516,551122617.109942
284.600006103516,551122617.139737
284.600006103516,551122617.169794
284.899993896484,551122617.199942
284.899993896484,551122617.229931
284.800018310547,551122617.259567
284.700012207031,551122617.289701
284.700012207031,551122617.319940
284.800018310547,551122617.349938
284.899993896484,551122617.379945
285.200012207031,551122617.409914
285.399993896484,551122617.439709
285.399993896484,551122617.469357
285.600006103516,551122617.499836
285.600006103516,551122617.529940
285.200012207031,551122617.559924
285.200012207031,551122617.589708
285.200012207031,551122617.619962
285.0,551122617.649868
285.0,551122617.679860
284.899993896484,551122617.709488
285.0,551122617.739887
285.200012207031,551122617.769651
285.200012207031,551122617.799940
284.800018310547,551122617.829847
284.399993896484,551122617.859913
284.399993896484,551122617.889712
284.300018310547,551122617.919737
284.300018310547,551122617.950060
284.200012207031,551122617.979642
284.200012207031,551122618.009914
284.200012207031,551122618.039690
284.100006103516,551122618.069907
284.0,551122618.099896
283.899993896484,551122618.129860
283.800018310547,551122618.159881
283.600006103516,551122618.189679
283.399993896484,551122618.219359
283.300018310547,551122618.249883
283.300018310547,551122618.279901
283.300018310547,551122618.309891
283.5,551122618.339829
283.5,551122618.369768
283.5,551122618.400024
283.5,551122618.444892
283.5,551122618.459382
283.399993896484,551122618.489914
283.399993896484,551122618.519829
283.399993896484,551122618.549995
283.399993896484,551122618.579868
283.399993896484,551122618.624994
283.399993896484,551122618.639839
283.300018310547,551122618.670032
283.200012207031,551122618.699822
283.100006103516,551122618.729872
283.200012207031,551122618.778643
283.100006103516,551122618.819805
282.899993896484,551122618.861272
282.899993896484,551122618.902289
282.600006103516,551122618.943563
282.600006103516,551122618.984867
282.600006103516,551122619.025977
282.600006103516,551122619.067107
282.800018310547,551122619.108656
282.800018310547,551122619.149986
282.800018310547,551122619.191085
282.700012207031,551122619.232394
282.700012207031,551122619.273749
282.700012207031,551122619.315115
282.600006103516,551122619.356028
282.5,551122619.397470
282.5,551122619.438265
282.399993896484,551122619.479981
282.5,551122619.520833
282.399993896484,551122619.562482
282.399993896484,551122619.603295
282.399993896484,551122619.644946
282.399993896484,551122619.686289
282.399993896484,551122619.727159
282.399993896484,551122619.768699
282.399993896484,551122619.809969
282.600006103516,551122619.851126
282.600006103516,551122619.892457
282.600006103516,551122619.933522
282.600006103516,551122619.974791
282.5,551122620.016197
282.5,551122620.057465
282.5,551122620.098716
282.5,551122620.139728
282.5,551122620.180902
282.600006103516,551122620.221988
282.600006103516,551122620.263571
282.600006103516,551122620.304732
282.600006103516,551122620.346138
282.800018310547,551122620.387181
282.899993896484,551122620.428379
282.899993896484,551122620.469401
282.899993896484,551122620.511190
282.899993896484,551122620.552464
283.0,551122620.593692
283.100006103516,551122620.634755
283.0,551122620.676152
283.0,551122620.716936
283.0,551122620.758677
282.899993896484,551122620.799316
283.200012207031,551122620.841128
283.399993896484,551122620.882438
284.0,551122620.923431
284.0,551122620.964454
284.399993896484,551122621.005916
284.899993896484,551122621.047410
285.200012207031,551122621.088466
285.399993896484,551122621.129930
285.5,551122621.170853
285.5,551122621.211965
285.399993896484,551122621.253359
285.399993896484,551122621.294915
285.399993896484,551122621.335932
285.300018310547,551122621.377333
285.100006103516,551122621.418647
285.100006103516,551122621.459422
285.100006103516,551122621.501262
285.0,551122621.542334
284.700012207031,551122621.583664
284.300018310547,551122621.624821
284.200012207031,551122621.665910
284.200012207031,551122621.707351
283.600006103516,551122621.748695
283.600006103516,551122621.789626
283.600006103516,551122621.831131
283.600006103516,551122621.872154
283.5,551122621.913751
283.300018310547,551122621.954359
283.100006103516,551122621.995602
283.100006103516,551122622.037112
282.800018310547,551122622.078720
282.700012207031,551122622.119602
282.800018310547,551122622.161102
