pF,time
255.100006103516,542162040.340681
255.100006103516,542162040.369396
255.100006103516,542162040.411135
255.0,542162040.451913
255.300003051758,542162040.493354
255.300003051758,542162040.534458
255.300003051758,542162040.575812
255.300003051758,542162040.616623
255.199996948242,542162040.658212
255.199996948242,542162040.699148
255.5,542162040.781668
255.5,542162040.781886
255.400009155273,542162040.822970
255.400009155273,542162040.864114
255.699996948242,542162040.905395
256.100006103516,542162040.987946
256.300018310547,542162041.029708
256.300018310547,542162041.029824
256.200012207031,542162041.070651
256.200012207031,542162041.111899
256.100006103516,542162041.194701
256.100006103516,542162041.194803
256.100006103516,542162041.235648
255.600006103516,542162041.317909
255.5,542162041.318293
255.5,542162041.359351
255.5,542162041.400686
255.199996948242,542162041.442039
255.300003051758,542162041.524495
255.199996948242,542162041.524587
255.0,542162041.565803
254.800003051758,542162041.648229
254.900009155273,542162041.648325
254.800003051758,542162041.689556
254.900009155273,542162041.730570
254.800003051758,542162041.771867
254.900009155273,542162041.813496
255.199996948242,542162041.854484
255.699996948242,542162041.895936
255.900009155273,542162041.936828
256.200012207031,542162041.978364
256.700012207031,542162042.019404
257.300018310547,542162042.060756
257.600006103516,542162042.101732
258.100006103516,542162042.184241
258.5,542162042.184523
258.5,542162042.308182
258.600006103516,542162042.308294
259.200012207031,542162042.308733
259.399993896484,542162042.349596
259.600006103516,542162042.390523
260.0,542162042.514302
260.200012207031,542162042.514384
260.700012207031,542162042.514948
261.0,542162042.555744
261.100006103516,542162042.597288
261.700012207031,542162042.638516
261.700012207031,542162042.720765
262.200012207031,542162042.720852
262.899993896484,542162042.761985
263.0,542162042.803480
263.600006103516,542162042.885530
263.700012207031,542162042.885775
263.800018310547,542162042.926847
264.300018310547,542162042.968406
264.300018310547,542162043.009120
264.600006103516,542162043.050371
264.800018310547,542162043.091914
264.899993896484,542162043.174404
265.100006103516,542162043.174604
265.100006103516,542162043.215699
265.200012207031,542162043.256828
265.399993896484,542162043.298242
265.600006103516,542162043.380782
265.700012207031,542162043.380886
265.700012207031,542162043.421824
265.300018310547,542162043.504466
265.300018310547,542162043.504756
265.300018310547,542162043.545747
265.0,542162043.587074
264.800018310547,542162043.628401
264.600006103516,542162043.710748
264.0,542162043.710838
263.5,542162043.752066
263.100006103516,542162043.875756
263.0,542162043.875931
262.5,542162043.883126
262.100006103516,542162043.917118
261.700012207031,542162043.958213
261.300018310547,542162044.040816
261.0,542162044.040924
260.800018310547,542162044.081697
260.399993896484,542162044.123197
260.300018310547,542162044.164295
260.100006103516,542162044.247045
259.600006103516,542162044.247141
259.399993896484,542162044.329743
259.0,542162044.411543
258.600006103516,542162044.411991
258.399993896484,542162044.453074
257.899993896484,542162044.494426
257.800018310547,542162044.535749
257.600006103516,542162044.618414
257.5,542162044.618508
257.399993896484,542162044.659459
257.100006103516,542162044.742032
257.100006103516,542162044.742158
257.100006103516,542162044.782993
257.100006103516,542162044.824364
256.800018310547,542162044.865310
257.100006103516,542162045.072230
256.800018310547,542162045.072349
256.700012207031,542162045.072446
256.600006103516,542162045.072989
256.5,542162045.113356
256.399993896484,542162045.113506
255.900009155273,542162045.154541
255.900009155273,542162045.278293
255.900009155273,542162045.278490
255.900009155273,542162045.278802
255.900009155273,542162045.319624
255.900009155273,542162045.401952
256.0,542162045.402040
256.0,542162045.443331
255.699996948242,542162045.484483
255.699996948242,542162045.525658
255.800003051758,542162045.608251
255.800003051758,542162045.608331
255.800003051758,542162045.649553
255.600006103516,542162045.690609
255.600006103516,542162045.814601
255.800003051758,542162045.814700
256.0,542162045.814953
256.0,542162045.855988
255.600006103516,542162045.938163
255.600006103516,542162045.938314
255.900009155273,542162045.979781
256.0,542162046.020528
256.5,542162046.061634
257.100006103516,542162046.144362
257.100006103516,542162046.185797
257.5,542162046.268168
257.700012207031,542162046.268258
257.899993896484,542162046.268744
258.200012207031,542162046.309393
258.300018310547,542162046.350505
259.200012207031,542162046.391793
259.399993896484,542162046.433161
259.899993896484,542162046.474487
260.100006103516,542162046.515443
260.399993896484,542162046.556749
260.700012207031,542162046.598704
260.700012207031,542162046.639527
260.700012207031,542162046.680963
261.399993896484,542162046.721766
261.700012207031,542162046.763248
261.800018310547,542162046.804519
262.200012207031,542162046.846040
262.300018310547,542162046.887069
262.200012207031,542162046.928153
262.300018310547,542162046.969462
262.600006103516,542162047.010437
262.899993896484,542162047.051910
263.100006103516,542162047.093230
263.300018310547,542162047.134545
263.300018310547,542162047.175953
263.300018310547,542162047.216671
263.300018310547,542162047.258476
263.399993896484,542162047.299201
263.399993896484,542162047.340642
263.399993896484,542162047.381692
263.200012207031,542162047.464411
263.100006103516,542162047.464535
263.0,542162047.505843
262.600006103516,542162047.547026
262.399993896484,542162047.670744
262.300018310547,542162047.670901
262.100006103516,542162047.671305
261.800018310547,542162047.712185
261.200012207031,542162047.753235
260.899993896484,542162047.794504
260.5,542162047.835712
260.5,542162047.877124
259.899993896484,542162047.918009
259.800018310547,542162047.959169
259.5,542162048.000458
259.200012207031,542162048.041663
259.0,542162048.083248
258.899993896484,542162048.124231
258.5,542162048.165461
258.200012207031,542162048.206944
258.0,542162048.248250
257.700012207031,542162048.289295
257.5,542162048.330679
257.399993896484,542162048.371753
257.300018310547,542162048.413211
256.800018310547,542162048.454380
256.800018310547,542162048.495877
256.899993896484,542162048.537118
256.899993896484,542162048.578153
256.600006103516,542162048.619459
256.399993896484,542162048.660684
256.399993896484,542162048.702031
256.300018310547,542162048.743182
256.100006103516,542162048.784485
256.0,542162048.825701
256.100006103516,542162048.866792
255.900009155273,542162048.910028
255.900009155273,542162048.949258
255.699996948242,542162048.990676
255.600006103516,542162049.032003
255.600006103516,542162049.073311
255.800003051758,542162049.114794
256.200012207031,542162049.156005
256.300018310547,542162049.197277
256.700012207031,542162049.238087
256.800018310547,542162049.279393
257.300018310547,542162049.320406
257.700012207031,542162049.361942
257.899993896484,542162049.403119
258.5,542162049.444724
258.800018310547,542162049.485479
258.800018310547,542162049.527088
259.100006103516,542162049.568399
259.600006103516,542162049.609541
260.0,542162049.650687
260.100006103516,542162049.691876
260.300018310547,542162049.733102
260.600006103516,542162049.774398
260.600006103516,542162049.815846
261.0,542162049.857037
261.100006103516,542162049.898185
261.399993896484,542162049.939620
261.600006103516,542162049.980690
261.899993896484,542162050.021855
262.100006103516,542162050.063319
262.300018310547,542162050.104759
262.700012207031,542162050.145798
263.0,542162050.186915
263.100006103516,542162050.228109
263.300018310547,542162050.269330
263.899993896484,542162050.310824
263.899993896484,542162050.351966
263.800018310547,542162050.393275
263.800018310547,542162050.434378
264.0,542162050.475965
264.0,542162050.516909
264.0,542162050.558131
263.899993896484,542162050.599516
263.899993896484,542162050.640486
263.899993896484,542162050.682093
263.899993896484,542162050.723335
264.0,542162050.764638
264.0,542162050.805537
263.800018310547,542162050.847171
263.700012207031,542162050.888298
263.600006103516,542162050.929516
263.600006103516,542162050.970488
263.600006103516,542162051.011869
263.5,542162051.052995
263.399993896484,542162051.094425
263.300018310547,542162051.135815
262.899993896484,542162051.176836
262.700012207031,542162051.217976
262.600006103516,542162051.259504
262.399993896484,542162051.300731
262.200012207031,542162051.342022
261.899993896484,542162051.383376
261.5,542162051.424458
261.100006103516,542162051.465757
260.800018310547,542162051.506953
260.5,542162051.548205
259.800018310547,542162051.589642
259.800018310547,542162051.630737
259.399993896484,542162051.671881
259.300018310547,542162051.713242
259.0,542162051.754317
258.700012207031,542162051.795794
258.700012207031,542162051.836968
258.899993896484,542162051.878478
258.899993896484,542162051.919495
258.899993896484,542162051.960742
258.899993896484,542162052.001732
258.899993896484,542162052.043152
258.5,542162052.084168
258.5,542162052.125709
258.5,542162052.166947
258.200012207031,542162052.208126
258.200012207031,542162052.249110
258.200012207031,542162052.290735
258.200012207031,542162052.331732
258.100006103516,542162052.372973
257.700012207031,542162052.414655
257.700012207031,542162052.455950
257.700012207031,542162052.496866
257.800018310547,542162052.538210
257.800018310547,542162052.579372
257.800018310547,542162052.620538
257.700012207031,542162052.662100
257.700012207031,542162052.703209
257.600006103516,542162052.744275
257.600006103516,542162052.785699
257.5,542162052.826927
257.399993896484,542162052.867994
257.5,542162052.909428
257.5,542162052.950553
257.5,542162052.991967
257.399993896484,542162053.032861
257.399993896484,542162053.074481
257.200012207031,542162053.115485
257.200012207031,542162053.156952
257.300018310547,542162053.198203
257.300018310547,542162053.239439
257.200012207031,542162053.280761
257.100006103516,542162053.322273
257.0,542162053.363342
256.899993896484,542162053.404255
256.899993896484,542162053.445681
257.100006103516,542162053.487208
257.100006103516,542162053.528158
257.100006103516,542162053.569450
257.100006103516,542162053.610658
257.100006103516,542162053.651890
257.600006103516,542162053.693066
257.899993896484,542162053.734211
258.0,542162053.775387
258.200012207031,542162053.816846
258.800018310547,542162053.858293
259.0,542162053.899431
259.100006103516,542162053.940660
259.600006103516,542162053.982026
260.300018310547,542162054.023122
260.5,542162054.064031
260.800018310547,542162054.146837
261.5,542162054.147133
261.700012207031,542162054.187980
261.800018310547,542162054.229464
261.899993896484,542162054.270948
262.0,542162054.311779
262.200012207031,542162054.353259
262.300018310547,542162054.394387
262.600006103516,542162054.435607
262.600006103516,542162054.476690
262.5,542162054.518434
262.5,542162054.559406
263.200012207031,542162054.641976
263.600006103516,542162054.642075
263.600006103516,542162054.683050
264.0,542162054.765729
264.399993896484,542162054.765834
264.800018310547,542162054.806743
266.0,542162054.848497
266.800018310547,542162054.890010
267.899993896484,542162054.930811
268.600006103516,542162054.971955
269.100006103516,542162055.013260
270.100006103516,542162055.054429
271.0,542162055.095808
271.800018310547,542162055.137035
273.0,542162055.178468
274.0,542162055.219355
275.200012207031,542162055.260774
276.800018310547,542162055.302008
278.100006103516,542162055.343288
279.0,542162055.384465
280.200012207031,542162055.425934
281.200012207031,542162055.466954
281.399993896484,542162055.508402
281.899993896484,542162055.549499
281.899993896484,542162055.590804
281.5,542162055.632257
281.5,542162055.673319
281.399993896484,542162055.714484
281.200012207031,542162055.755729
280.899993896484,542162055.796965
280.800018310547,542162055.838589
280.300018310547,542162055.879586
280.100006103516,542162055.920758
279.800018310547,542162055.962000
279.5,542162056.002903
279.100006103516,542162056.044467
278.300018310547,542162056.085546
277.700012207031,542162056.126974
277.300018310547,542162056.168338
276.600006103516,542162056.209332
275.700012207031,542162056.250691
274.5,542162056.292207
273.300018310547,542162056.333205
272.899993896484,542162056.374517
271.600006103516,542162056.415745
270.800018310547,542162056.457271
270.0,542162056.498427
269.399993896484,542162056.539491
269.0,542162056.580808
268.300018310547,542162056.621900
268.0,542162056.663046
267.5,542162056.704479
267.0,542162056.745857
266.700012207031,542162056.786948
266.700012207031,542162056.828143
266.300018310547,542162056.910402
265.600006103516,542162056.910900
265.300018310547,542162056.952204
264.800018310547,542162056.993243
264.700012207031,542162057.034487
264.700012207031,542162057.075459
264.300018310547,542162057.116622
264.300018310547,542162057.158283
264.0,542162057.199651
263.700012207031,542162057.240709
263.700012207031,542162057.281608
263.700012207031,542162057.325139
263.600006103516,542162057.364297
263.600006103516,542162057.405598
263.600006103516,542162057.446718
263.600006103516,542162057.529699
263.5,542162057.529825
263.300018310547,542162057.570940
263.300018310547,542162057.612008
262.899993896484,542162057.653113
263.100006103516,542162057.694527
262.899993896484,542162057.735635
262.700012207031,542162057.818361
262.399993896484,542162057.818463
262.300018310547,542162057.859418
262.200012207031,542162057.900754
262.200012207031,542162057.941925
262.200012207031,542162058.024371
262.200012207031,542162058.024627
262.200012207031,542162058.065443
262.0,542162058.106980
262.0,542162058.148239
262.0,542162058.189361
262.0,542162058.230758
262.0,542162058.271976
262.0,542162058.354587
262.0,542162058.354711
261.899993896484,542162058.395618
261.800018310547,542162058.478060
261.700012207031,542162058.478389
261.700012207031,542162058.519453
261.700012207031,542162058.560701
261.700012207031,542162058.602102
261.800018310547,542162058.693695
261.700012207031,542162058.693796
261.399993896484,542162058.725792
261.399993896484,542162058.766719
261.600006103516,542162058.808271
261.700012207031,542162058.849252
261.700012207031,542162058.890657
261.800018310547,542162058.932022
261.800018310547,542162058.973037
261.800018310547,542162059.014358
261.899993896484,542162059.055778
262.100006103516,542162059.097006
262.100006103516,542162059.138353
262.100006103516,542162059.179432
262.100006103516,542162059.220890
