pF,time
260.100006103516,542162539.137042
260.300018310547,542162539.219524
260.100006103516,542162539.219670
260.100006103516,542162539.260411
260.100006103516,542162539.302437
260.100006103516,542162539.343003
260.200012207031,542162539.384426
260.200012207031,542162539.425884
260.200012207031,542162539.508681
260.100006103516,542162539.508776
259.800018310547,542162539.549584
259.700012207031,542162539.590695
259.5,542162539.632058
259.5,542162539.673158
259.5,542162539.714480
259.600006103516,542162539.755565
259.600006103516,542162539.797048
259.5,542162539.838389
259.300018310547,542162539.879429
259.300018310547,542162539.920413
259.200012207031,542162539.962041
259.100006103516,542162540.003280
259.0,542162540.044521
258.800018310547,542162540.085432
258.600006103516,542162540.126956
258.399993896484,542162540.168326
258.399993896484,542162540.209504
258.5,542162540.250696
258.700012207031,542162540.291853
258.899993896484,542162540.333106
259.600006103516,542162540.374447
260.700012207031,542162540.415664
261.300018310547,542162540.456665
261.800018310547,542162540.498438
262.5,542162540.539467
262.800018310547,542162540.580708
263.399993896484,542162540.621860
263.800018310547,542162540.663151
264.200012207031,542162540.704422
264.200012207031,542162540.745653
264.200012207031,542162540.786602
264.200012207031,542162540.828295
264.200012207031,542162540.870016
264.200012207031,542162540.910629
264.0,542162540.951791
263.899993896484,542162540.993055
263.5,542162541.034177
263.300018310547,542162541.075677
263.300018310547,542162541.116821
263.200012207031,542162541.158265
263.200012207031,542162541.199313
263.200012207031,542162541.240760
263.0,542162541.282076
262.899993896484,542162541.323369
262.800018310547,542162541.364602
262.700012207031,542162541.405905
262.700012207031,542162541.446989
262.700012207031,542162541.488079
262.5,542162541.570700
262.399993896484,542162541.570954
262.200012207031,542162541.612102
261.700012207031,542162541.653301
261.700012207031,542162541.694269
261.700012207031,542162541.735578
261.5,542162541.777197
261.399993896484,542162541.818270
261.399993896484,542162541.859275
261.200012207031,542162541.900577
260.700012207031,542162541.983221
260.700012207031,542162542.024477
260.700012207031,542162542.024593
260.100006103516,542162542.106994
260.100006103516,542162542.107110
260.100006103516,542162542.148278
259.899993896484,542162542.189230
259.700012207031,542162542.230645
259.700012207031,542162542.272155
259.700012207031,542162542.354471
259.600006103516,542162542.354562
259.600006103516,542162542.395769
259.0,542162542.478235
259.0,542162542.478317
259.0,542162542.519535
259.200012207031,542162542.560765
259.200012207031,542162542.601843
259.200012207031,542162542.643367
259.100006103516,542162542.684198
259.0,542162542.725710
259.0,542162542.766885
259.0,542162542.808787
258.700012207031,542162542.849795
258.700012207031,542162542.890735
258.600006103516,542162542.932198
258.600006103516,542162542.973350
258.600006103516,542162543.014514
258.399993896484,542162543.055596
258.600006103516,542162543.138489
258.600006103516,542162543.220728
258.700012207031,542162543.220846
258.700012207031,542162543.303328
258.5,542162543.303443
258.399993896484,542162543.344575
258.5,542162543.385602
258.600006103516,542162543.426922
258.600006103516,542162543.468595
258.600006103516,542162543.509571
258.399993896484,542162543.550767
258.399993896484,542162543.591627
258.600006103516,542162543.632968
258.899993896484,542162543.674512
259.0,542162543.715706
259.300018310547,542162543.756987
260.300018310547,542162543.798196
261.200012207031,542162543.839206
262.0,542162543.880427
262.399993896484,542162543.922232
262.600006103516,542162543.962982
263.0,542162544.004344
263.300018310547,542162544.045507
263.800018310547,542162544.087237
264.200012207031,542162544.128184
264.200012207031,542162544.169263
263.899993896484,542162544.210849
263.899993896484,542162544.251930
263.600006103516,542162544.293165
263.5,542162544.334459
263.399993896484,542162544.375512
263.0,542162544.416828
262.899993896484,542162544.458264
262.800018310547,542162544.499599
262.700012207031,542162544.540798
262.700012207031,542162544.581967
262.300018310547,542162544.623196
262.0,542162544.664572
261.899993896484,542162544.705752
261.700012207031,542162544.747073
261.700012207031,542162544.788124
261.600006103516,542162544.829581
261.600006103516,542162544.870767
261.5,542162544.953263
261.200012207031,542162544.953388
261.0,542162544.994090
260.800018310547,542162545.035569
260.5,542162545.118398
260.5,542162545.118496
260.399993896484,542162545.159362
260.100006103516,542162545.200428
259.899993896484,542162545.242047
260.100006103516,542162545.283034
259.899993896484,542162545.324532
260.100006103516,542162545.448200
259.899993896484,542162545.448298
259.899993896484,542162545.448992
259.700012207031,542162545.489769
259.399993896484,542162545.571793
259.200012207031,542162545.654435
259.200012207031,542162545.654519
258.899993896484,542162545.654958
258.899993896484,542162545.696180
258.800018310547,542162545.778494
258.800018310547,542162545.778586
258.800018310547,542162545.819257
258.600006103516,542162545.860663
258.600006103516,542162545.904912
258.399993896484,542162545.984242
258.300018310547,542162545.984599
258.100006103516,542162546.025953
258.200012207031,542162546.066646
258.100006103516,542162546.108191
258.100006103516,542162546.149522
258.100006103516,542162546.190767
257.899993896484,542162546.231887
257.899993896484,542162546.273389
257.700012207031,542162546.355776
257.399993896484,542162546.355868
257.399993896484,542162546.397203
257.399993896484,542162546.438231
257.5,542162546.479569
257.600006103516,542162546.520792
257.600006103516,542162546.562037
257.600006103516,542162546.644431
257.5,542162546.644718
257.5,542162546.685979
257.5,542162546.850751
257.800018310547,542162546.850902
258.0,542162546.851146
258.100006103516,542162546.851723
258.100006103516,542162547.057223
258.399993896484,542162547.057362
259.100006103516,542162547.057578
259.399993896484,542162547.058013
259.700012207031,542162547.098028
259.899993896484,542162547.098329
260.200012207031,542162547.180618
261.300018310547,542162547.263551
261.899993896484,542162547.263666
262.200012207031,542162547.263928
263.0,542162547.304442
263.300018310547,542162547.345795
263.899993896484,542162547.387204
264.5,542162547.428035
265.100006103516,542162547.510694
266.0,542162547.510783
266.300018310547,542162547.552121
266.600006103516,542162547.593242
267.300018310547,542162547.634424
268.0,542162547.716734
268.300018310547,542162547.717025
268.5,542162547.799559
268.800018310547,542162547.799678
269.0,542162547.840560
269.300018310547,542162547.881973
269.300018310547,542162547.923249
269.399993896484,542162548.005699
269.300018310547,542162548.005848
268.899993896484,542162548.046737
268.0,542162548.129698
267.5,542162548.129792
266.700012207031,542162548.170829
265.800018310547,542162548.253912
265.300018310547,542162548.254006
264.899993896484,542162548.294448
264.200012207031,542162548.376992
263.800018310547,542162548.377084
263.800018310547,542162548.418086
263.200012207031,542162548.459106
263.200012207031,542162548.500720
263.0,542162548.542012
262.600006103516,542162548.583217
262.200012207031,542162548.624450
261.899993896484,542162548.665814
261.899993896484,542162548.707087
261.5,542162548.748509
261.5,542162548.789690
261.300018310547,542162548.830635
261.200012207031,542162548.872053
261.200012207031,542162548.913031
260.800018310547,542162548.954533
260.700012207031,542162548.995351
260.600006103516,542162549.037062
260.399993896484,542162549.078028
260.399993896484,542162549.243277
260.399993896484,542162549.243462
260.5,542162549.243671
260.800018310547,542162549.244285
260.800018310547,542162549.284200
260.399993896484,542162549.325596
260.399993896484,542162549.367373
260.5,542162549.408295
260.5,542162549.449235
260.300018310547,542162549.490370
260.300018310547,542162549.573190
260.300018310547,542162549.573307
260.300018310547,542162549.614355
260.0,542162549.697009
260.0,542162549.697125
260.100006103516,542162549.738294
260.200012207031,542162549.779551
260.200012207031,542162549.820765
260.300018310547,542162549.862291
260.600006103516,542162549.903356
260.700012207031,542162549.944484
260.700012207031,542162549.985552
260.5,542162550.026848
260.399993896484,542162550.068573
260.399993896484,542162550.109536
260.5,542162550.150829
260.5,542162550.192228
260.5,542162550.233095
260.600006103516,542162550.274547
260.600006103516,542162550.315622
260.800018310547,542162550.398150
260.800018310547,542162550.398224
260.800018310547,542162550.480802
260.800018310547,542162550.480894
260.899993896484,542162550.521881
260.899993896484,542162550.563318
261.200012207031,542162550.687081
261.300018310547,542162550.687237
261.300018310547,542162550.687604
261.300018310547,542162550.728072
260.600006103516,542162550.769484
260.5,542162550.810753
260.5,542162550.851701
260.399993896484,542162550.892992
260.200012207031,542162550.935133
260.100006103516,542162550.975873
260.100006103516,542162551.016819
260.100006103516,542162551.058290
260.300018310547,542162551.181961
260.399993896484,542162551.182048
260.399993896484,542162551.182563
260.100006103516,542162551.223232
260.100006103516,542162551.264503
259.899993896484,542162551.305725
260.200012207031,542162551.388210
260.100006103516,542162551.388307
260.100006103516,542162551.429396
260.0,542162551.470887
260.0,542162551.511726
260.0,542162551.553254
259.800018310547,542162551.594321
259.800018310547,542162551.635681
259.800018310547,542162551.718222
