pF,time
284.5,542509939.041906
284.5,542509939.072014
284.5,542509939.113642
284.5,542509939.155109
284.5,542509939.196235
284.5,542509939.237326
284.5,542509939.278825
284.700012207031,542509939.319767
284.700012207031,542509939.361070
284.700012207031,542509939.402235
284.800018310547,542509939.443810
284.899993896484,542509939.484786
285.0,542509939.525951
285.100006103516,542509939.567625
285.200012207031,542509939.608499
285.600006103516,542509939.649972
285.700012207031,542509939.690654
285.800018310547,542509939.732285
286.300018310547,542509939.773283
286.399993896484,542509939.814768
286.399993896484,542509939.856109
286.399993896484,542509939.897475
286.700012207031,542509939.938688
286.800018310547,542509939.979554
286.800018310547,542509940.062047
287.0,542509940.062266
287.0,542509940.103723
287.0,542509940.144715
287.300018310547,542509940.185841
287.399993896484,542509940.226870
287.5,542509940.268218
287.5,542509940.309438
287.600006103516,542509940.350767
287.5,542509940.392528
287.600006103516,542509940.433515
287.600006103516,542509940.474755
287.600006103516,542509940.515749
287.600006103516,542509940.557305
287.5,542509940.598528
287.5,542509940.639781
287.399993896484,542509940.681004
287.399993896484,542509940.722025
287.300018310547,542509940.763495
287.300018310547,542509940.804655
287.300018310547,542509940.846145
287.300018310547,542509940.887260
287.200012207031,542509940.928606
287.100006103516,542509940.969749
287.0,542509941.010929
287.0,542509941.052433
287.0,542509941.093392
286.899993896484,542509941.134625
286.600006103516,542509941.175737
286.300018310547,542509941.217440
286.200012207031,542509941.258478
285.700012207031,542509941.299783
285.700012207031,542509941.340793
285.300018310547,542509941.382224
285.0,542509941.423221
284.899993896484,542509941.465185
284.399993896484,542509941.505832
284.399993896484,542509941.547188
283.800018310547,542509941.588787
283.100006103516,542509941.629640
282.899993896484,542509941.670940
282.600006103516,542509941.712355
282.100006103516,542509941.753183
281.5,542509941.794550
281.200012207031,542509941.836147
280.399993896484,542509941.877011
279.899993896484,542509941.933035
279.0,542509941.959760
278.200012207031,542509942.000549
278.0,542509942.042194
277.700012207031,542509942.083366
277.700012207031,542509942.124494
277.700012207031,542509942.165658
277.5,542509942.207741
277.399993896484,542509942.248726
277.399993896484,542509942.289742
277.399993896484,542509942.331241
277.600006103516,542509942.372342
278.0,542509942.413558
278.100006103516,542509942.454383
278.100006103516,542509942.495828
278.100006103516,542509942.537151
278.200012207031,542509942.578812
278.700012207031,542509942.620028
279.200012207031,542509942.660852
279.800018310547,542509942.702558
280.200012207031,542509942.743552
281.100006103516,542509942.784831
281.600006103516,542509942.826015
282.200012207031,542509942.867222
282.800018310547,542509942.908699
283.200012207031,542509942.949971
284.200012207031,542509942.991133
284.700012207031,542509943.032181
285.600006103516,542509943.073646
286.100006103516,542509943.114625
286.300018310547,542509943.197098
286.899993896484,542509943.238413
286.899993896484,542509943.279768
286.899993896484,542509943.321217
286.800018310547,542509943.362361
286.800018310547,542509943.403566
286.600006103516,542509943.444801
286.399993896484,542509943.485758
286.0,542509943.527024
285.899993896484,542509943.568504
285.800018310547,542509943.609820
285.600006103516,542509943.651079
285.399993896484,542509943.692451
285.300018310547,542509943.733482
285.100006103516,542509943.774830
285.100006103516,542509943.816192
285.100006103516,542509943.857013
285.100006103516,542509943.898544
285.200012207031,542509943.939689
285.200012207031,542509943.981162
285.100006103516,542509944.022354
285.0,542509944.063513
285.0,542509944.104489
285.200012207031,542509944.146391
285.399993896484,542509944.187389
285.399993896484,542509944.228640
285.300018310547,542509944.269757
285.0,542509944.311015
285.0,542509944.352258
284.800018310547,542509944.393459
284.5,542509944.434504
284.5,542509944.476060
284.300018310547,542509944.517725
284.200012207031,542509944.558636
284.200012207031,542509944.599647
283.899993896484,542509944.640992
283.899993896484,542509944.682231
283.800018310547,542509944.723204
283.800018310547,542509944.764628
283.200012207031,542509944.806015
283.200012207031,542509944.847327
283.100006103516,542509944.888739
283.0,542509944.929974
282.800018310547,542509944.970843
282.700012207031,542509945.012383
282.600006103516,542509945.053506
282.300018310547,542509945.094685
282.0,542509945.135985
281.600006103516,542509945.176961
281.0,542509945.218391
280.600006103516,542509945.259546
280.600006103516,542509945.301191
280.5,542509945.342261
280.200012207031,542509945.383742
280.200012207031,542509945.424446
279.700012207031,542509945.466098
279.700012207031,542509945.507218
280.0,542509945.548479
280.200012207031,542509945.589752
280.399993896484,542509945.630956
281.0,542509945.672342
281.5,542509945.713654
281.700012207031,542509945.795704
282.200012207031,542509945.796142
282.399993896484,542509945.837574
282.700012207031,542509945.878563
283.200012207031,542509945.919726
283.399993896484,542509946.001895
283.899993896484,542509946.002368
284.200012207031,542509946.043479
284.399993896484,542509946.084844
284.700012207031,542509946.125741
285.100006103516,542509946.167123
285.200012207031,542509946.208553
285.300018310547,542509946.249682
285.300018310547,542509946.290916
285.600006103516,542509946.332323
285.700012207031,542509946.373597
285.800018310547,542509946.414835
285.899993896484,542509946.456183
286.100006103516,542509946.497332
286.100006103516,542509946.538319
286.100006103516,542509946.579934
286.0,542509946.621083
286.0,542509946.662070
286.0,542509946.703669
285.899993896484,542509946.744762
285.899993896484,542509946.785857
285.899993896484,542509946.827241
286.100006103516,542509946.868530
285.800018310547,542509946.909691
285.700012207031,542509946.956593
285.5,542509946.992162
285.399993896484,542509947.033389
285.0,542509947.074916
284.700012207031,542509947.116043
284.5,542509947.157267
283.800018310547,542509947.198718
283.100006103516,542509947.239895
282.800018310547,542509947.281091
282.100006103516,542509947.322455
281.5,542509947.363291
281.200012207031,542509947.404987
281.100006103516,542509947.446056
280.600006103516,542509947.487259
280.399993896484,542509947.528677
280.399993896484,542509947.569812
280.300018310547,542509947.611075
280.200012207031,542509947.652312
280.0,542509947.693696
279.899993896484,542509947.734686
279.800018310547,542509947.776059
279.800018310547,542509947.817295
279.899993896484,542509947.858362
280.0,542509947.899897
280.100006103516,542509947.941021
280.100006103516,542509947.982258
280.0,542509948.023700
280.0,542509948.065035
280.0,542509948.105866
280.0,542509948.146968
280.0,542509948.188501
280.0,542509948.229715
280.0,542509948.271034
280.0,542509948.312519
279.800018310547,542509948.353553
279.700012207031,542509948.394730
279.800018310547,542509948.436032
279.700012207031,542509948.477168
279.700012207031,542509948.518496
279.700012207031,542509948.559506
279.899993896484,542509948.601010
279.899993896484,542509948.642337
280.0,542509948.683781
280.100006103516,542509948.724762
280.100006103516,542509948.765832
280.0,542509948.806968
280.0,542509948.848228
280.0,542509948.889922
280.100006103516,542509948.931002
280.200012207031,542509948.972246
280.200012207031,542509949.013448
280.399993896484,542509949.054702
280.200012207031,542509949.095990
280.399993896484,542509949.137229
280.399993896484,542509949.178475
280.399993896484,542509949.219875
280.399993896484,542509949.261019
280.600006103516,542509949.302122
280.600006103516,542509949.343574
280.600006103516,542509949.384632
280.600006103516,542509949.426003
280.399993896484,542509949.466973
280.300018310547,542509949.508554
280.300018310547,542509949.549732
280.300018310547,542509949.591206
280.300018310547,542509949.632246
280.200012207031,542509949.673295
280.200012207031,542509949.714722
280.100006103516,542509949.755956
280.100006103516,542509949.797400
280.100006103516,542509949.838582
280.300018310547,542509949.879845
280.399993896484,542509949.921008
280.399993896484,542509949.962446
280.399993896484,542509950.003189
280.200012207031,542509950.044682
280.100006103516,542509950.085986
280.100006103516,542509950.127285
280.200012207031,542509950.168213
280.300018310547,542509950.209460
280.399993896484,542509950.250684
280.399993896484,542509950.292040
280.5,542509950.333213
280.600006103516,542509950.374490
280.5,542509950.415897
280.600006103516,542509950.457246
280.300018310547,542509950.498501
280.600006103516,542509950.539442
280.5,542509950.581105
280.700012207031,542509950.622160
280.700012207031,542509950.663439
281.0,542509950.704729
281.100006103516,542509950.746013
281.200012207031,542509950.787256
281.200012207031,542509950.828605
281.300018310547,542509950.869425
281.399993896484,542509950.911447
281.5,542509950.952176
281.700012207031,542509950.993716
281.899993896484,542509951.034614
282.0,542509951.076080
