pF,time
301.5,542510009.362901
301.5,542510009.404251
301.600006103516,542510009.445463
301.700012207031,542510009.486318
301.800018310547,542510009.527788
302.200012207031,542510009.568921
302.200012207031,542510009.610552
302.200012207031,542510009.651607
302.100006103516,542510009.693208
301.800018310547,542510009.734109
301.5,542510009.775540
301.399993896484,542510009.816614
301.200012207031,542510009.857789
301.100006103516,542510009.899263
300.800018310547,542510009.940280
300.399993896484,542510009.981400
300.200012207031,542510010.022763
299.399993896484,542510010.064214
298.899993896484,542510010.105469
298.600006103516,542510010.146589
298.399993896484,542510010.187642
298.200012207031,542510010.228760
297.899993896484,542510010.270122
297.399993896484,542510010.311227
297.0,542510010.352497
296.800018310547,542510010.394048
296.200012207031,542510010.435503
295.899993896484,542510010.476798
295.700012207031,542510010.517766
295.300018310547,542510010.559112
295.0,542510010.600364
294.800018310547,542510010.641735
294.300018310547,542510010.682697
294.0,542510010.724268
293.800018310547,542510010.765498
293.5,542510010.806606
293.399993896484,542510010.847727
293.200012207031,542510010.889353
293.0,542510010.930465
292.899993896484,542510010.971578
292.899993896484,542510011.012613
293.300018310547,542510011.053846
293.300018310547,542510011.095288
293.899993896484,542510011.136555
294.800018310547,542510011.177533
295.600006103516,542510011.219058
296.0,542510011.260441
296.800018310547,542510011.301401
297.399993896484,542510011.342749
298.200012207031,542510011.383912
299.0,542510011.425218
299.899993896484,542510011.466658
300.600006103516,542510011.507734
301.5,542510011.549045
302.0,542510011.590420
302.0,542510011.631570
302.100006103516,542510011.672791
302.0,542510011.714333
302.0,542510011.755524
302.0,542510011.796650
301.899993896484,542510011.837705
302.0,542510011.879154
302.0,542510011.920378
302.200012207031,542510011.961628
302.399993896484,542510012.002595
302.5,542510012.044160
302.5,542510012.085545
302.5,542510012.126416
302.399993896484,542510012.167889
301.800018310547,542510012.209077
301.800018310547,542510012.250578
301.800018310547,542510012.291434
301.800018310547,542510012.333081
301.800018310547,542510012.374139
301.800018310547,542510012.415388
301.800018310547,542510012.456832
301.899993896484,542510012.497610
