pF,time
290.700012207031,542510141.708941
290.700012207031,542510141.709099
290.300018310547,542510141.750364
290.300018310547,542510141.791419
290.700012207031,542510141.832495
290.800018310547,542510141.873760
290.800018310547,542510141.914956
290.800018310547,542510141.956116
290.800018310547,542510141.997373
290.800018310547,542510142.038727
290.600006103516,542510142.080060
290.5,542510142.121412
290.5,542510142.162414
290.600006103516,542510142.204188
290.700012207031,542510142.245200
290.700012207031,542510142.286302
290.800018310547,542510142.327779
290.700012207031,542510142.368891
290.800018310547,542510142.410243
290.899993896484,542510142.451512
291.200012207031,542510142.492680
291.399993896484,542510142.534047
291.600006103516,542510142.575509
291.600006103516,542510142.616347
291.700012207031,542510142.657444
291.800018310547,542510142.699187
291.800018310547,542510142.740077
292.0,542510142.781528
292.0,542510142.822769
292.0,542510142.863725
292.100006103516,542510142.905006
292.0,542510142.957657
292.0,542510142.987800
292.0,542510143.029272
292.0,542510143.070274
292.0,542510143.111692
292.0,542510143.152554
292.100006103516,542510143.193793
292.0,542510143.235165
292.0,542510143.276453
291.899993896484,542510143.317861
291.899993896484,542510143.358972
291.899993896484,542510143.399983
292.5,542510143.441491
292.700012207031,542510143.482810
292.800018310547,542510143.524012
293.0,542510143.564977
293.0,542510143.606467
292.899993896484,542510143.647608
292.899993896484,542510143.688974
292.899993896484,542510143.730380
292.600006103516,542510143.771519
292.399993896484,542510143.812784
292.0,542510143.854249
291.700012207031,542510143.895283
291.300018310547,542510143.936206
291.200012207031,542510143.977756
291.100006103516,542510144.019016
291.100006103516,542510144.060247
291.300018310547,542510144.101509
291.399993896484,542510144.142484
291.399993896484,542510144.183916
291.0,542510144.225479
290.899993896484,542510144.266532
290.399993896484,542510144.307724
289.899993896484,542510144.348990
289.700012207031,542510144.390008
289.5,542510144.431355
289.399993896484,542510144.472966
289.5,542510144.514132
289.399993896484,542510144.555261
289.300018310547,542510144.596506
289.100006103516,542510144.637718
288.300018310547,542510144.678939
288.0,542510144.720216
288.0,542510144.761497
288.100006103516,542510144.802754
288.200012207031,542510144.843997
288.5,542510144.885275
288.700012207031,542510144.926451
289.600006103516,542510144.967984
290.600006103516,542510145.009069
291.100006103516,542510145.050660
291.800018310547,542510145.091251
292.700012207031,542510145.132637
293.100006103516,542510145.174000
293.700012207031,542510145.215249
293.800018310547,542510145.256515
293.899993896484,542510145.297764
294.0,542510145.339158
294.700012207031,542510145.380267
295.5,542510145.421458
296.399993896484,542510145.462979
296.800018310547,542510145.504109
297.100006103516,542510145.545353
297.300018310547,542510145.586496
297.700012207031,542510145.627956
298.0,542510145.669096
298.300018310547,542510145.710165
298.5,542510145.792722
299.100006103516,542510145.834382
300.0,542510145.875255
300.399993896484,542510145.916513
300.800018310547,542510145.957758
300.800018310547,542510145.999362
