pF,time
236.900009155273,543006650.254709
237.100006103516,543006650.295282
237.199996948242,543006650.336677
237.400009155273,543006650.377934
237.600006103516,543006650.419177
237.900009155273,543006650.460470
238.100006103516,543006650.501654
238.5,543006650.542761
238.600006103516,543006650.584059
238.699996948242,543006650.625101
238.900009155273,543006650.666790
239.300003051758,543006650.707683
239.400009155273,543006650.749225
239.400009155273,543006650.790493
239.5,543006650.831343
239.699996948242,543006650.872535
239.699996948242,543006650.914029
239.699996948242,543006650.955379
240.0,543006650.996286
240.0,543006651.037838
239.800003051758,543006651.079013
239.800003051758,543006651.120320
239.699996948242,543006651.161312
239.699996948242,543006651.202572
239.699996948242,543006651.285330
239.800003051758,543006651.285424
239.800003051758,543006651.326703
239.600006103516,543006651.367869
239.5,543006651.409139
239.600006103516,543006651.450570
239.600006103516,543006651.491620
239.600006103516,543006651.533085
239.400009155273,543006651.574297
239.400009155273,543006651.615574
239.400009155273,543006651.656706
239.199996948242,543006651.697780
239.100006103516,543006651.739325
239.0,543006651.780437
238.800003051758,543006651.821708
238.800003051758,543006651.863040
238.699996948242,543006651.904325
238.400009155273,543006651.945364
238.400009155273,543006651.986827
238.100006103516,543006652.027842
237.900009155273,543006652.069321
237.800003051758,543006652.110504
237.600006103516,543006652.151733
237.5,543006652.192651
237.400009155273,543006652.234248
237.199996948242,543006652.275328
237.0,543006652.316747
237.0,543006652.357819
236.699996948242,543006652.399247
236.699996948242,543006652.440498
236.400009155273,543006652.481736
236.300003051758,543006652.523014
236.0,543006652.564247
235.800003051758,543006652.605390
235.800003051758,543006652.646730
235.900009155273,543006652.687962
235.900009155273,543006652.729092
235.900009155273,543006652.770686
235.699996948242,543006652.811575
235.600006103516,543006652.852815
235.199996948242,543006652.894089
234.900009155273,543006652.935494
234.800003051758,543006652.976725
234.600006103516,543006653.017928
234.5,543006653.059292
234.400009155273,543006653.100481
234.400009155273,543006653.141469
234.400009155273,543006653.182961
234.400009155273,543006653.224053
234.5,543006653.265442
234.5,543006653.306758
234.100006103516,543006653.347981
234.100006103516,543006653.389271
234.400009155273,543006653.430461
234.400009155273,543006653.471697
234.400009155273,543006653.512989
234.400009155273,543006653.554031
234.400009155273,543006653.595664
234.400009155273,543006653.636777
234.400009155273,543006653.677830
234.400009155273,543006653.719033
234.0,543006653.760295
233.199996948242,543006653.801781
232.699996948242,543006653.842787
232.5,543006653.884245
232.5,543006653.925333
