pF,time
243.900009155273,543007071.718888
243.900009155273,543007071.759948
243.900009155273,543007071.801185
244.300003051758,543007071.842361
244.300003051758,543007071.883606
244.100006103516,543007071.924706
243.900009155273,543007071.966089
243.800003051758,543007072.007516
243.800003051758,543007072.048597
243.800003051758,543007072.090029
243.800003051758,543007072.130791
243.800003051758,543007072.172681
243.800003051758,543007072.213578
243.800003051758,543007072.254992
243.800003051758,543007072.295976
243.800003051758,543007072.337341
243.900009155273,543007072.378677
244.0,543007072.420021
243.900009155273,543007072.461171
243.800003051758,543007072.502550
243.800003051758,543007072.543743
243.800003051758,543007072.584989
243.800003051758,543007072.626264
243.800003051758,543007072.667040
243.900009155273,543007072.708336
243.900009155273,543007072.749818
243.900009155273,543007072.791186
243.800003051758,543007072.832051
243.800003051758,543007072.873639
243.800003051758,543007072.914954
243.600006103516,543007072.956018
243.600006103516,543007072.997391
243.5,543007073.038782
243.5,543007073.079702
243.400009155273,543007073.121275
243.400009155273,543007073.162428
243.600006103516,543007073.203901
243.699996948242,543007073.244679
243.699996948242,543007073.286243
243.699996948242,543007073.327342
243.699996948242,543007073.368467
243.800003051758,543007073.409887
243.800003051758,543007073.451355
243.699996948242,543007073.492291
243.699996948242,543007073.533664
243.699996948242,543007073.575001
243.699996948242,543007073.616308
243.699996948242,543007073.657652
243.600006103516,543007073.698495
243.600006103516,543007073.739613
243.5,543007073.822362
243.400009155273,543007073.822458
243.300003051758,543007073.863657
243.199996948242,543007073.904996
242.900009155273,543007073.946430
242.900009155273,543007073.987037
242.600006103516,543007074.028656
242.600006103516,543007074.070109
242.5,543007074.110935
242.100006103516,543007074.152625
242.0,543007074.193826
241.5,543007074.235109
241.199996948242,543007074.276011
240.5,543007074.317158
240.199996948242,543007074.359152
240.0,543007074.441140
239.600006103516,543007074.441286
239.5,543007074.482541
239.400009155273,543007074.523948
239.199996948242,543007074.564716
239.0,543007074.606151
239.0,543007074.647386
239.0,543007074.688813
238.900009155273,543007074.729689
238.900009155273,543007074.771272
238.900009155273,543007074.812527
238.699996948242,543007074.853675
238.699996948242,543007074.894872
238.699996948242,543007074.936431
238.5,543007074.977163
238.5,543007075.018622
238.5,543007075.059765
238.400009155273,543007075.100963
238.300003051758,543007075.142655
238.0,543007075.183697
238.0,543007075.225099
238.0,543007075.266101
238.0,543007075.307441
237.800003051758,543007075.348612
237.800003051758,543007075.389982
237.800003051758,543007075.431120
237.699996948242,543007075.472558
237.5,543007075.513893
237.5,543007075.555073
237.600006103516,543007075.595925
237.600006103516,543007075.637707
237.5,543007075.678692
237.300003051758,543007075.720052
237.300003051758,543007075.802569
237.400009155273,543007075.843896
237.400009155273,543007075.884832
237.400009155273,543007075.926466
237.400009155273,543007075.967176
237.5,543007076.008594
237.800003051758,543007076.049828
237.800003051758,543007076.091401
237.900009155273,543007076.132582
238.0,543007076.173581
238.100006103516,543007076.214717
238.199996948242,543007076.256091
238.400009155273,543007076.338668
238.400009155273,543007076.338763
238.5,543007076.379962
238.800003051758,543007076.421207
238.800003051758,543007076.462317
239.100006103516,543007076.544897
239.100006103516,543007076.544986
239.600006103516,543007076.586104
239.800003051758,543007076.627474
240.300003051758,543007076.668935
240.300003051758,543007076.710146
240.400009155273,543007076.750894
240.699996948242,543007076.792474
240.800003051758,543007076.833699
240.900009155273,543007076.875026
241.0,543007076.916246
241.199996948242,543007076.957808
241.400009155273,543007076.998681
241.5,543007077.039846
241.5,543007077.081202
241.800003051758,543007077.122356
241.800003051758,543007077.163694
241.800003051758,543007077.205027
241.5,543007077.245862
241.5,543007077.287807
241.5,543007077.328840
241.5,543007077.370097
241.400009155273,543007077.411357
241.400009155273,543007077.452639
241.400009155273,543007077.493710
241.400009155273,543007077.535040
241.300003051758,543007077.576069
241.300003051758,543007077.617671
241.199996948242,543007077.658990
241.199996948242,543007077.700116
241.199996948242,543007077.741408
241.300003051758,543007077.782650
241.300003051758,543007077.823829
241.199996948242,543007077.864773
241.100006103516,543007077.906107
241.100006103516,543007077.947433
241.100006103516,543007077.988315
241.100006103516,543007078.029902
241.0,543007078.071256
241.100006103516,543007078.112434
241.100006103516,543007078.153601
241.100006103516,543007078.194695
240.900009155273,543007078.236307
240.900009155273,543007078.292745
240.699996948242,543007078.318876
240.699996948242,543007078.360077
240.900009155273,543007078.401243
240.900009155273,543007078.442629
240.5,543007078.483867
240.0,543007078.525136
239.699996948242,543007078.565954
239.400009155273,543007078.607644
238.699996948242,543007078.648788
238.400009155273,543007078.690240
237.900009155273,543007078.731162
237.900009155273,543007078.772571
237.900009155273,543007078.813675
237.900009155273,543007078.854582
237.900009155273,543007078.896146
237.900009155273,543007078.937559
237.900009155273,543007078.978944
237.900009155273,543007079.020053
237.900009155273,543007079.061422
237.900009155273,543007079.102581
238.0,543007079.144640
238.199996948242,543007079.185044
238.5,543007079.226280
238.600006103516,543007079.267595
238.600006103516,543007079.308912
238.600006103516,543007079.349848
238.600006103516,543007079.391289
238.600006103516,543007079.432579
238.600006103516,543007079.473854
238.600006103516,543007079.514877
238.800003051758,543007079.597453
238.800003051758,543007079.597600
238.5,543007079.638934
238.5,543007079.679884
238.600006103516,543007079.721273
238.600006103516,543007079.762208
238.600006103516,543007079.803781
238.800003051758,543007079.844947
238.800003051758,543007079.886245
238.800003051758,543007079.927354
238.800003051758,543007079.968838
238.5,543007080.010186
238.5,543007080.051308
238.600006103516,543007080.092595
238.699996948242,543007080.133517
238.600006103516,543007080.174956
238.699996948242,543007080.216198
238.600006103516,543007080.257432
238.699996948242,543007080.298776
238.600006103516,543007080.340021
238.600006103516,543007080.381140
238.5,543007080.422555
238.400009155273,543007080.463596
238.300003051758,543007080.505108
238.300003051758,543007080.546133
238.300003051758,543007080.587685
238.400009155273,543007080.628548
238.400009155273,543007080.670063
238.300003051758,543007080.711220
238.300003051758,543007080.752426
238.400009155273,543007080.793750
238.400009155273,543007080.835013
238.400009155273,543007080.876393
238.400009155273,543007080.917682
238.400009155273,543007080.958883
238.5,543007081.000136
238.5,543007081.041221
238.400009155273,543007081.082453
238.400009155273,543007081.124067
238.400009155273,543007081.164724
238.400009155273,543007081.206446
238.300003051758,543007081.247149
238.300003051758,543007081.288722
238.300003051758,543007081.329947
238.400009155273,543007081.371413
238.400009155273,543007081.412256
238.400009155273,543007081.453853
238.400009155273,543007081.495076
238.400009155273,543007081.536289
238.400009155273,543007081.577621
238.400009155273,543007081.618853
238.400009155273,543007081.660104
238.400009155273,543007081.701350
238.400009155273,543007081.742172
238.300003051758,543007081.783802
238.300003051758,543007081.825063
238.199996948242,543007081.866337
238.199996948242,543007081.907264
238.100006103516,543007081.948785
238.0,543007081.989937
238.0,543007082.031219
238.0,543007082.072464
238.0,543007082.113697
238.0,543007082.154775
238.0,543007082.196353
238.0,543007082.237714
238.0,543007082.278579
238.0,543007082.320278
238.0,543007082.361364
237.800003051758,543007082.402387
237.800003051758,543007082.443454
237.900009155273,543007082.485279
237.900009155273,543007082.526244
237.900009155273,543007082.567430
237.900009155273,543007082.608758
237.800003051758,543007082.650083
237.800003051758,543007082.691330
237.800003051758,543007082.732551
237.699996948242,543007082.773803
237.600006103516,543007082.815140
237.600006103516,543007082.856314
237.800003051758,543007082.897488
237.800003051758,543007082.938665
237.699996948242,543007082.979906
237.699996948242,543007083.021236
237.600006103516,543007083.062414
237.699996948242,543007083.103855
237.699996948242,543007083.144921
237.800003051758,543007083.186115
237.800003051758,543007083.268931
237.900009155273,543007083.269024
237.699996948242,543007083.310081
237.800003051758,543007083.351358
237.800003051758,543007083.433905
238.0,543007083.433995
238.0,543007083.475260
238.100006103516,543007083.516313
238.400009155273,543007083.557544
238.400009155273,543007083.598648
238.400009155273,543007083.640043
238.400009155273,543007083.681180
238.5,543007083.722744
238.699996948242,543007083.763331
