pF,time
246.800003051758,543695670.827360
246.900009155273,543695670.868546
246.800003051758,543695670.909897
246.800003051758,543695670.951310
246.800003051758,543695670.992420
246.600006103516,543695671.033623
246.600006103516,543695671.074916
246.5,543695671.116171
246.100006103516,543695671.156861
245.600006103516,543695671.198672
245.300003051758,543695671.239604
245.0,543695671.281079
244.5,543695671.322575
244.199996948242,543695671.363606
244.0,543695671.404830
243.300003051758,543695671.445885
242.900009155273,543695671.487417
242.5,543695671.528564
242.199996948242,543695671.569861
241.699996948242,543695671.611130
241.699996948242,543695671.652349
241.900009155273,543695671.693461
242.100006103516,543695671.734408
242.300003051758,543695671.776169
242.300003051758,543695671.817418
242.400009155273,543695671.858677
242.5,543695671.900047
242.5,543695671.941088
242.5,543695671.981869
242.5,543695672.023643
242.5,543695672.064827
242.900009155273,543695672.105611
242.900009155273,543695672.147365
243.199996948242,543695672.188637
243.300003051758,543695672.229889
243.699996948242,543695672.271113
243.800003051758,543695672.312255
244.800003051758,543695672.353773
245.100006103516,543695672.394888
245.100006103516,543695672.436153
245.900009155273,543695672.477022
246.199996948242,543695672.518274
247.400009155273,543695672.559415
247.900009155273,543695672.600763
248.800003051758,543695672.642158
249.800003051758,543695672.683513
250.199996948242,543695672.724900
250.800003051758,543695672.807404
250.800003051758,543695672.807497
251.100006103516,543695672.889955
251.199996948242,543695672.890051
252.100006103516,543695672.931064
252.699996948242,543695672.972328
253.199996948242,543695673.013462
254.100006103516,543695673.054484
254.199996948242,543695673.095568
254.800003051758,543695673.136846
255.300003051758,543695673.181643
255.5,543695673.219397
256.100006103516,543695673.260679
256.300018310547,543695673.301946
256.5,543695673.343529
256.5,543695673.426224
256.5,543695673.426385
256.399993896484,543695673.467392
256.399993896484,543695673.508219
256.399993896484,543695673.549811
256.399993896484,543695673.591043
256.399993896484,543695673.632083
256.100006103516,543695673.673608
255.600006103516,543695673.715019
255.400009155273,543695673.756029
255.300003051758,543695673.797273
255.199996948242,543695673.838657
255.100006103516,543695673.879904
254.800003051758,543695673.920973
254.600006103516,543695673.962366
254.5,543695674.003577
254.400009155273,543695674.044752
254.300003051758,543695674.086030
253.800003051758,543695674.127450
253.600006103516,543695674.168531
253.5,543695674.209775
253.600006103516,543695674.251067
253.5,543695674.292144
253.300003051758,543695674.333520
253.300003051758,543695674.374810
253.300003051758,543695674.416008
253.300003051758,543695674.457264
253.199996948242,543695674.498259
253.0,543695674.539350
253.0,543695674.580596
253.0,543695674.621887
253.0,543695674.663683
252.900009155273,543695674.704837
252.900009155273,543695674.746329
252.600006103516,543695674.787313
252.699996948242,543695674.828625
252.5,543695674.869381
252.600006103516,543695674.911160
252.5,543695674.993759
252.300003051758,543695675.034915
252.100006103516,543695675.075881
252.100006103516,543695675.117426
252.0,543695675.158718
252.100006103516,543695675.199946
252.100006103516,543695675.241162
252.100006103516,543695675.282068
252.100006103516,543695675.323627
252.100006103516,543695675.364804
252.100006103516,543695675.405787
252.0,543695675.447453
251.900009155273,543695675.488436
251.900009155273,543695675.529822
251.900009155273,543695675.571177
