pF,time
240.300003051758,546274382.672029
239.300003051758,546274382.702176
239.100006103516,546274382.731939
238.800003051758,546274382.762118
238.600006103516,546274382.792236
238.600006103516,546274382.822361
238.600006103516,546274382.852213
238.800003051758,546274382.882225
239.100006103516,546274382.912163
240.0,546274382.942046
240.600006103516,546274382.972225
241.300003051758,546274383.002162
242.199996948242,546274383.032128
243.5,546274383.062209
244.900009155273,546274383.092579
246.300003051758,546274383.122155
247.400009155273,546274383.152239
248.900009155273,546274383.182121
250.199996948242,546274383.212196
251.800003051758,546274383.242098
251.800003051758,546274383.272135
251.5,546274383.301809
248.600006103516,546274383.332165
248.0,546274383.362250
248.0,546274383.392215
248.199996948242,546274383.422263
248.400009155273,546274383.467183
249.400009155273,546274383.482338
249.5,546274383.512210
249.5,546274383.542333
249.699996948242,546274383.572197
249.800003051758,546274383.617141
250.0,546274383.631717
250.199996948242,546274383.662101
251.199996948242,546274383.692197
252.5,546274383.722190
253.900009155273,546274383.752328
255.199996948242,546274383.782104
256.399993896484,546274383.812107
257.399993896484,546274383.842120
257.399993896484,546274383.871913
257.200012207031,546274383.902197
256.5,546274383.931981
256.100006103516,546274383.962207
255.900009155273,546274383.992216
255.900009155273,546274384.022122
256.200012207031,546274384.052282
256.600006103516,546274384.082117
256.600006103516,546274384.112201
256.5,546274384.142192
255.300003051758,546274384.172067
253.199996948242,546274384.202100
249.800003051758,546274384.232174
247.199996948242,546274384.262045
246.600006103516,546274384.307157
246.400009155273,546274384.322124
246.400009155273,546274384.351999
245.900009155273,546274384.382074
245.900009155273,546274384.412087
246.600006103516,546274384.442103
246.800003051758,546274384.472139
247.400009155273,546274384.502069
247.5,546274384.532187
247.800003051758,546274384.562136
247.900009155273,546274384.592170
248.100006103516,546274384.622184
248.100006103516,546274384.652200
248.100006103516,546274384.681963
247.900009155273,546274384.712180
247.100006103516,546274384.741727
246.5,546274384.772138
245.5,546274384.802168
244.0,546274384.832033
242.600006103516,546274384.861954
242.0,546274384.892126
241.5,546274384.922146
240.800003051758,546274384.952010
240.5,546274384.982224
240.300003051758,546274385.012066
240.199996948242,546274385.042095
240.199996948242,546274385.072098
240.300003051758,546274385.102148
240.600006103516,546274385.132153
240.699996948242,546274385.162155
240.699996948242,546274385.192160
240.699996948242,546274385.222127
240.900009155273,546274385.252101
240.900009155273,546274385.282290
241.199996948242,546274385.312263
241.300003051758,546274385.342142
241.300003051758,546274385.372054
241.300003051758,546274385.402042
241.600006103516,546274385.432036
241.800003051758,546274385.462354
242.100006103516,546274385.492144
242.300003051758,546274385.522136
242.300003051758,546274385.552151
242.400009155273,546274385.582043
242.300003051758,546274385.612180
242.5,546274385.642274
242.900009155273,546274385.671960
243.400009155273,546274385.702137
243.900009155273,546274385.732261
243.900009155273,546274385.761971
244.0,546274385.791983
243.900009155273,546274385.822132
244.0,546274385.852262
244.0,546274385.881878
244.0,546274385.911902
244.0,546274385.942010
244.0,546274385.972125
244.100006103516,546274386.001961
244.5,546274386.032177
244.600006103516,546274386.062170
245.0,546274386.091912
245.5,546274386.122341
246.0,546274386.151817
246.900009155273,546274386.182246
247.699996948242,546274386.212177
248.400009155273,546274386.242064
249.199996948242,546274386.272150
250.199996948242,546274386.302260
250.5,546274386.332256
251.5,546274386.362237
252.300003051758,546274386.392245
252.900009155273,546274386.422157
253.800003051758,546274386.452168
254.800003051758,546274386.482160
255.699996948242,546274386.512002
256.5,546274386.542147
257.700012207031,546274386.572147
258.700012207031,546274386.602149
260.200012207031,546274386.632161
260.800018310547,546274386.661924
262.200012207031,546274386.692182
263.300018310547,546274386.722185
264.700012207031,546274386.752219
265.800018310547,546274386.782247
266.700012207031,546274386.812142
267.399993896484,546274386.842153
268.399993896484,546274386.872030
268.800018310547,546274386.901983
269.600006103516,546274386.932234
270.200012207031,546274386.962224
270.300018310547,546274386.992151
270.700012207031,546274387.022216
271.399993896484,546274387.052199
271.899993896484,546274387.082103
273.100006103516,546274387.112015
273.899993896484,546274387.142093
275.100006103516,546274387.172101
276.200012207031,546274387.202117
277.200012207031,546274387.231817
277.800018310547,546274387.262200
278.100006103516,546274387.292136
279.100006103516,546274387.348539
280.399993896484,546274387.389648
282.100006103516,546274387.430948
282.100006103516,546274387.472197
281.899993896484,546274387.513456
281.0,546274387.554492
279.800018310547,546274387.595983
278.600006103516,546274387.636926
277.700012207031,546274387.678474
276.899993896484,546274387.719614
275.700012207031,546274387.760707
271.5,546274387.802207
267.399993896484,546274387.843439
264.800018310547,546274387.884381
261.100006103516,546274387.925937
258.800018310547,546274387.967199
257.800018310547,546274388.008400
257.700012207031,546274388.049588
257.399993896484,546274388.090877
257.700012207031,546274388.132220
257.800018310547,546274388.173310
258.300018310547,546274388.214725
259.0,546274388.255874
259.200012207031,546274388.297151
259.200012207031,546274388.338199
258.899993896484,546274388.379695
258.0,546274388.421059
256.899993896484,546274388.461955
254.800003051758,546274388.503344
254.100006103516,546274388.544655
253.600006103516,546274388.586172
253.600006103516,546274388.627178
253.600006103516,546274388.668284
253.600006103516,546274388.709425
253.600006103516,546274388.751072
253.900009155273,546274388.791857
253.900009155273,546274388.833530
253.800003051758,546274388.874805
253.400009155273,546274388.915940
253.100006103516,546274388.997988
253.100006103516,546274388.998345
253.100006103516,546274389.039427
252.400009155273,546274389.080974
252.0,546274389.163462
250.5,546274389.163563
249.600006103516,546274389.204954
248.900009155273,546274389.245935
248.600006103516,546274389.287202
248.600006103516,546274389.328369
248.600006103516,546274389.369553
248.600006103516,546274389.410908
248.600006103516,546274389.452045
248.5,546274389.493418
248.600006103516,546274389.534764
248.600006103516,546274389.576024
248.600006103516,546274389.617075
248.400009155273,546274389.658334
248.400009155273,546274389.699644
249.0,546274389.740988
249.0,546274389.782136
249.0,546274389.823205
249.0,546274389.864670
249.199996948242,546274389.905901
249.199996948242,546274389.947225
249.199996948242,546274389.988469
249.400009155273,546274390.029714
249.400009155273,546274390.070902
249.400009155273,546274390.112256
249.600006103516,546274390.153593
249.699996948242,546274390.194737
249.699996948242,546274390.236002
249.900009155273,546274390.277255
249.900009155273,546274390.318479
250.0,546274390.359725
250.100006103516,546274390.400973
250.199996948242,546274390.442193
250.5,546274390.483470
250.300003051758,546274390.524730
250.300003051758,546274390.565878
250.199996948242,546274390.607136
250.199996948242,546274390.648472
250.199996948242,546274390.689674
250.300003051758,546274390.730996
250.300003051758,546274390.772234
250.300003051758,546274390.812904
250.400009155273,546274390.854639
250.5,546274390.895861
250.600006103516,546274390.937098
250.800003051758,546274390.978449
250.800003051758,546274391.019772
250.800003051758,546274391.060955
250.800003051758,546274391.102235
250.800003051758,546274391.143175
250.600006103516,546274391.184704
250.5,546274391.225489
250.199996948242,546274391.267221
250.199996948242,546274391.308271
250.100006103516,546274391.349637
250.100006103516,546274391.390942
250.100006103516,546274391.432212
250.100006103516,546274391.473429
250.100006103516,546274391.514620
250.100006103516,546274391.555869
250.0,546274391.597191
250.0,546274391.638594
250.0,546274391.679591
250.0,546274391.720945
250.0,546274391.762125
250.0,546274391.803442
249.900009155273,546274391.844597
249.800003051758,546274391.885775
249.800003051758,546274391.927162
249.699996948242,546274391.968362
249.699996948242,546274392.009687
249.699996948242,546274392.050942
250.0,546274392.092157
250.0,546274392.133285
250.0,546274392.174671
