pF,time
261.700012207031,542162690.385036
261.700012207031,542162690.426048
261.700012207031,542162690.467549
261.5,542162690.549659
261.800018310547,542162690.549895
261.5,542162690.591097
261.700012207031,542162690.632341
261.5,542162690.673630
261.5,542162690.714952
261.5,542162690.797412
261.399993896484,542162690.797565
261.399993896484,542162690.838962
261.300018310547,542162690.880327
261.300018310547,542162690.921465
261.300018310547,542162691.003891
261.399993896484,542162691.004006
261.399993896484,542162691.086144
261.399993896484,542162691.086629
261.300018310547,542162691.127270
261.399993896484,542162691.168470
261.300018310547,542162691.210013
261.399993896484,542162691.251451
261.300018310547,542162691.292460
261.399993896484,542162691.375000
261.399993896484,542162691.375091
261.399993896484,542162691.416106
261.5,542162691.457019
261.200012207031,542162691.498795
261.200012207031,542162691.539776
261.200012207031,542162691.581460
261.300018310547,542162691.622517
261.300018310547,542162691.663658
261.300018310547,542162691.704819
261.399993896484,542162691.746189
261.399993896484,542162691.787628
261.399993896484,542162691.828849
261.5,542162691.952326
261.5,542162691.952491
261.399993896484,542162691.952974
261.399993896484,542162691.996543
261.300018310547,542162692.035237
261.300018310547,542162692.075942
261.800018310547,542162692.158353
261.800018310547,542162692.199784
261.700012207031,542162692.200045
261.5,542162692.241265
261.399993896484,542162692.282948
261.399993896484,542162692.323730
261.399993896484,542162692.365320
261.399993896484,542162692.406299
261.300018310547,542162692.447543
261.200012207031,542162692.488393
260.899993896484,542162692.530179
261.0,542162692.571236
261.0,542162692.612512
261.0,542162692.653744
260.899993896484,542162692.694959
260.899993896484,542162692.736261
260.899993896484,542162692.818701
261.0,542162692.818791
260.899993896484,542162692.859816
261.0,542162692.901260
260.700012207031,542162692.942271
260.700012207031,542162692.983495
260.700012207031,542162693.024730
260.399993896484,542162693.066207
260.399993896484,542162693.107226
260.300018310547,542162693.148788
260.300018310547,542162693.189981
260.200012207031,542162693.231237
260.200012207031,542162693.272489
260.100006103516,542162693.313894
260.100006103516,542162693.354999
260.100006103516,542162693.396509
259.899993896484,542162693.437372
259.899993896484,542162693.478635
259.899993896484,542162693.519654
260.100006103516,542162693.561223
260.200012207031,542162693.602477
260.399993896484,542162693.643522
260.5,542162693.684770
261.0,542162693.726073
261.100006103516,542162693.767415
261.899993896484,542162693.808760
262.100006103516,542162693.849756
262.700012207031,542162693.891171
262.800018310547,542162693.932691
263.5,542162693.973716
264.399993896484,542162694.014820
265.0,542162694.056047
265.5,542162694.097508
265.600006103516,542162694.138689
266.800018310547,542162694.180072
267.399993896484,542162694.221656
268.200012207031,542162694.262598
268.800018310547,542162694.303964
269.399993896484,542162694.345112
270.200012207031,542162694.386429
270.399993896484,542162694.427443
271.700012207031,542162694.510154
272.200012207031,542162694.550890
273.700012207031,542162694.592419
274.200012207031,542162694.633662
275.300018310547,542162694.674956
276.0,542162694.716166
276.5,542162694.757349
276.5,542162694.798710
276.0,542162694.839751
276.0,542162694.881287
274.899993896484,542162694.922731
274.700012207031,542162694.963483
274.0,542162695.046065
272.899993896484,542162695.046421
271.899993896484,542162695.087194
270.5,542162695.128449
270.200012207031,542162695.170058
269.600006103516,542162695.211306
269.100006103516,542162695.252656
268.600006103516,542162695.293692
268.0,542162695.335048
267.200012207031,542162695.376174
266.700012207031,542162695.417535
266.300018310547,542162695.458627
265.800018310547,542162695.499853
265.200012207031,542162695.540900
264.700012207031,542162695.582280
264.399993896484,542162695.623502
263.899993896484,542162695.664931
263.300018310547,542162695.706369
263.200012207031,542162695.789098
262.899993896484,542162695.789218
262.399993896484,542162695.830042
262.200012207031,542162695.871293
261.899993896484,542162695.953741
261.700012207031,542162695.953836
261.5,542162695.994964
261.399993896484,542162696.036304
261.399993896484,542162696.077529
261.200012207031,542162696.119048
261.100006103516,542162696.160061
260.800018310547,542162696.201286
260.700012207031,542162696.242491
260.5,542162696.324947
260.5,542162696.325028
260.5,542162696.407785
260.600006103516,542162696.407887
260.600006103516,542162696.448880
260.700012207031,542162696.489908
260.700012207031,542162696.531373
260.700012207031,542162696.613447
260.800018310547,542162696.655119
260.800018310547,542162696.655216
261.200012207031,542162696.696754
261.5,542162696.737280
262.399993896484,542162696.778764
262.800018310547,542162696.820004
263.100006103516,542162696.861279
264.200012207031,542162696.902691
264.800018310547,542162696.984591
265.5,542162696.985016
266.200012207031,542162697.026133
267.0,542162697.067184
267.800018310547,542162697.108804
268.700012207031,542162697.150209
269.5,542162697.191246
270.100006103516,542162697.232517
270.600006103516,542162697.273712
271.300018310547,542162697.314985
272.100006103516,542162697.356232
272.899993896484,542162697.397220
272.899993896484,542162697.438816
274.100006103516,542162697.480058
274.600006103516,542162697.521205
275.200012207031,542162697.562698
275.600006103516,542162697.727140
275.800018310547,542162697.727611
276.399993896484,542162697.768736
276.600006103516,542162697.768827
276.800018310547,542162697.769414
277.0,542162697.809989
277.0,542162697.892361
277.300018310547,542162697.892691
277.300018310547,542162697.933803
276.800018310547,542162697.974757
276.700012207031,542162698.016153
276.399993896484,542162698.057450
276.0,542162698.140032
275.899993896484,542162698.140150
275.899993896484,542162698.181089
275.100006103516,542162698.222384
275.100006103516,542162698.263802
274.300018310547,542162698.305425
273.800018310547,542162698.346213
273.300018310547,542162698.387582
273.0,542162698.428721
272.300018310547,542162698.470145
271.5,542162698.511328
271.300018310547,542162698.593885
270.800018310547,542162698.593984
270.100006103516,542162698.635002
269.200012207031,542162698.676224
268.399993896484,542162698.717437
268.0,542162698.758661
267.600006103516,542162698.800095
267.600006103516,542162698.840924
267.100006103516,542162698.882445
266.800018310547,542162698.923600
266.5,542162698.964797
266.0,542162699.006201
265.899993896484,542162699.047443
265.700012207031,542162699.088666
265.399993896484,542162699.129828
265.100006103516,542162699.170952
264.800018310547,542162699.212451
264.600006103516,542162699.253693
264.399993896484,542162699.294948
263.899993896484,542162699.336142
263.700012207031,542162699.377619
263.600006103516,542162699.418927
263.600006103516,542162699.459885
263.300018310547,542162699.500994
263.300018310547,542162699.542437
263.0,542162699.583647
263.0,542162699.624797
262.700012207031,542162699.666396
262.899993896484,542162699.707311
262.700012207031,542162699.790021
262.899993896484,542162699.790111
262.700012207031,542162699.831359
262.600006103516,542162699.872500
262.600006103516,542162699.913702
