pF,time
282.600006103516,542767097.141511
282.300018310547,542767097.180078
282.200012207031,542767097.225206
282.0,542767097.270156
281.800018310547,542767097.315222
281.700012207031,542767097.360077
281.399993896484,542767097.450051
281.0,542767097.450164
280.800018310547,542767097.495261
280.700012207031,542767097.540121
280.5,542767097.585038
280.700012207031,542767097.675306
280.899993896484,542767097.675399
281.0,542767097.720180
281.100006103516,542767097.765264
281.800018310547,542767097.810189
282.100006103516,542767097.855189
282.100006103516,542767097.900181
282.100006103516,542767097.990052
281.800018310547,542767097.990170
281.800018310547,542767098.035228
282.0,542767098.080418
282.600006103516,542767098.125143
283.700012207031,542767098.170170
285.200012207031,542767098.215183
286.100006103516,542767098.260152
286.700012207031,542767098.305155
287.200012207031,542767098.350371
287.300018310547,542767098.394689
287.300018310547,542767098.439918
287.5,542767098.485219
287.899993896484,542767098.530200
288.600006103516,542767098.574995
288.800018310547,542767098.620079
289.0,542767098.665169
289.0,542767098.710005
289.100006103516,542767098.800058
289.100006103516,542767098.800175
288.700012207031,542767098.845163
288.700012207031,542767098.890276
288.800018310547,542767098.935159
289.0,542767098.980219
289.399993896484,542767099.024861
289.399993896484,542767099.070019
289.800018310547,542767099.115139
289.899993896484,542767099.159683
290.0,542767099.204948
289.899993896484,542767099.250419
289.899993896484,542767099.294852
289.100006103516,542767099.339640
288.600006103516,542767099.385160
287.899993896484,542767099.430213
287.5,542767099.474962
287.0,542767099.565239
286.800018310547,542767099.565334
286.399993896484,542767099.610175
286.0,542767099.655173
285.600006103516,542767099.700117
285.300018310547,542767099.745114
284.800018310547,542767099.790192
284.200012207031,542767099.835054
283.700012207031,542767099.879663
283.5,542767099.924968
283.399993896484,542767099.969963
283.0,542767100.149942
282.399993896484,542767100.152086
282.0,542767100.152205
281.700012207031,542767100.195158
281.100006103516,542767100.195250
280.600006103516,542767100.284831
280.600006103516,542767100.285192
280.600006103516,542767100.330082
280.600006103516,542767100.375084
280.300018310547,542767100.420064
280.100006103516,542767100.510176
280.0,542767100.510276
279.800018310547,542767100.554985
279.399993896484,542767100.690183
279.399993896484,542767100.690282
279.200012207031,542767100.780253
278.600006103516,542767100.780384
278.200012207031,542767100.780529
277.899993896484,542767100.825316
277.600006103516,542767100.915046
277.600006103516,542767100.915150
277.5,542767100.960179
277.300018310547,542767101.005101
277.200012207031,542767101.050091
277.0,542767101.095064
276.899993896484,542767101.140094
276.899993896484,542767101.185217
276.800018310547,542767101.229794
276.300018310547,542767101.365173
276.100006103516,542767101.365358
276.100006103516,542767101.365646
276.100006103516,542767101.410231
275.5,542767101.454807
275.399993896484,542767101.499913
275.200012207031,542767101.545069
274.800018310547,542767101.590096
274.800018310547,542767101.635201
274.600006103516,542767101.680072
274.399993896484,542767101.725102
274.300018310547,542767101.770272
274.300018310547,542767101.815201
274.300018310547,542767101.860185
274.300018310547,542767101.904981
274.300018310547,542767101.950177
274.399993896484,542767101.994930
274.5,542767102.040253
274.5,542767102.085032
274.800018310547,542767102.174992
274.899993896484,542767102.175079
275.300018310547,542767102.220128
275.300018310547,542767102.265190
275.700012207031,542767102.310231
276.100006103516,542767102.355211
276.5,542767102.400149
277.0,542767102.444841
277.100006103516,542767102.490143
277.5,542767102.535102
277.700012207031,542767102.580004
278.300018310547,542767102.625163
278.5,542767102.670243
278.700012207031,542767102.715170
278.899993896484,542767102.760237
279.200012207031,542767102.805218
279.200012207031,542767102.850179
279.200012207031,542767102.895234
279.600006103516,542767102.940177
279.600006103516,542767102.985146
280.200012207031,542767103.030172
280.899993896484,542767103.074989
281.800018310547,542767103.119682
282.300018310547,542767103.165159
282.5,542767103.210257
282.800018310547,542767103.254821
283.200012207031,542767103.300161
283.5,542767103.434633
284.399993896484,542767103.434922
284.700012207031,542767103.435488
284.700012207031,542767103.480183
284.899993896484,542767103.525343
285.200012207031,542767103.569774
285.399993896484,542767103.660226
285.800018310547,542767103.660345
286.700012207031,542767103.705114
287.0,542767103.750136
287.5,542767103.795135
287.600006103516,542767103.840145
287.600006103516,542767103.885133
287.800018310547,542767103.930150
288.200012207031,542767103.975146
288.5,542767104.020211
288.899993896484,542767104.065139
288.899993896484,542767104.110308
288.899993896484,542767104.155116
288.600006103516,542767104.200114
288.5,542767104.245091
288.5,542767104.290144
288.600006103516,542767104.380166
288.600006103516,542767104.380268
288.600006103516,542767104.425253
288.600006103516,542767104.514940
288.700012207031,542767104.515035
288.899993896484,542767104.605154
288.899993896484,542767104.605271
288.899993896484,542767104.650223
288.800018310547,542767104.694848
288.800018310547,542767104.740311
288.700012207031,542767104.785241
288.200012207031,542767104.830317
287.800018310547,542767104.875252
287.200012207031,542767104.919818
286.899993896484,542767104.965243
286.399993896484,542767105.055188
286.200012207031,542767105.055324
285.800018310547,542767105.100228
285.600006103516,542767105.145343
285.399993896484,542767105.190301
285.300018310547,542767105.235044
285.300018310547,542767105.279747
285.0,542767105.325000
284.899993896484,542767105.370185
284.700012207031,542767105.415213
284.200012207031,542767105.459993
283.600006103516,542767105.504911
282.899993896484,542767105.549759
282.5,542767105.640127
282.100006103516,542767105.640222
281.700012207031,542767105.685060
281.200012207031,542767105.730207
280.800018310547,542767105.775063
280.600006103516,542767105.865117
280.200012207031,542767105.865212
280.0,542767105.910217
279.899993896484,542767105.955191
279.700012207031,542767105.999682
279.700012207031,542767106.045009
279.200012207031,542767106.090212
279.100006103516,542767106.135204
279.100006103516,542767106.180287
278.700012207031,542767106.225051
278.600006103516,542767106.270276
278.200012207031,542767106.360202
278.0,542767106.360301
278.0,542767106.450181
277.899993896484,542767106.450304
277.700012207031,542767106.540062
277.300018310547,542767106.540153
277.300018310547,542767106.585267
277.300018310547,542767106.630196
277.300018310547,542767106.675309
277.200012207031,542767106.720134
277.0,542767106.765251
277.0,542767106.810243
276.899993896484,542767106.990390
276.899993896484,542767106.990510
276.399993896484,542767106.990689
276.399993896484,542767106.990996
276.100006103516,542767107.035192
275.899993896484,542767107.080017
275.899993896484,542767107.125239
276.0,542767107.170196
276.0,542767107.215225
276.200012207031,542767107.260243
276.200012207031,542767107.350120
276.300018310547,542767107.350214
276.5,542767107.395226
276.600006103516,542767107.439841
277.200012207031,542767107.485235
277.300018310547,542767107.530072
277.300018310547,542767107.574999
277.600006103516,542767107.620252
277.899993896484,542767107.664923
278.600006103516,542767107.709738
278.800018310547,542767107.755234
279.0,542767107.800137
279.399993896484,542767107.845141
280.0,542767107.890115
280.600006103516,542767107.934989
281.200012207031,542767107.979741
281.700012207031,542767108.025107
282.0,542767108.069992
282.800018310547,542767108.114938
283.200012207031,542767108.159683
283.5,542767108.204937
284.100006103516,542767108.250278
284.600006103516,542767108.295157
284.899993896484,542767108.385301
285.100006103516,542767108.385448
285.399993896484,542767108.429977
285.700012207031,542767108.475211
285.800018310547,542767108.519984
286.100006103516,542767108.564957
286.700012207031,542767108.610197
287.0,542767108.655116
287.399993896484,542767108.699946
287.5,542767108.745099
287.700012207031,542767108.789861
287.800018310547,542767108.834955
288.200012207031,542767108.880200
288.300018310547,542767108.925368
288.300018310547,542767109.014809
288.300018310547,542767109.015081
288.200012207031,542767109.060068
288.300018310547,542767109.104899
288.0,542767109.150049
288.100006103516,542767109.240058
288.100006103516,542767109.240150
288.100006103516,542767109.285037
288.399993896484,542767109.329585
288.600006103516,542767109.375191
288.700012207031,542767109.465187
288.899993896484,542767109.465281
288.700012207031,542767109.510105
288.899993896484,542767109.555174
288.800018310547,542767109.690135
288.899993896484,542767109.735302
288.800018310547,542767109.735432
288.5,542767109.735602
288.100006103516,542767109.780300
288.100006103516,542767109.870308
288.300018310547,542767109.870411
288.300018310547,542767109.915112
288.200012207031,542767109.960296
288.200012207031,542767110.005051
288.399993896484,542767110.050268
288.700012207031,542767110.095245
288.899993896484,542767110.140280
289.100006103516,542767110.185235
289.200012207031,542767110.230278
289.399993896484,542767110.275424
289.700012207031,542767110.320190
289.800018310547,542767110.365312
289.899993896484,542767110.410201
290.399993896484,542767110.455031
290.5,542767110.500296
290.600006103516,542767110.545269
290.899993896484,542767110.590219
291.100006103516,542767110.635071
291.300018310547,542767110.680246
291.300018310547,542767110.725265
291.399993896484,542767110.770268
291.700012207031,542767110.815223
291.800018310547,542767110.860179
291.899993896484,542767110.905201
292.200012207031,542767110.950214
292.5,542767110.994840
292.600006103516,542767111.130313
292.899993896484,542767111.130437
293.300018310547,542767111.130539
293.399993896484,542767111.175346
293.800018310547,542767111.220172
293.800018310547,542767111.265206
293.800018310547,542767111.310158
293.600006103516,542767111.354767
293.5,542767111.400234
293.5,542767111.444843
292.899993896484,542767111.535225
292.800018310547,542767111.535375
292.700012207031,542767111.580004
292.100006103516,542767111.625247
291.899993896484,542767111.805317
291.600006103516,542767111.805436
291.300018310547,542767111.805573
290.800018310547,542767111.805962
290.700012207031,542767111.850252
289.800018310547,542767111.895234
289.5,542767111.940215
289.100006103516,542767111.985148
288.700012207031,542767112.030142
288.5,542767112.075117
288.300018310547,542767112.120432
287.800018310547,542767112.164891
287.5,542767112.209863
287.200012207031,542767112.255033
286.600006103516,542767112.300214
285.899993896484,542767112.345165
285.300018310547,542767112.390188
285.0,542767112.435202
284.399993896484,542767112.479746
283.5,542767112.525225
283.300018310547,542767112.570106
282.300018310547,542767112.615112
281.600006103516,542767112.660202
280.899993896484,542767112.705030
279.899993896484,542767112.749926
279.0,542767112.795184
277.600006103516,542767112.840187
276.899993896484,542767112.930198
275.600006103516,542767112.930290
274.100006103516,542767112.975234
273.5,542767113.019724
272.600006103516,542767113.065213
272.0,542767113.110262
271.200012207031,542767113.200185
270.5,542767113.200300
270.300018310547,542767113.245140
269.600006103516,542767113.425365
268.899993896484,542767113.425502
268.200012207031,542767113.425585
268.100006103516,542767113.426205
267.399993896484,542767113.470141
266.100006103516,542767113.515149
265.800018310547,542767113.560401
265.5,542767113.604952
264.399993896484,542767113.650142
264.100006103516,542767113.695262
263.5,542767113.740247
263.200012207031,542767113.785238
263.200012207031,542767113.830258
263.300018310547,542767113.875307
263.300018310547,542767113.920306
262.600006103516,542767113.965096
262.5,542767114.010332
262.600006103516,542767114.055325
263.0,542767114.100275
263.399993896484,542767114.145256
263.800018310547,542767114.190221
264.899993896484,542767114.235265
265.700012207031,542767114.280267
266.100006103516,542767114.325219
267.200012207031,542767114.370302
267.600006103516,542767114.415302
