pF,time
252.900009155273,542767547.356325
252.5,542767547.401415
251.900009155273,542767547.446050
251.800003051758,542767547.491347
251.300003051758,542767547.536343
250.900009155273,542767547.581373
250.699996948242,542767547.626324
250.400009155273,542767547.671211
250.100006103516,542767547.715921
249.800003051758,542767547.760932
249.5,542767547.806214
249.400009155273,542767547.851452
249.300003051758,542767547.896695
249.199996948242,542767547.941335
249.0,542767547.986134
249.0,542767548.031225
248.800003051758,542767548.076402
248.800003051758,542767548.211220
248.5,542767548.211386
248.5,542767548.211718
248.5,542767548.256359
248.5,542767548.301130
248.699996948242,542767548.346186
248.699996948242,542767548.436320
248.800003051758,542767548.436446
248.800003051758,542767548.526402
248.900009155273,542767548.526508
248.699996948242,542767548.571298
248.900009155273,542767548.616311
248.800003051758,542767548.661368
248.900009155273,542767548.706300
248.900009155273,542767548.751338
249.0,542767548.796326
248.900009155273,542767548.886353
248.900009155273,542767548.886446
248.900009155273,542767548.931511
248.900009155273,542767548.976540
248.900009155273,542767549.021296
248.900009155273,542767549.156455
248.900009155273,542767549.156556
248.900009155273,542767549.156823
248.800003051758,542767549.201306
248.5,542767549.246290
248.5,542767549.291390
248.5,542767549.336351
248.5,542767549.426334
248.400009155273,542767549.426429
248.300003051758,542767549.471407
248.300003051758,542767549.561317
248.600006103516,542767549.561412
248.600006103516,542767549.606382
248.400009155273,542767549.651370
248.300003051758,542767549.696281
248.300003051758,542767549.741278
248.300003051758,542767549.785786
248.199996948242,542767549.831286
248.199996948242,542767549.876266
248.199996948242,542767549.921484
248.0,542767549.966431
248.100006103516,542767550.011361
248.0,542767550.056399
248.100006103516,542767550.101344
248.0,542767550.146226
247.600006103516,542767550.191399
247.5,542767550.236396
247.5,542767550.281386
247.699996948242,542767550.326121
247.800003051758,542767550.371443
247.699996948242,542767550.416574
247.900009155273,542767550.460987
247.900009155273,542767550.506248
248.199996948242,542767550.551391
248.699996948242,542767550.596474
249.0,542767550.641470
249.199996948242,542767550.686034
249.199996948242,542767550.731357
249.0,542767550.776382
249.0,542767550.821371
249.199996948242,542767550.866363
249.199996948242,542767550.911363
249.199996948242,542767550.956517
248.900009155273,542767551.001380
248.600006103516,542767551.046219
248.5,542767551.091210
248.400009155273,542767551.136416
248.5,542767551.181370
248.699996948242,542767551.226198
