pF,time
243.800003051758,543007332.437273
243.800003051758,543007332.467264
244.0,543007332.497039
243.800003051758,543007332.527599
244.0,543007332.557215
244.0,543007332.587273
244.0,543007332.617193
244.100006103516,543007332.647229
244.100006103516,543007332.677593
244.199996948242,543007332.707249
244.199996948242,543007332.736877
244.199996948242,543007332.767252
244.300003051758,543007332.797019
244.600006103516,543007332.827112
244.699996948242,543007332.901930
244.699996948242,543007332.902071
244.900009155273,543007332.916986
245.199996948242,543007332.947016
245.300003051758,543007332.977007
245.400009155273,543007333.022226
245.699996948242,543007333.036957
245.800003051758,543007333.111919
245.900009155273,543007333.112035
246.0,543007333.142351
246.300003051758,543007333.156789
246.600006103516,543007333.187228
246.699996948242,543007333.217022
246.699996948242,543007333.247036
246.900009155273,543007333.277016
247.0,543007333.307127
247.400009155273,543007333.337241
247.400009155273,543007333.367174
247.400009155273,543007333.397017
247.699996948242,543007333.427094
247.699996948242,543007333.457369
247.699996948242,543007333.487183
247.400009155273,543007333.517376
247.400009155273,543007333.547174
247.300003051758,543007333.577174
247.300003051758,543007333.607014
247.300003051758,543007333.637161
247.100006103516,543007333.667165
247.100006103516,543007333.697028
247.100006103516,543007333.727092
247.100006103516,543007333.757146
246.900009155273,543007333.802114
246.900009155273,543007333.817165
246.699996948242,543007333.862019
246.699996948242,543007333.892329
246.600006103516,543007333.907138
246.600006103516,543007333.937360
246.5,543007333.967155
246.199996948242,543007333.997137
246.199996948242,543007334.027162
246.100006103516,543007334.057096
246.0,543007334.087153
246.0,543007334.116849
245.900009155273,543007334.147037
245.900009155273,543007334.176998
245.800003051758,543007334.207472
245.800003051758,543007334.237094
245.600006103516,543007334.267191
245.600006103516,543007334.296966
245.600006103516,543007334.327109
245.5,543007334.356991
245.400009155273,543007334.387123
245.400009155273,543007334.417309
245.400009155273,543007334.446965
245.199996948242,543007334.492104
245.100006103516,543007334.507214
245.100006103516,543007334.537130
244.800003051758,543007334.582359
244.800003051758,543007334.597059
244.800003051758,543007334.627073
244.699996948242,543007334.657589
244.699996948242,543007334.687142
244.800003051758,543007334.717124
244.800003051758,543007334.807380
244.800003051758,543007334.807505
244.600006103516,543007334.807630
244.600006103516,543007334.837199
244.600006103516,543007334.867338
244.699996948242,543007334.896754
244.800003051758,543007334.927072
244.800003051758,543007334.956928
244.699996948242,543007334.987075
244.600006103516,543007335.017126
244.699996948242,543007335.047011
244.600006103516,543007335.077032
244.600006103516,543007335.107024
244.600006103516,543007335.136961
244.600006103516,543007335.196989
244.600006103516,543007335.197145
244.600006103516,543007335.227387
244.600006103516,543007335.256961
244.699996948242,543007335.287172
244.800003051758,543007335.317077
244.800003051758,543007335.356559
244.600006103516,543007335.376931
244.600006103516,543007335.407175
244.5,543007335.437109
244.400009155273,543007335.467097
244.400009155273,543007335.497098
244.300003051758,543007335.526788
244.300003051758,543007335.557190
244.300003051758,543007335.587192
244.300003051758,543007335.617241
244.199996948242,543007335.647112
244.199996948242,543007335.692379
244.199996948242,543007335.707418
244.199996948242,543007335.737178
244.199996948242,543007335.767168
244.300003051758,543007335.811932
244.300003051758,543007335.826769
244.199996948242,543007335.857695
244.199996948242,543007335.887241
244.199996948242,543007335.917122
244.300003051758,543007335.946962
244.300003051758,543007335.976879
244.300003051758,543007336.007015
244.400009155273,543007336.036982
244.300003051758,543007336.067034
244.300003051758,543007336.096916
244.300003051758,543007336.127187
244.300003051758,543007336.157290
244.300003051758,543007336.187290
244.199996948242,543007336.232197
244.300003051758,543007336.246765
244.199996948242,543007336.277128
244.400009155273,543007336.307657
244.199996948242,543007336.352096
244.300003051758,543007336.367218
244.300003051758,543007336.397061
244.300003051758,543007336.426996
244.5,543007336.472289
244.5,543007336.487035
244.5,543007336.517149
244.400009155273,543007336.546970
244.400009155273,543007336.577015
244.400009155273,543007336.636758
244.600006103516,543007336.637101
244.600006103516,543007336.667414
244.699996948242,543007336.697045
244.699996948242,543007336.727230
244.699996948242,543007336.757187
245.0,543007336.787205
245.100006103516,543007336.817150
245.400009155273,543007336.847033
245.5,543007336.877591
245.5,543007336.922055
245.699996948242,543007336.937257
245.800003051758,543007336.967037
245.900009155273,543007336.997085
246.0,543007337.027139
246.100006103516,543007337.057492
246.5,543007337.087276
246.699996948242,543007337.117193
246.800003051758,543007337.147191
247.400009155273,543007337.176986
247.400009155273,543007337.207194
247.400009155273,543007337.237315
247.800003051758,543007337.267034
248.300003051758,543007337.297029
248.400009155273,543007337.327110
248.5,543007337.357747
249.100006103516,543007337.387175
249.199996948242,543007337.416824
249.800003051758,543007337.447394
250.300003051758,543007337.477031
250.400009155273,543007337.506861
250.699996948242,543007337.537321
251.100006103516,543007337.567066
251.199996948242,543007337.597012
251.300003051758,543007337.627085
251.400009155273,543007337.656916
251.600006103516,543007337.702281
252.0,543007337.717101
252.400009155273,543007337.747028
252.400009155273,543007337.777037
252.900009155273,543007337.807073
252.900009155273,543007337.836976
253.100006103516,543007337.867021
253.300003051758,543007337.897009
253.300003051758,543007337.926997
253.800003051758,543007337.956889
254.0,543007337.987303
254.0,543007338.017211
254.199996948242,543007338.047121
254.600006103516,543007338.092013
254.600006103516,543007338.106862
254.800003051758,543007338.137197
254.800003051758,543007338.167588
254.800003051758,543007338.197007
255.100006103516,543007338.227225
255.100006103516,543007338.257470
255.199996948242,543007338.287108
255.100006103516,543007338.316745
255.199996948242,543007338.347088
254.900009155273,543007338.377014
255.100006103516,543007338.407211
254.900009155273,543007338.452354
255.100006103516,543007338.467175
254.900009155273,543007338.497013
254.800003051758,543007338.526855
254.600006103516,543007338.557157
254.800003051758,543007338.587186
