pF,time
256.200012207031,543696649.591040
256.200012207031,543696649.591166
256.200012207031,543696649.632093
256.200012207031,543696649.673316
256.300018310547,543696649.714319
256.300018310547,543696649.755649
256.200012207031,543696649.797187
256.200012207031,543696649.879339
256.200012207031,543696649.879516
256.200012207031,543696649.920581
256.0,543696649.962095
255.800003051758,543696650.003235
255.699996948242,543696650.044336
255.699996948242,543696650.085572
256.0,543696650.127108
256.300018310547,543696650.168490
256.600006103516,543696650.209494
257.200012207031,543696650.250945
257.800018310547,543696650.292170
258.300018310547,543696650.333165
258.600006103516,543696650.374566
258.899993896484,543696650.415639
258.899993896484,543696650.457101
259.0,543696650.498375
259.100006103516,543696650.539180
259.200012207031,543696650.580896
259.399993896484,543696650.622082
259.800018310547,543696650.663426
260.0,543696650.704589
260.0,543696650.787046
259.600006103516,543696650.787150
259.200012207031,543696650.828343
259.100006103516,543696650.869223
259.100006103516,543696650.910792
259.100006103516,543696650.952225
259.100006103516,543696650.993303
259.100006103516,543696651.034559
259.200012207031,543696651.075890
259.399993896484,543696651.117087
259.399993896484,543696651.158328
259.399993896484,543696651.199576
259.399993896484,543696651.240796
259.399993896484,543696651.281960
259.399993896484,543696651.323381
259.800018310547,543696651.364566
260.100006103516,543696651.405842
260.100006103516,543696651.446912
260.100006103516,543696651.488160
260.100006103516,543696651.529460
260.100006103516,543696651.570816
260.0,543696651.611734
259.800018310547,543696651.653181
259.700012207031,543696651.694621
259.5,543696651.735811
259.0,543696651.777078
258.899993896484,543696651.818178
258.600006103516,543696651.859622
258.399993896484,543696651.900887
258.300018310547,543696651.942113
258.200012207031,543696651.983522
258.100006103516,543696652.024599
258.0,543696652.065855
257.600006103516,543696652.148237
257.399993896484,543696652.148328
257.200012207031,543696652.230922
256.800018310547,543696652.231021
256.300018310547,543696652.272191
255.600006103516,543696652.313301
255.400009155273,543696652.354321
255.199996948242,543696652.395792
254.5,543696652.437093
254.400009155273,543696652.519543
254.0,543696652.519640
254.0,543696652.560764
253.699996948242,543696652.602080
253.699996948242,543696652.643339
253.800003051758,543696652.684513
253.900009155273,543696652.725815
254.0,543696652.766886
254.100006103516,543696652.808288
254.100006103516,543696652.849579
254.100006103516,543696652.890851
254.100006103516,543696652.931874
254.100006103516,543696652.973297
253.900009155273,543696653.014353
253.800003051758,543696653.055854
253.699996948242,543696653.096917
253.400009155273,543696653.138352
253.400009155273,543696653.179519
253.400009155273,543696653.220800
253.400009155273,543696653.262205
253.5,543696653.303320
253.600006103516,543696653.344624
253.5,543696653.385979
253.600006103516,543696653.427143
253.699996948242,543696653.468172
253.800003051758,543696653.509634
253.699996948242,543696653.550833
253.900009155273,543696653.592065
253.800003051758,543696653.674604
253.900009155273,543696653.715746
254.0,543696653.756952
254.0,543696653.798355
253.699996948242,543696653.839319
253.699996948242,543696653.880815
253.699996948242,543696653.922347
253.699996948242,543696653.963373
253.600006103516,543696654.087204
253.5,543696654.087335
253.5,543696654.087472
253.400009155273,543696654.128339
253.400009155273,543696654.169495
253.600006103516,543696654.210716
253.600006103516,543696654.252171
253.600006103516,543696654.293609
253.600006103516,543696654.334766
253.600006103516,543696654.375756
253.600006103516,543696654.417108
253.600006103516,543696654.499279
253.600006103516,543696654.499509
253.600006103516,543696654.540447
253.300003051758,543696654.582115
253.0,543696654.623333
252.900009155273,543696654.664621
252.800003051758,543696654.706108
252.800003051758,543696654.747105
252.800003051758,543696654.788552
252.800003051758,543696654.829635
253.0,543696654.870801
253.100006103516,543696654.912090
253.100006103516,543696654.952933
253.100006103516,543696654.994453
253.100006103516,543696655.035832
253.0,543696655.118319
253.0,543696655.118418
253.0,543696655.159442
253.0,543696655.200914
252.900009155273,543696655.242297
252.900009155273,543696655.283323
253.100006103516,543696655.324581
253.100006103516,543696655.365798
253.0,543696655.407142
252.900009155273,543696655.448367
252.699996948242,543696655.489542
252.699996948242,543696655.530480
252.600006103516,543696655.572286
252.5,543696655.613334
252.5,543696655.654571
252.5,543696655.695826
252.5,543696655.737210
252.5,543696655.778534
252.5,543696655.819629
252.699996948242,543696655.860868
252.800003051758,543696655.902056
252.800003051758,543696655.943315
252.800003051758,543696655.984546
252.800003051758,543696656.025863
252.800003051758,543696656.067105
252.5,543696656.108287
252.5,543696656.149618
252.400009155273,543696656.190896
252.300003051758,543696656.232059
252.199996948242,543696656.273303
252.100006103516,543696656.314770
252.199996948242,543696656.356012
252.400009155273,543696656.397053
252.400009155273,543696656.438545
252.600006103516,543696656.479575
252.600006103516,543696656.520618
252.400009155273,543696656.562245
252.400009155273,543696656.602997
252.400009155273,543696656.644339
252.199996948242,543696656.685799
252.300003051758,543696656.726640
252.300003051758,543696656.768293
252.300003051758,543696656.809535
252.300003051758,543696656.850894
252.300003051758,543696656.892111
252.300003051758,543696656.933269
252.100006103516,543696656.974533
252.100006103516,543696657.015820
252.100006103516,543696657.057159
252.0,543696657.098108
252.0,543696657.139510
251.900009155273,543696657.180830
252.100006103516,543696657.222037
251.900009155273,543696657.263340
252.100006103516,543696657.304507
251.900009155273,543696657.345829
252.100006103516,543696657.387023
252.0,543696657.428256
252.0,543696657.469192
252.0,543696657.510843
252.0,543696657.552006
252.0,543696657.593329
252.0,543696657.634648
252.0,543696657.675818
251.900009155273,543696657.716878
251.800003051758,543696657.758074
251.699996948242,543696657.799513
251.699996948242,543696657.840828
251.699996948242,543696657.881865
251.699996948242,543696657.923270
251.699996948242,543696657.964489
251.600006103516,543696658.005824
251.600006103516,543696658.047022
251.699996948242,543696658.088261
251.699996948242,543696658.129526
251.600006103516,543696658.170786
251.600006103516,543696658.212045
251.699996948242,543696658.294552
251.699996948242,543696658.294668
251.600006103516,543696658.335645
251.600006103516,543696658.377008
251.600006103516,543696658.459499
251.800003051758,543696658.500672
251.800003051758,543696658.500768
251.600006103516,543696658.541742
251.600006103516,543696658.583095
251.600006103516,543696658.624516
251.600006103516,543696658.665875
251.600006103516,543696658.706716
251.5,543696658.748444
251.400009155273,543696658.789807
251.199996948242,543696658.830460
251.199996948242,543696658.871587
251.199996948242,543696658.913524
251.199996948242,543696658.954140
251.300003051758,543696658.995568
251.600006103516,543696659.037107
251.699996948242,543696659.078431
251.699996948242,543696659.119442
251.800003051758,543696659.160867
252.100006103516,543696659.202148
252.300003051758,543696659.243340
252.300003051758,543696659.284243
252.600006103516,543696659.325813
253.0,543696659.367137
253.300003051758,543696659.408328
253.699996948242,543696659.449411
254.0,543696659.490516
254.300003051758,543696659.532104
254.800003051758,543696659.573396
255.100006103516,543696659.614764
255.5,543696659.655892
255.600006103516,543696659.697168
256.0,543696659.738390
256.100006103516,543696659.779759
256.600006103516,543696659.820829
257.0,543696659.862054
257.200012207031,543696659.903427
257.399993896484,543696659.944559
257.600006103516,543696659.985655
257.899993896484,543696660.026925
258.0,543696660.068470
258.0,543696660.109521
258.0,543696660.151043
258.0,543696660.192053
257.800018310547,543696660.233396
257.600006103516,543696660.274642
257.5,543696660.316032
257.399993896484,543696660.357075
257.399993896484,543696660.398372
257.0,543696660.439545
256.800018310547,543696660.480780
256.800018310547,543696660.522100
256.600006103516,543696660.562945
256.5,543696660.604631
256.300018310547,543696660.645867
256.300018310547,543696660.687043
256.300018310547,543696660.728383
256.300018310547,543696660.769800
256.200012207031,543696660.810931
256.300018310547,543696660.852172
256.300018310547,543696660.893139
256.300018310547,543696660.934667
256.200012207031,543696660.975775
256.100006103516,543696661.017024
256.200012207031,543696661.058335
256.399993896484,543696661.099373
256.399993896484,543696661.140822
256.200012207031,543696661.182103
256.0,543696661.223291
255.900009155273,543696661.264550
255.800003051758,543696661.306045
255.600006103516,543696661.347110
255.600006103516,543696661.388240
255.5,543696661.429095
255.400009155273,543696661.470823
255.400009155273,543696661.511755
255.300003051758,543696661.553239
255.300003051758,543696661.594421
255.199996948242,543696661.635949
255.400009155273,543696661.676613
255.100006103516,543696661.718274
255.100006103516,543696661.759519
255.100006103516,543696661.800943
255.100006103516,543696661.842122
255.300003051758,543696661.883336
255.300003051758,543696661.924738
255.300003051758,543696661.965853
255.199996948242,543696662.006851
255.300003051758,543696662.048319
255.199996948242,543696662.089563
255.0,543696662.131038
255.0,543696662.172057
254.900009155273,543696662.213187
254.600006103516,543696662.254501
254.600006103516,543696662.295945
254.600006103516,543696662.337234
254.600006103516,543696662.378320
254.5,543696662.419582
254.5,543696662.460843
254.400009155273,543696662.502222
254.300003051758,543696662.543005
254.300003051758,543696662.584675
254.300003051758,543696662.625869
254.199996948242,543696662.667137
254.199996948242,543696662.708353
253.900009155273,543696662.749676
