pF,time
262.700012207031,542767689.061224
262.899993896484,542767689.106078
263.200012207031,542767689.151109
263.700012207031,542767689.195967
263.899993896484,542767689.241187
264.300018310547,542767689.286100
264.399993896484,542767689.331169
264.5,542767689.375965
265.0,542767689.420769
265.200012207031,542767689.465701
265.899993896484,542767689.511312
266.200012207031,542767689.556044
266.600006103516,542767689.600955
266.800018310547,542767689.646108
266.899993896484,542767689.691209
267.5,542767689.736233
267.5,542767689.780686
267.899993896484,542767689.826213
268.200012207031,542767689.871219
268.800018310547,542767689.916248
269.399993896484,542767689.961227
269.700012207031,542767690.006043
270.0,542767690.050841
270.399993896484,542767690.096274
270.800018310547,542767690.141223
271.300018310547,542767690.186215
271.399993896484,542767690.231212
272.200012207031,542767690.276040
272.600006103516,542767690.321052
272.700012207031,542767690.366201
273.399993896484,542767690.410794
273.399993896484,542767690.456195
273.600006103516,542767690.500713
273.899993896484,542767690.546201
274.0,542767690.636121
274.0,542767690.636213
274.100006103516,542767690.681075
274.100006103516,542767690.726197
274.100006103516,542767690.771205
274.100006103516,542767690.816353
274.100006103516,542767690.861168
274.100006103516,542767690.906131
274.100006103516,542767690.951285
274.300018310547,542767690.996164
274.399993896484,542767691.041180
274.5,542767691.086232
274.700012207031,542767691.131034
274.700012207031,542767691.176173
274.800018310547,542767691.221172
274.800018310547,542767691.266171
274.5,542767691.311018
274.5,542767691.356152
274.100006103516,542767691.401150
274.0,542767691.445906
273.899993896484,542767691.491093
273.600006103516,542767691.536142
273.5,542767691.580993
273.399993896484,542767691.626166
273.100006103516,542767691.671302
272.899993896484,542767691.716160
272.800018310547,542767691.761155
272.600006103516,542767691.805695
272.600006103516,542767691.851135
272.600006103516,542767691.896143
272.200012207031,542767691.941204
271.700012207031,542767691.986309
271.600006103516,542767692.031144
271.100006103516,542767692.075693
271.0,542767692.120749
270.899993896484,542767692.165738
270.800018310547,542767692.211197
270.700012207031,542767692.256275
270.300018310547,542767692.301142
269.800018310547,542767692.346134
269.800018310547,542767692.391137
269.800018310547,542767692.481099
269.5,542767692.481273
269.399993896484,542767692.526152
269.200012207031,542767692.570953
269.200012207031,542767692.615950
268.800018310547,542767692.661113
268.300018310547,542767692.706051
267.800018310547,542767692.751116
267.600006103516,542767692.796052
267.399993896484,542767692.841164
267.200012207031,542767692.886125
267.0,542767692.931114
266.800018310547,542767692.975630
266.600006103516,542767693.021098
266.5,542767693.065646
266.300018310547,542767693.111166
266.300018310547,542767693.155939
266.300018310547,542767693.200938
266.100006103516,542767693.245713
266.0,542767693.336026
265.899993896484,542767693.336143
265.899993896484,542767693.381194
265.200012207031,542767693.425991
265.200012207031,542767693.470933
265.100006103516,542767693.516319
265.0,542767693.561185
265.0,542767693.606034
264.800018310547,542767693.651047
264.800018310547,542767693.740778
264.899993896484,542767693.741063
264.899993896484,542767693.786492
265.0,542767693.830685
264.800018310547,542767693.876062
264.899993896484,542767693.921235
264.899993896484,542767693.966072
265.100006103516,542767694.011033
265.100006103516,542767694.101135
265.0,542767694.101226
265.0,542767694.146263
264.800018310547,542767694.191242
264.800018310547,542767694.236190
264.899993896484,542767694.281157
264.899993896484,542767694.326026
265.0,542767694.371118
265.100006103516,542767694.416022
265.300018310547,542767694.460713
265.399993896484,542767694.506335
